episodes,rewards
0,-139.6453946368213
1,-152.33277750779345
2,-369.51834651849595
3,-66.03978149976116
4,-56.699984450839445
5,-277.69931000171766
6,-168.81840419441025
7,-202.21397003817066
8,-76.4016511196405
9,-96.95986867439312
10,-131.6330246454444
11,-261.54078597129467
12,-153.22026188431647
13,-472.41817989694664
14,-88.06620931304649
15,-321.3563855679871
16,-127.67531088063177
17,-274.1921626767443
18,-209.75591883834366
19,-110.16862030973392
20,-274.0092563113416
21,-126.0072977000711
22,-108.24540857147663
23,-448.53307406469094
24,-256.46398170278655
25,-301.05777075802973
26,-292.46828522676344
27,-112.13683154180896
28,-134.80416606490508
29,-229.98291834919624
30,-56.09417983485913
31,-105.62942681081104
32,-97.7468452801931
33,-298.9156394154887
34,-264.77554027448963
35,-284.93641983504244
36,-32.88839960875916
37,-102.98726309625843
38,-133.8900563176744
39,-123.6793282668638
40,-396.9756593197179
41,-63.818002686749324
42,-327.0334033830111
43,-106.77074826620333
44,-106.11201293604329
45,-273.22269953795677
46,-72.01652442866813
47,-277.1250065823983
48,-273.8131819126747
49,-490.6879206371308
50,-216.08084800403344
51,-20.92539569800101
52,-152.36762069339318
53,-361.16245860298176
54,-242.01622708668734
55,-127.04321543493941
56,-63.69039536467555
57,-77.11293098251328
58,-254.37837212278006
59,-96.0687799214805
60,-106.68568781734913
61,-282.4063312128468
62,-233.87786323317155
63,-135.7743541682678
64,-415.5462626114873
65,-359.06647766515863
66,-344.98333096779595
67,-103.67811738856496
68,-125.97636244774301
69,-163.22240531944777
70,-534.007451212789
71,-113.21297381646778
72,-127.36425325769785
73,-121.04237671562262
74,-298.2704331379705
75,-290.73469753201516
76,-145.0404622901945
77,-128.73760594232905
78,-83.0644471619411
79,-275.37204297733274
80,-93.44173239583168
81,-169.28269477727986
82,-323.5909225699726
83,-365.63230313280434
84,-70.35152586123775
85,-229.12689819044328
86,-50.09960056789109
87,-157.25584977029746
88,-99.24404269218476
89,-125.0904316226808
90,-214.86273088561592
91,-305.2060815399693
92,-251.49288631273538
93,-145.9601420464897
94,-48.60410518050628
95,-78.55688011800663
96,-91.27450326466887
97,-116.3750790565458
98,-254.58864142426958
99,-77.2061900672879
100,-309.00257605694776
101,-101.92786249758
102,-53.48080476492292
103,-135.22962812125087
104,-358.462966193072
105,-135.22034341033998
106,-80.4897644231522
107,-102.01990926705122
108,-219.9348647926078
109,-70.13292845089364
110,-128.29955472175862
111,-465.4684702424411
112,-339.83685102026914
113,-144.6427533260635
114,-243.6431203295029
115,-226.69541371562224
116,-112.18630543124739
117,-139.85252474806612
118,-204.39307789151576
119,-626.8286137156217
120,-80.73105312933164
121,-79.1368877892758
122,-265.8850718518777
123,-65.32491817614479
124,-64.92732494721113
125,-148.86253437120862
126,-66.249859573039
127,-109.41867817990408
128,-125.11817228911656
129,-369.43261492371187
130,-165.37865349703594
131,-182.79310251675923
132,-110.86523352123628
133,-361.8440546976377
134,-395.4854633161559
135,-185.5174962990107
136,-133.7285216867599
137,-243.90973219320855
138,-135.43002930060032
139,-287.8648778866532
140,-215.2402615359921
141,-257.427659633085
142,-167.79176018782314
143,-211.83924819848068
144,-198.32373522089372
145,-125.72438071443426
146,17.303589487453735
147,-354.80873067635434
148,-114.71761616919059
149,-163.34720954037948
150,-84.96889671814893
151,-112.2354744320568
152,-86.37193099509477
153,-168.2179352258728
154,-122.54324293830403
155,-80.63670816585177
156,-91.25400796336633
157,-165.2233251535848
158,-322.8515617103989
159,-94.4160805235453
160,-142.55388873244726
161,-126.78370887014748
162,-144.40498835559276
163,-118.96455085590506
164,4.859106838694672
165,-290.803897257763
166,-94.86731360737465
167,-111.38063956404014
168,-384.45659948984473
169,-364.93017516972884
170,-45.664201317015824
171,-308.7218792256817
172,-146.31100425488194
173,-338.8230578110895
174,-264.91827973431657
175,-225.0065281134178
176,-170.9150419176488
177,-128.38429195345566
178,-124.64419551348364
179,-163.91238623040886
180,-425.10816739590456
181,-71.53123792425558
182,-232.39162241535982
183,-83.81768050784615
184,-81.04409260078705
185,-75.39711150062735
186,-180.79925827250284
187,-101.35372320133082
188,-106.54343606371911
189,-252.17163598929437
190,-116.28253953565216
191,-114.85567108774161
192,-346.03678935113317
193,-337.6281223363717
194,-103.43054844145057
195,-102.95893711707595
196,-300.04943945473985
197,-118.00360420969355
198,-171.1542952142887
199,-106.44377062990608
200,-391.7444974150383
201,-239.08374552029127
202,-204.53827564233245
203,-224.1913626458396
204,-194.484402553089
205,-118.39845254903678
206,-125.65044928480303
207,-169.4986273907985
208,-79.87622062924417
209,-387.80232887971147
210,-103.86856238475579
211,-96.66717666528685
212,-219.57264117733456
213,-85.72166430816287
214,-120.22487771348888
215,-44.35333989409705
216,-89.60111186810704
217,-122.9677371964435
218,-129.96859863829323
219,-103.6460157646786
220,-104.81456631492304
221,-211.22562014324768
222,-100.04390730085488
223,-193.39023589908493
224,-52.14858896234961
225,-158.5024676159945
226,-133.26614031687689
227,-75.66099871266245
228,-58.81631057006828
229,-118.92995891330943
230,-111.47219416814364
231,-122.39088233802552
232,-123.48464942233713
233,-191.80506900703432
234,-84.04387745482694
235,-85.96455539311827
236,-84.79046264847923
237,-141.48330444627612
238,-232.58377726285443
239,-152.26162944436732
240,-225.44407184879054
241,-5.779402308118364
242,-80.14486187336463
243,-141.68987947898597
244,-356.2510323767544
245,-388.4517782708321
246,-85.87680074335394
247,-106.09340733799048
248,29.082400231700603
249,-91.42712672620003
250,-188.8403189268803
251,-111.56846453705577
252,-119.03997307641845
253,-70.83829739707959
254,-194.33601285533493
255,-328.9869583454098
256,-70.9533998979471
257,-109.92839058099091
258,-275.77744534015477
259,-93.16959458952105
260,-260.7306008333931
261,-124.47455200442096
262,-184.89946585371416
263,-119.26920894099756
264,-357.23311332210744
265,-291.44406167841055
266,-141.50895717139096
267,-85.48281439388964
268,-84.61297397605136
269,-54.60325087860144
270,-128.78927754918396
271,-202.50307633062928
272,-114.91162246384559
273,-153.59499380435892
274,-76.17097149697763
275,-241.06640635933732
276,-153.90710691284372
277,-134.87529199653528
278,-234.417994868263
279,-126.28411944226309
280,-197.93770501929015
281,-127.22775260972325
282,-115.30413685055511
283,-253.1108015549775
284,-221.9863025792009
285,-394.6089910690636
286,-107.99094120833205
287,-134.4121084688431
288,-61.37595453763021
289,-82.19558433916126
290,-74.48617759655315
291,-108.13664152162896
292,-159.24577535365844
293,-101.32837527381479
294,-173.75659485497562
295,-39.755575327312094
296,-183.56311642613437
297,-163.48535800088075
298,-71.04951433186284
299,-66.35476551535521
300,-305.2384482235338
301,-85.11142262898288
302,-73.81448628613231
303,-126.83639477071134
304,-86.15416763675326
305,-64.06021343967255
306,-346.7898777534284
307,-68.24570911051848
308,-163.56191179247966
309,-65.54766385288963
310,-163.99155333183708
311,-308.38153210512996
312,-96.4068995732876
313,-208.70087929387444
314,-535.9222578416616
315,-85.51609112665813
316,-178.4695454585199
317,-146.45499802648789
318,-165.51942871349206
319,-148.27423828416852
320,-289.53447962007647
321,-221.95749137794323
322,-140.89576912614575
323,-43.60220214701745
324,-103.60825135185169
325,-69.33977806659114
326,-346.43290286715273
327,-68.40796144350196
328,-101.06457312807463
329,-340.637869768997
330,-242.1825397663833
331,-250.61651605748307
332,-102.28540456468448
333,-354.07176008722536
334,-124.08557796938511
335,-88.65556576128212
336,-130.1736085494279
337,-97.24251690645663
338,-340.47396710491915
