episodes,rewards
0,18.0
1,12.0
2,17.0
3,13.0
4,11.0
5,23.0
6,22.0
7,12.0
8,34.0
9,19.0
10,28.0
11,33.0
12,16.0
13,17.0
14,37.0
15,16.0
16,21.0
17,35.0
18,36.0
19,24.0
20,67.0
21,41.0
22,130.0
23,338.0
24,83.0
25,194.0
26,62.0
27,179.0
28,48.0
29,269.0
30,167.0
31,99.0
32,298.0
33,260.0
34,264.0
35,228.0
36,182.0
37,245.0
38,235.0
39,174.0
40,248.0
41,236.0
42,264.0
43,174.0
44,310.0
45,205.0
46,296.0
47,260.0
48,207.0
49,373.0
50,200.0
51,222.0
52,305.0
53,259.0
54,284.0
55,252.0
56,302.0
57,188.0
58,241.0
59,262.0
60,204.0
61,328.0
62,351.0
63,280.0
64,346.0
65,365.0
66,230.0
67,301.0
68,79.0
69,291.0
70,15.0
71,28.0
72,70.0
73,245.0
74,255.0
75,187.0
76,207.0
77,82.0
78,233.0
79,222.0
80,219.0
81,163.0
82,140.0
83,208.0
84,145.0
85,178.0
86,166.0
87,174.0
88,155.0
89,214.0
90,178.0
91,9.0
92,10.0
93,11.0
94,205.0
95,240.0
96,215.0
97,260.0
98,262.0
99,238.0
100,308.0
101,253.0
102,221.0
103,152.0
104,224.0
105,213.0
106,222.0
107,272.0
108,205.0
109,216.0
110,257.0
111,214.0
112,236.0
113,313.0
114,200.0
115,202.0
116,419.0
117,206.0
118,189.0
119,280.0
120,194.0
121,263.0
122,191.0
123,228.0
124,97.0
125,172.0
126,111.0
127,153.0
128,225.0
129,373.0
130,238.0
131,152.0
132,246.0
133,127.0
134,150.0
135,221.0
136,171.0
137,136.0
138,145.0
139,64.0
140,69.0
141,56.0
142,52.0
143,16.0
144,13.0
145,11.0
146,265.0
147,17.0
148,175.0
149,270.0
150,201.0
151,188.0
152,154.0
153,204.0
154,361.0
155,203.0
156,276.0
157,224.0
158,193.0
159,214.0
160,240.0
161,240.0
162,209.0
163,256.0
164,210.0
165,215.0
166,222.0
167,249.0
168,201.0
169,209.0
170,302.0
171,184.0
172,240.0
173,256.0
174,180.0
175,206.0
176,266.0
177,38.0
178,140.0
179,251.0
180,182.0
181,197.0
182,208.0
183,126.0
184,218.0
185,232.0
186,234.0
187,100.0
188,93.0
189,167.0
190,184.0
191,186.0
192,241.0
193,197.0
194,155.0
195,158.0
196,362.0
197,500.0
198,151.0
199,432.0
200,156.0
201,143.0
202,165.0
203,13.0
204,141.0
205,156.0
206,238.0
207,310.0
208,473.0
209,129.0
210,117.0
211,14.0
212,135.0
213,175.0
214,131.0
215,233.0
216,307.0
217,194.0
218,500.0
219,500.0
220,217.0
221,467.0
222,156.0
223,16.0
224,140.0
225,422.0
226,340.0
227,189.0
228,218.0
229,205.0
230,148.0
231,104.0
232,367.0
233,184.0
234,307.0
235,119.0
236,138.0
237,103.0
238,94.0
239,109.0
240,12.0
241,214.0
242,171.0
243,138.0
244,102.0
245,185.0
246,121.0
247,178.0
248,423.0
249,463.0
250,166.0
251,252.0
252,282.0
253,180.0
254,332.0
255,183.0
256,500.0
257,123.0
258,148.0
259,283.0
260,180.0
261,85.0
262,188.0
263,129.0
264,135.0
265,127.0
266,331.0
267,230.0
268,354.0
269,71.0
270,128.0
271,218.0
272,195.0
273,352.0
274,221.0
275,228.0
276,233.0
277,178.0
278,267.0
279,500.0
280,124.0
281,123.0
282,175.0
283,16.0
284,482.0
285,64.0
286,261.0
287,26.0
288,189.0
289,120.0
290,160.0
291,153.0
292,209.0
293,305.0
294,215.0
295,172.0
296,176.0
297,149.0
298,211.0
299,158.0
