episodes,rewards
0,-393.84197493315594
1,-196.57087029700477
2,-440.9744429872262
3,-80.59452948025682
4,-112.28081797863766
5,-274.2595035050739
6,-351.46018155161204
7,-240.02819296984887
8,-382.69517778345136
9,-136.79259905944224
10,-188.9415548698721
11,-117.30735270063168
12,-176.12985930875558
13,-94.9121833694835
14,-155.53239108239032
15,-114.0156304873268
16,-133.49751004460816
17,-134.62595208347585
18,-113.69453580257309
19,-126.5203081762673
20,-128.5419995751825
21,-131.46312913023894
22,-118.9739774933015
23,-141.8001976738548
24,-177.17730924442006
25,-169.2161074488435
26,-122.2841104273742
27,-111.50892818389337
28,-94.4942163267901
29,-174.6570437155819
30,-165.8782113963769
31,-114.92182568156562
32,-149.77462279026858
33,-135.69944166524908
34,-118.32667964452577
35,-125.83485751251196
36,-150.23622105028466
37,-104.68099895926272
38,-99.00049353504171
39,-106.70659835984257
40,-156.31230845681011
41,-157.85770268863536
42,-119.86442409982095
43,-89.71486353063285
44,-123.53973867201029
45,-142.6272881009333
46,-169.68943104561563
47,-86.91963911669305
48,-143.18221830259347
49,-120.62539918976336
50,-148.51148698910146
51,-133.7887128698673
52,-84.30196067340856
53,4.302464519063378
54,-262.67686723734
55,-231.70261239324873
56,-253.55670943334593
57,-480.01594213979166
58,-364.9757706836556
59,-315.9113199560852
60,-503.5876466386535
61,-377.5585938978143
62,-815.5913141557377
63,-675.331796198441
64,-1029.5341978358078
65,-788.1479037623059
66,-607.3036950872033
67,-511.48367856074447
68,-1328.0558845046953
69,-636.8325953656818
70,-1734.8294078792903
71,-582.5393842430607
72,-515.6959204440502
73,-1607.8197189751202
74,-789.6083588256827
75,-749.3167930726729
76,-1355.730549012085
77,-1492.0945695377725
78,-798.2912367195988
79,-638.825674862145
80,-758.8802552854086
81,-604.1538852335848
82,-811.1934486386025
83,-938.85092108686
84,-1101.4859864406048
85,-2252.1801896850916
86,-586.7470345126646
87,-909.3872308760924
88,-643.705332756394
89,-2397.51063564765
90,-1329.3463824501714
91,-882.8251739469954
92,-499.55785166600754
93,-582.1303829677076
94,-593.401253387517
95,-5372.652817366062
96,-519.0640404440362
97,-454.80565540418655
98,-407.85607421946094
99,-797.5300438491511
100,-714.6619591459643
101,-964.3007698663008
102,-3050.7254224641088
103,-946.9689060039524
104,-948.3268261070406
105,-861.9230559937141
106,-825.6056713118381
107,-1357.136734032425
108,-386.21843128911877
109,-1259.8891318541982
110,-775.0554779467842
111,-669.8189299742537
112,-692.0438183530215
113,-452.38987637998173
114,-1045.4105905458086
115,-1244.8235196940575
116,-603.1405458336069
117,-469.51684416261816
118,-610.5181531852794
119,-1512.8187387602247
120,-728.4851837283742
121,-737.9546212184755
122,-515.2630231417263
123,-810.8865157340368
124,-541.0938253377894
125,-643.9419042660583
126,-640.9171613309305
127,-577.0381829147977
128,-1216.2038999886136
129,-587.3643205016729
130,-639.8894653004969
131,-1267.888556287993
132,-743.877305707899
133,-840.1445430135609
134,-1302.4512904133355
135,-548.4006512218098
136,-568.7260843648231
137,-686.4800394976955
138,-752.1386663131203
139,-590.6985043975092
140,-1388.5854823422212
141,-1183.9546663390377
142,-571.634700256858
143,-437.57199641515
144,-428.26746686939157
145,-643.9538381527293
146,-448.8595886081063
147,-1026.0963764349628
148,-1585.2584631426612
149,-1237.6685878631608
150,-901.7657941840245
151,-426.74151301882426
152,-611.462854220074
153,-400.65190376428615
154,-888.4535564244806
155,-1517.5564519828347
156,-757.0964761718172
157,-882.6383339925454
158,-947.3241760025624
159,-682.4600252987688
160,-772.4394322506765
161,-652.8343107652059
162,-689.0723126765754
163,-661.6079567863322
164,-800.9464825899994
165,-680.3750590700142
166,-737.353389706988
167,-547.4522007858964
168,-460.7205826688249
169,-486.89960954477766
170,-489.5796017791078
171,-593.0313903352178
172,-361.1631370530935
173,-489.69775678036797
174,-333.2721060763387
175,-303.00182303439925
176,-691.8843711108998
177,-276.65060482715444
178,-474.78751434288745
179,-336.1924958869638
180,-153.60732449301884
181,-496.51063367827965
182,-205.4734726255258
183,-470.8472767760729
184,-106.51634860628549
185,-392.6400206619011
186,-53.52263912513055
187,-110.04123968158875
188,-182.80710226011047
189,-163.026118551512
190,-120.70241123944298
191,-422.22144991620434
192,-341.5081300550353
193,-316.3880602941447
194,-158.7436315300035
195,-285.628058242655
196,33.91779237364395
197,-111.66719142511127
198,-145.77186207170274
199,-267.5063267069363
200,-340.06282782541973
201,-25.023104811034685
202,-70.68029930771337
203,-23.011301832212126
204,-49.57665840853875
205,-174.37290581115167
206,-400.4504279761657
207,-194.36636344204902
208,-310.7674315363914
209,-104.63213492087216
210,-314.10454740843784
211,-147.7622574324863
212,-308.76689167136686
213,-109.47045561792129
214,-239.54479457052656
215,-77.72857159129607
216,-324.5430832439423
217,-275.8022592246541
218,-275.0535914181366
219,-50.9909944268323
220,-307.59444174643136
221,-289.70309837040145
222,-278.2336560832619
223,-11.456425008052037
224,-303.56627959765115
225,-476.3608947594066
226,-127.90354495471014
227,-8.188144102383916
228,-235.42538640886383
229,8.90278095733727
230,-142.55586515450096
231,-150.2480912199447
232,-151.5861405377343
233,-159.43796719731694
234,-72.12931919501995
235,-134.9341821124678
236,-143.49856433869576
237,-123.16135443609639
238,-99.1421536495154
239,-177.59045015412525
240,-107.08127670445394
241,-138.1268417406789
242,6.603786413333083
243,-200.29589095834308
244,-162.04925380480495
245,-143.41099663280121
246,-198.72315392997172
247,-108.32263673654563
248,-106.85290173071509
249,-145.0739731630113
250,-110.61927273604316
251,-128.87536993599144
252,-117.37429613294125
253,-49.94247241857755
254,-69.36109558121015
255,-141.63711546147408
256,-181.17697273850035
257,-125.88511551351058
258,-131.82927822950705
259,-159.78143310666465
260,-110.67632025346495
261,-105.64833424108818
262,-93.33319255457286
263,-143.78439315370156
264,-72.52463861418397
265,-149.94461046551996
266,-113.09218149280022
267,-166.09575972979354
268,-144.88000992632115
269,-111.64023096240481
270,-168.0921487698365
271,-146.67342094443165
272,-123.40859150031471
273,-99.87132090062545
274,-132.69196101805315
275,-109.36934674715732
276,-162.2921669074038
277,-107.18166637877648
278,-150.00568140727964
279,-125.0500364867014
280,-105.25072228067134
281,-122.02406273809854
282,-147.86434909665664
283,-192.97113370809186
284,-118.78470985032348
285,-160.855034470391
286,-128.46661039444953
287,-137.96036746529123
288,-125.58328775488945
289,-136.624704428389
290,-89.57456434964024
291,-137.26567537636575
292,-184.71175956038508
293,-129.4406370875678
294,-170.3108982367473
295,-149.88438635262276
296,-149.47112306334216
297,-97.23664236732901
298,-150.23746232028583
299,-109.40857867289574
