episodes,rewards
0,-112.15109716773989
1,-185.86022586405977
2,-34.25221647239505
3,-175.71665956434984
4,-113.93162689887126
5,-320.95702994498936
6,-38.87459821979027
7,-76.07827346441778
8,-158.4354860529342
9,-119.04842857035385
10,-110.59603688515175
11,-221.69270981503132
12,-155.16973216878716
13,-296.35157186907634
14,-422.9683261405139
15,20.514891169884777
16,-280.7114529990297
17,-93.32215731285285
18,-186.93090166695174
19,-149.0045200396705
20,-134.77447544970468
21,-69.32293868059385
22,-138.26999372537364
23,-434.278895241599
24,-258.71533824018974
25,-367.5119074178509
26,-114.81079169521122
27,-49.63315186596546
28,-122.23373337850484
29,-375.42988756859444
30,-217.58431168178535
31,-110.86896123751555
32,-153.79122457415303
33,-89.79504869393875
34,-115.71917003256428
35,-212.38933669140488
36,-76.56387057788078
37,-116.77810207966652
38,-130.6424633384815
39,-124.23742293838419
40,-130.38502133686686
41,-438.6847945738082
42,-213.69608208481984
43,-135.7569605439562
44,-131.77219724131822
45,-283.1144807298916
46,-87.77700885461283
47,-296.8570316708875
48,-193.91982560562724
49,-144.7996191314238
50,-234.17677818991373
51,-37.79761413044942
52,-549.1399997444466
53,-74.85494891456332
54,-65.73727547859104
55,-97.27439480521952
56,-184.15444286542947
57,-75.8992960949962
58,-173.85125446014104
59,-246.4110173194067
60,-339.4368269671678
61,-143.57878304468753
62,-117.83255965844427
63,-36.987279513382305
64,-114.93652644490555
65,-10.296030536788635
66,-118.92929860891036
67,-120.71818256165363
68,-65.88108411280155
69,-252.27583626527618
70,-99.84495417599854
71,-181.29052494289658
72,-128.7343564243133
73,-56.04714332340615
74,-112.2241594884954
75,-120.61078969397451
76,-236.54539893576532
77,-61.974400470592734
78,-72.21891302488918
79,-86.79568309667279
80,-100.01467156004986
81,-284.7406026364641
82,-135.47590359651056
83,-103.93425182597726
84,-183.53476255094608
85,-8.921723904044981
86,-205.8367349217612
87,-98.54998714071426
88,89.22320943351467
89,-78.82793632158621
90,-270.9696854904491
91,-176.87703992348477
92,-70.42194649465537
