episodes,rewards
0,-114.24995524019428
1,-205.9466096320067
2,-223.19117019383413
3,-69.28604736888627
4,-74.09345957371055
5,-8.377781337254163
6,-130.85619090701516
7,-114.48166747925602
8,-134.41653421940603
9,-276.6752444870721
10,-117.85046928319024
11,-92.31195574895116
12,-94.79938065059712
13,-181.79303564551367
14,-317.4021143180753
15,-273.39682823372186
16,-392.7849138089666
17,-231.41716964226924
18,-70.75483172017911
19,-140.1474289054184
20,-109.83492663673752
21,-364.6479349651581
22,-220.21971099845362
23,-115.34000900533506
24,-237.15484421599675
25,-50.70637657604159
26,-98.20828000289448
27,-251.4438825102522
28,-359.2286672202685
29,-335.68991206139486
30,-107.77936516107293
31,-70.09334736813429
32,-122.07577487291478
33,-93.31390886692203
34,-31.998287257635326
35,-214.86464328481458
36,-288.75517105674305
37,-294.1888266388417
38,-165.3829955137291
39,-91.6599656989598
40,-194.22833717261537
41,-228.6739214184064
42,-370.5434995602757
43,-213.4416654960781
44,-393.8594257538744
45,-217.97771735657614
46,-288.6039858100782
47,-98.03361890661995
48,-304.8874888179747
49,-130.85519816818623
50,-89.36415531813584
51,-88.71502819078438
52,-274.4694674141803
53,-140.8335877786266
54,-165.79708205003604
55,-333.0317160820563
56,-161.40096212412863
57,-246.8698929223662
58,-340.4011243110989
59,-122.13568875863457
60,-33.44346672348158
61,-313.5915063178877
62,-51.17119410551256
63,-88.40825153760433
64,-367.9164513268388
65,-48.37995395555467
66,-442.47397484790224
67,-393.12680865689924
68,-245.0769009887338
69,-504.4123952743401
70,-510.7980717124224
71,-275.48878716671226
72,-150.02717391821145
73,-87.59666527513015
74,-113.95035886989488
75,-110.44052251168763
76,-28.05826840646145
77,-49.13196823117872
78,-32.86733884661322
79,-84.48075575310533
80,-58.04617269480826
81,-134.27337630550807
82,-132.96083218584693
83,-339.38512549300424
84,-220.45595298111544
85,-467.9472556713813
86,-290.071790194923
87,-509.69939866132864
88,-241.1672518374973
89,-332.596203020758
90,-252.64618199279437
91,-233.0565532739369
92,-359.0833828536649
93,-132.79829425987685
94,-218.6853176411954
95,-182.33427266472412
96,-158.55216786895545
97,-443.8661461373616
98,-201.43836773349304
99,-279.15581866845605
100,-219.4109401690434
101,-135.72979423246284
102,-300.2643249918343
103,-211.3495332620335
104,-76.78725585768521
105,-218.44641494259577
106,-288.61817062911825
107,-134.72774106988473
108,-57.816596317479224
109,-348.748094647151
110,-170.46669420844464
111,-283.28851179025463
112,-158.20833436866116
113,-196.94271629845008
114,-124.42541728568776
115,-136.5106637368765
116,-182.5761952955092
117,-196.4673967017094
118,-328.3165287402439
119,-144.47890202986832
120,-263.0888937123653
121,-212.34436851396225
122,-350.1888402414883
123,-7.5232238558824776
124,-9.29457739784786
125,-154.71586100360793
126,-139.22409202817892
127,-153.1428230945573
128,-69.65155054927553
129,-92.95319078497427
130,-197.7036363391043
131,-235.45070834186066
132,-190.69586286416586
133,-121.65304423568207
134,-181.75798700003776
135,-134.26970053605083
136,-138.1012963429361
137,-95.66527262612412
138,-344.99270284914473
139,-335.44693510134067
140,-370.90930492474104
141,-167.72046324337583
142,-93.08958477878961
143,-156.69560026125725
144,-148.8129479194788
145,-156.18632419184905
146,-192.5795169707929
147,-182.2121693071937
148,27.186289005465213
149,-121.62726420306112
150,-177.22884812003474
151,-233.22555324652393
152,-305.92393887440846
153,-70.38346696317626
154,-160.95702505688797
155,-176.44513539374768
156,-113.3235999200842
157,-385.4815480294216
158,-119.54696651592027
159,-150.98482956968496
160,-248.54949697396953
161,-139.21472001665092
162,-130.4141951808737
163,-127.44020165476445
164,-53.3762181237621
165,-239.03996818339056
166,-73.0755656896564
167,-301.86666241597607
168,-145.58720340672485
169,-105.43483671971684
170,-130.41274757639277
171,-212.61300076267588
172,-193.9777298960073
173,-141.07194420201938
174,-215.68899802073685
175,-348.39261643223733
176,-165.85388787433277
177,-156.74344941913506
178,-124.74701852809392
179,-76.11693576063035
180,-68.65689793215395
181,-266.3958389474103
182,-131.67530191304957
183,-81.86972480878912
184,-123.24176628500062
185,-227.6781279698282
186,-224.17945777584373
187,-255.01050191131318
188,-124.90034960282132
189,-102.98249109549802
190,-95.86529483941104
191,-278.2734675166417
192,-90.48981233927998
193,-409.03690865442695
194,-207.8188640943112
195,-249.1633546269701
196,-188.96630287729448
197,-251.8677206838853
198,-189.89009951945894
199,-229.10729601769458
200,-154.32651226306132
201,-187.35198739007595
202,-189.54449692733334
203,-167.61963683983873
204,-90.8463573006795
205,-78.8209612868293
206,-93.64108794230515
207,-287.2624947970239
208,-142.11677151605798
209,-123.71707633125308
210,-241.57419200941595
211,-136.3222611444881
212,-229.75759345917615
213,-131.14075024247006
214,-125.03865875255258
215,-161.44699081919953
216,-8.078751957876634
217,-257.2545567098972
218,-82.60438178887807
219,-298.0730823421792
220,-98.30011815706807
221,-193.73687661036712
222,-210.621513671875
223,-152.28691450719566
224,-253.4810827042352
225,-142.2153490666539
226,-167.39613721013131
227,-148.4294364649605
228,-287.22510870142776
229,-344.3400858262321
230,-131.59639790999762
231,-303.52004500995906
232,-149.04556947005767
233,-154.7407794486506
234,-236.1606674591789
235,-258.82549118105135
236,-257.03910769821744
237,-148.8359292841225
238,-137.96521453192798
239,-19.1187000486631
240,-262.977141191461
241,-120.72249346513514
242,-297.1803925153582
243,-247.3801607470836
244,-73.02869588799905
245,-240.26239544372
246,-334.3271927354976
247,-2.465233715471385
248,-153.9005527175899
249,-177.55238443032846
250,-24.979212707778416
251,-70.40901950225532
252,-178.11468365007346
253,-252.0851812787676
254,-219.33921207529653
255,-143.3557493360454
256,-157.29089156349323
257,-55.4216311281555
258,-37.6754743206357
259,-0.9775430105786427
260,-343.66179521657705
261,-60.326933953733416
262,-92.14712267781874
263,-77.32957752109445
264,-375.37476095069275
265,-134.65038758299465
266,-99.40373326780497
267,-95.30202393749033
268,-155.71570142598748
269,-145.12498655621164
270,-375.5039537847206
271,-62.46774629016251
272,-176.52571891958485
273,-72.98985674000485
274,-155.2952744014531
275,-212.59276844003188
276,-144.757307634571
277,-237.2979101829104
278,-166.95718680447425
279,-290.80531571512137
280,-145.64245860913073
281,-424.23402790024755
282,-432.1339237037397
283,-448.11992234521705
284,-98.69648492699032
285,-111.33789608551216
286,-239.88494427538242
287,-109.4421846212799
288,-296.0875007736685
289,-219.52208406035842
290,-265.98597176780294
291,-178.0381954179087
292,-501.7970712934663
293,-151.23014330563822
294,-770.6028706144727
295,-184.92580741837713
296,-296.7752568433784
297,-307.59873601557075
298,-449.89183636578576
299,-356.0942858342978
