episodes,rewards
0,15.0
1,77.0
2,15.0
3,26.0
4,11.0
5,11.0
6,47.0
7,63.0
8,13.0
9,13.0
10,55.0
11,28.0
12,96.0
13,23.0
14,43.0
15,114.0
16,16.0
17,55.0
18,51.0
19,102.0
20,103.0
21,65.0
22,141.0
23,341.0
24,53.0
25,26.0
26,32.0
27,138.0
28,121.0
29,170.0
30,188.0
31,27.0
32,237.0
33,165.0
34,402.0
35,163.0
36,133.0
37,268.0
38,134.0
39,145.0
40,32.0
41,33.0
42,259.0
43,303.0
44,279.0
45,500.0
46,220.0
47,131.0
48,187.0
49,141.0
50,500.0
51,246.0
52,190.0
53,246.0
54,174.0
55,144.0
56,174.0
57,195.0
58,288.0
59,197.0
60,295.0
61,158.0
62,352.0
63,210.0
64,159.0
65,191.0
66,146.0
67,217.0
68,500.0
69,140.0
70,281.0
71,210.0
72,118.0
73,272.0
74,126.0
75,204.0
76,266.0
77,241.0
78,24.0
79,109.0
80,193.0
81,270.0
82,128.0
83,142.0
84,105.0
85,150.0
86,142.0
87,264.0
88,115.0
89,181.0
90,98.0
91,103.0
92,114.0
93,137.0
94,160.0
95,107.0
96,75.0
97,109.0
98,68.0
99,151.0
100,179.0
101,44.0
102,117.0
103,177.0
104,118.0
105,63.0
106,171.0
107,38.0
108,125.0
109,124.0
110,27.0
111,135.0
112,166.0
113,118.0
114,136.0
115,143.0
116,139.0
117,135.0
118,232.0
119,106.0
120,123.0
121,227.0
122,126.0
123,131.0
124,28.0
125,155.0
126,154.0
127,277.0
128,116.0
129,80.0
130,283.0
131,146.0
132,45.0
133,115.0
134,146.0
135,205.0
136,29.0
137,144.0
138,113.0
139,80.0
140,117.0
141,197.0
142,160.0
143,148.0
144,107.0
145,118.0
146,190.0
147,161.0
148,97.0
149,175.0
150,99.0
151,89.0
152,175.0
153,164.0
154,70.0
155,30.0
156,63.0
157,118.0
158,132.0
159,163.0
160,128.0
161,218.0
162,178.0
163,148.0
164,128.0
165,103.0
166,104.0
167,115.0
168,108.0
169,121.0
170,156.0
171,424.0
172,124.0
173,83.0
174,161.0
175,72.0
176,108.0
177,162.0
178,185.0
179,153.0
180,122.0
181,115.0
182,109.0
183,146.0
184,92.0
185,85.0
186,109.0
187,201.0
188,137.0
189,106.0
190,108.0
191,104.0
192,307.0
193,231.0
194,98.0
195,113.0
196,142.0
197,184.0
198,60.0
199,124.0
200,175.0
201,55.0
202,105.0
203,228.0
204,57.0
205,137.0
206,173.0
207,222.0
208,107.0
209,97.0
210,132.0
211,198.0
212,117.0
213,208.0
214,48.0
215,159.0
216,94.0
217,120.0
218,14.0
219,263.0
220,387.0
221,133.0
222,161.0
223,99.0
224,97.0
225,101.0
226,102.0
227,97.0
228,111.0
229,118.0
230,37.0
231,108.0
232,215.0
233,48.0
234,174.0
235,139.0
236,14.0
237,101.0
238,30.0
239,167.0
240,30.0
241,74.0
242,93.0
243,202.0
244,69.0
245,94.0
246,167.0
247,124.0
248,114.0
249,114.0
250,97.0
251,77.0
252,176.0
253,159.0
254,113.0
255,125.0
256,238.0
257,109.0
258,98.0
259,330.0
260,193.0
261,104.0
262,63.0
263,154.0
264,189.0
265,348.0
266,353.0
267,219.0
268,93.0
269,376.0
270,127.0
271,190.0
272,158.0
273,139.0
274,89.0
275,101.0
276,187.0
277,95.0
278,107.0
279,206.0
280,26.0
281,99.0
282,99.0
283,30.0
284,238.0
285,166.0
286,238.0
287,110.0
288,119.0
289,190.0
290,258.0
291,151.0
292,72.0
293,154.0
294,96.0
295,224.0
296,96.0
297,103.0
298,102.0
299,98.0
