episodes,rewards
0,-149.79693423277902
1,-259.4972975014829
2,-82.20850223085642
3,-360.0411249774223
4,-222.85485557954422
5,-352.627047109977
6,-99.27536090709496
7,-220.45127674692873
8,-194.63908331469742
9,-72.10924251860652
10,-137.7800499380603
11,-171.28064728356844
12,-327.5585118204612
13,46.65847342801851
14,-116.3784176942856
15,-212.56734704430136
16,-179.06188023547037
17,-119.58302864645245
18,-84.32010880168596
19,-147.40831184112977
20,-119.42694755156009
21,-551.2478826085851
22,-401.634843568242
23,-309.59456123844103
24,-141.23539366164684
25,-413.48992983016046
26,-250.88585690259308
27,-218.02990808035761
28,-319.4190036492745
29,-202.5257945945875
30,-242.2064049203704
31,-196.1889753843011
32,-64.3413545537373
33,-320.95828665089937
34,-167.04190656448372
35,-360.3347975442828
36,-197.6656878816009
37,-272.3574422460981
38,-173.09415043075137
39,-164.5702248975706
40,-79.5031995931341
41,-274.0085381993508
42,-437.38687341575496
43,-122.52111625634447
44,-67.09747853954917
45,-143.81095343376882
46,-315.9610774198385
47,-56.162240594563166
48,-348.22485296705645
49,-230.15868050295126
50,-241.1827219006336
51,-240.87360492812383
52,-246.31331442171722
53,-234.56106360928055
54,-0.1583483652202915
55,-199.99039828521907
56,-86.3639228830354
57,-246.06888172483312
58,-85.94043782210521
59,-177.38935915359815
60,-193.60720406387998
61,-109.95280030560801
62,36.04197360944028
63,7.126926157996195
64,-228.307025394847
65,-250.78302866462926
66,-196.14330188018135
67,-205.22835806494032
68,-40.59155411006243
69,-51.92346055558397
70,-189.02841175083773
71,-267.92344475379326
72,-126.2688456397687
73,-270.29119077430784
74,-201.39233108429158
75,-215.14422601142832
76,-145.08515055339956
77,-79.69835768758588
78,-47.58794887215967
79,-88.28757225338742
80,-207.67805586331204
81,-174.31506642427053
82,-175.20873484992507
83,-263.1426135332557
84,-84.58752249110029
85,-59.74582207442083
86,48.73727671501487
87,-78.00266349835249
88,-163.27150779962633
89,-207.48711062430158
90,-335.8504969741924
91,-109.5775622123328
92,-66.47150006483902
93,-221.4082729929176
94,-92.17367069608311
95,-252.77730643932432
96,-311.41414789498424
97,-148.57500648558434
98,-138.32572926511597
99,-127.59655890875864
100,-87.24069758380351
101,-122.90543539851592
102,-94.36120288548955
103,-99.53985059987758
104,-75.3456162145527
105,-4.328471306021967
106,-175.60054310885627
107,-114.64622061286155
108,-123.76976699082088
109,-209.58374535081927
110,-131.7574890657572
111,-180.54304484859205
112,-153.38597736653162
113,-170.61384040876007
114,-101.06007330802564
115,-80.548891272313
116,-154.84499085743604
117,-157.98063468867835
118,-211.0775230066001
119,-15.799068065040117
120,-147.3774033733601
121,-159.4470467966019
122,-156.4445725314616
123,-162.56409146234478
124,-315.814271133179
125,-105.08135795094996
126,-123.90658401058704
127,-121.47263113409682
128,-102.65603346214236
129,-139.34248461601476
130,-148.84462461832788
131,-247.78780063050215
132,-118.76653470551688
133,-200.30812424690993
134,-142.32073743019942
135,-244.62481808065445
136,-208.695428761535
137,-220.8916298679752
138,-143.590614110091
139,-102.49052574251564
140,-145.03783035964398
141,-262.59392882639054
142,-37.272388934414366
143,-73.03959446480134
144,-74.79391426310248
145,-141.62200485940366
146,-57.230381429102096
147,-242.97555124240915
148,-19.817067394117032
149,-260.9114626045723
150,-97.68451578843823
151,-216.69362086851194
152,-386.08226683720994
153,-78.31902361699088
154,-111.51534354878889
155,-284.86173188179146
156,-76.9101100671502
157,-240.18753285057463
158,-84.3582180653266
159,-224.61685900294498
160,-101.47959605751463
161,-52.57373308791281
162,-50.27846661755977
163,-116.53642816257442
