episodes,rewards
0,21
1,8
2,7
3,9
4,9
5,7
6,8
7,8
8,8
9,7
10,8
11,9
12,8
13,9
14,9
15,8
16,9
17,9
18,9
19,9
20,8
21,9
22,8
23,8
24,8
25,8
26,9
27,8
28,10
29,9
30,8
31,8
32,8
33,7
34,9
35,8
36,8
37,9
38,8
39,8
40,9
41,9
42,8
43,10
44,8
45,9
46,8
47,9
48,8
49,8
50,9
51,8
52,8
53,7
54,9
55,8
56,9
57,9
58,7
59,9
60,9
61,8
62,9
63,8
64,9
65,9
66,9
67,9
68,8
69,8
70,8
71,9
72,8
73,8
74,7
75,8
76,9
77,9
78,7
79,8
80,7
81,8
82,7
83,9
84,8
85,8
86,8
87,8
88,9
89,8
90,7
91,8
92,8
93,7
94,9
95,7
96,9
97,7
98,9
99,10
100,9
101,9
102,9
103,9
104,8
105,7
106,8
107,9
108,9
109,8
110,9
111,9
112,8
113,7
114,9
115,8
116,9
117,9
118,8
119,8
120,9
121,8
122,7
123,9
124,7
125,9
126,8
127,8
128,8
129,8
130,9
131,7
132,8
133,9
134,8
135,8
136,9
137,8
138,8
139,8
140,9
141,9
142,7
143,9
144,9
145,9
146,7
147,8
148,9
149,8
150,7
151,8
152,8
153,9
154,8
155,8
156,8
157,8
158,9
159,8
160,9
161,8
162,8
163,8
164,9
165,8
166,9
167,9
168,7
169,9
170,9
171,9
172,10
173,8
174,8
175,8
176,10
177,9
178,8
179,8
180,8
181,8
182,9
183,7
184,8
185,8
186,9
187,9
188,8
189,8
190,7
191,7
192,9
193,8
194,9
195,8
196,9
197,8
198,10
199,8
200,9
201,9
202,8
203,9
204,10
205,8
206,7
207,8
208,7
209,8
210,7
211,8
212,8
213,8
214,8
215,9
216,9
217,9
218,8
219,9
220,8
221,10
222,9
223,8
224,9
225,10
226,7
227,7
228,10
229,9
230,8
231,9
232,9
233,7
234,8
235,9
236,8
237,9
238,8
239,7
240,8
241,8
242,7
243,7
244,8
245,9
246,8
247,8
248,8
249,8
250,9
251,9
252,8
253,8
254,8
255,8
256,9
257,8
258,9
259,9
260,8
261,8
262,8
263,8
264,7
265,8
266,9
267,9
268,8
269,7
270,7
271,7
272,8
273,7
274,9
275,9
276,8
277,9
278,7
279,10
280,8
281,9
282,8
283,7
284,8
285,8
286,9
287,9
288,9
289,8
290,8
291,9
292,8
293,9
294,8
295,8
296,9
297,9
298,9
299,9
