episodes,rewards
0,22.0
1,20.0
2,33.0
3,12.0
4,9.0
5,13.0
6,21.0
7,13.0
8,19.0
9,11.0
10,23.0
11,20.0
12,30.0
13,15.0
14,19.0
15,15.0
16,19.0
17,19.0
18,24.0
19,13.0
20,69.0
21,16.0
22,16.0
23,16.0
24,19.0
25,22.0
26,20.0
27,10.0
28,14.0
29,19.0
30,20.0
31,12.0
32,20.0
33,16.0
34,12.0
35,13.0
36,17.0
37,17.0
38,12.0
39,31.0
40,11.0
41,20.0
42,14.0
43,9.0
44,20.0
45,12.0
46,12.0
47,18.0
48,9.0
49,39.0
50,16.0
51,16.0
52,14.0
53,15.0
54,11.0
55,19.0
56,14.0
57,11.0
58,14.0
59,14.0
60,12.0
61,12.0
62,10.0
63,12.0
64,16.0
65,16.0
66,13.0
67,12.0
68,20.0
69,22.0
70,14.0
71,31.0
72,10.0
73,13.0
74,13.0
75,22.0
76,15.0
77,9.0
78,10.0
79,15.0
80,14.0
81,28.0
82,13.0
83,19.0
84,14.0
85,10.0
86,14.0
87,14.0
88,13.0
89,11.0
90,13.0
91,27.0
92,11.0
93,18.0
94,16.0
95,10.0
96,20.0
97,16.0
98,17.0
99,18.0
100,47.0
101,16.0
102,22.0
103,14.0
104,19.0
105,10.0
106,15.0
107,18.0
108,22.0
109,33.0
110,16.0
111,101.0
112,57.0
113,70.0
114,54.0
115,63.0
116,42.0
117,25.0
118,73.0
119,27.0
120,57.0
121,15.0
122,24.0
123,34.0
124,11.0
125,29.0
126,53.0
127,193.0
128,105.0
129,87.0
130,37.0
131,44.0
132,107.0
133,99.0
134,129.0
135,98.0
136,42.0
137,29.0
138,21.0
139,354.0
140,45.0
141,30.0
142,105.0
143,37.0
144,69.0
145,24.0
146,13.0
147,37.0
148,29.0
149,53.0
150,21.0
151,75.0
152,39.0
153,89.0
154,196.0
155,37.0
156,108.0
157,266.0
158,133.0
159,58.0
160,71.0
161,20.0
162,43.0
163,69.0
164,53.0
165,159.0
166,66.0
167,48.0
168,22.0
169,42.0
170,54.0
171,71.0
172,52.0
173,121.0
174,102.0
175,35.0
176,70.0
177,151.0
178,36.0
179,88.0
180,76.0
181,26.0
182,47.0
183,41.0
184,42.0
185,32.0
186,64.0
187,61.0
188,57.0
189,20.0
190,35.0
191,41.0
192,49.0
193,44.0
194,66.0
195,61.0
196,36.0
197,109.0
198,51.0
199,35.0
200,124.0
201,21.0
202,47.0
203,27.0
204,33.0
205,96.0
206,40.0
207,56.0
208,30.0
209,27.0
210,64.0
211,120.0
212,77.0
213,118.0
214,112.0
215,118.0
216,104.0
217,84.0
218,123.0
219,78.0
220,47.0
221,58.0
222,179.0
223,67.0
224,67.0
225,68.0
226,114.0
227,162.0
228,97.0
229,208.0
230,60.0
231,262.0
232,366.0
233,484.0
234,428.0
235,257.0
236,297.0
237,353.0
238,415.0
239,156.0
240,228.0
241,262.0
242,185.0
243,272.0
244,202.0
245,211.0
246,119.0
247,211.0
248,192.0
249,388.0
250,199.0
251,234.0
252,255.0
253,148.0
254,240.0
255,259.0
256,240.0
257,303.0
258,297.0
259,273.0
260,109.0
261,95.0
262,116.0
263,75.0
264,81.0
265,57.0
266,81.0
267,79.0
268,41.0
269,115.0
270,99.0
271,189.0
272,260.0
273,230.0
274,316.0
275,279.0
276,304.0
277,236.0
278,223.0
279,264.0
280,228.0
281,437.0
282,310.0
283,179.0
284,328.0
285,258.0
286,300.0
287,243.0
288,291.0
289,386.0
290,211.0
291,220.0
292,252.0
293,284.0
294,113.0
295,254.0
296,229.0
297,287.0
298,311.0
299,88.0
