episodes,rewards
0,-224.47521408909193
1,-74.17391149560657
2,-130.34111760931032
3,-150.77724388463565
4,-136.82285660482017
5,-88.80265059166774
6,-114.19192071368276
7,-202.89989759066694
8,-233.47953070909068
9,-343.13509797564825
10,-119.15269066794681
11,-110.6669836967159
12,-107.11510835409442
13,-413.83250011267097
14,-450.2002786100534
15,-221.22804983962695
16,-126.44634634931064
17,-97.77994713991416
18,-263.15780170539404
19,-375.92449043847654
20,-160.33388899697246
21,-294.92615584687957
22,-80.29133320678785
23,-69.78050717310292
24,-78.10671260917289
25,-298.0440397211463
26,-105.27271794374484
27,-189.82427546203314
28,-116.18571106142561
29,-87.7200524161429
30,-259.4756818109598
31,-179.88947017287234
32,-97.32170037214598
33,-157.0454476809921
34,-74.6356091355629
35,-48.12016825726497
36,-173.44759770800613
37,-162.24727937918814
38,-99.70605128482387
39,-153.12273919162857
40,-96.27854182807482
41,-88.91247170495903
42,-183.57550162180274
43,-127.12625426359858
44,-110.07936540911302
45,-126.23710938158356
46,-272.634567735238
47,-34.36657437039112
48,-148.2812131693617
49,-108.06355256115816
50,-433.15350418105936
51,-267.386595772236
52,-268.9726065524286
53,-182.69237394365058
54,-117.04295968661937
55,-199.38071659108334
56,-492.90790421520177
57,-233.8556502311909
58,-308.90575171490207
59,-86.97293135386732
60,-229.091116533194
61,-137.81390953214782
62,-80.95677518502733
63,-118.49126352975688
64,-107.04559999950723
65,-94.44182022169969
66,-46.2706183575718
67,-79.6007701758328
68,-213.54286113843645
69,-209.4465406826801
70,-25.65948443657041
71,-64.70324372985345
72,-129.08694389795093
73,-76.78455672914501
74,-119.45327608384628
75,-63.08515889990022
76,-204.42333010920157
77,-112.70649698090412
78,-95.53276695167338
79,-55.796844148683824
80,-141.69639945123194
81,-114.12646707270324
82,-129.13808902128994
83,-339.44321394725966
84,-119.27217195188445
85,-101.07011788457582
86,-113.92008096800924
87,-22.459971617084534
88,-157.69230151740425
89,-128.64557122642174
90,-158.24278070118933
91,-75.97928773478878
92,-109.1364202570831
93,-116.23304270399206
94,-103.85680999448014
95,-177.7700257457909
96,-24.56196971402008
97,-376.84452006862443
98,-122.23396230640932
99,-131.47667313122315
100,-210.86082183327395
101,-168.94550629779064
102,-116.94367928730921
103,-165.25637615493707
104,-180.03560122848407
105,-168.2164150462849
106,-287.56222296357913
107,-183.34866818512643
108,-273.64257758274294
109,-161.63629970426197
110,-63.312229846773
111,-37.547548013736325
112,-86.64314653095639
113,-89.29483851856563
