episodes,rewards
0,-322.9056610245216
1,-25.027020839675913
2,-141.31139931509563
3,-164.5122521642138
4,-152.6363772149484
5,-249.19424938513717
6,-293.9490290988507
7,-322.39487816232077
8,-191.53388768159562
9,-119.4700988574898
10,-397.04184141363993
11,-351.3583470143016
12,-176.60829219769795
13,-87.76159934344777
14,-228.4801724706546
15,-332.5254437524102
16,-310.335308050739
17,-130.52119373191752
18,-101.57215543566352
19,-211.57164144515457
20,-304.11242709994633
21,-376.57953344452045
22,-160.60358705589425
23,-54.29654850172398
24,-277.7561326179499
25,-453.82343836145986
26,-102.32805030785478
27,-346.16607447908655
28,-59.08062662630165
29,-117.06461428170283
30,-229.56943466640186
31,-121.29038531053077
32,-329.78029910440114
33,-93.8946275699386
34,-85.91832620213044
35,-250.76448094639798
36,-99.22854872498684
37,-257.0301288769111
38,-83.14434176663843
39,-84.17715701866884
40,-285.9432560113812
41,-284.70168670355156
42,-116.49213991581979
43,-274.3369433344151
44,-142.551962528611
45,-3.138930042665848
46,-231.19868665372047
47,-189.44253139069315
48,-249.42163199283598
49,-129.9734310563037
50,-79.71191026715637
51,-90.6502405369921
52,-95.95753131673733
53,-120.56479807085722
54,-108.4560323160208
55,-31.456528381978927
56,-251.19035223491855
57,-91.50594717186443
58,-93.8098053688548
59,-383.60407313044936
60,-131.92180422633302
61,-91.22617024834017
62,-467.64919636267194
63,-87.68584292516901
64,-356.64704782635005
65,-76.02962987821239
66,-161.47876017144182
67,-101.12891885012652
68,-278.46586988925833
69,-305.03774687364995
70,-160.75654757586057
71,-263.37335812669085
72,-98.06044288183051
73,-85.07377696286142
74,-184.74092608377788
75,-117.48302446177095
76,-160.30859025345558
77,-243.70782320279952
78,-107.15329851443335
79,-353.3786671997376
80,-26.327396664924493
81,-131.16162083250302
82,-27.320572170450987
83,-131.96926121131108
84,-146.94377213683708
85,-84.96215130755856
86,-186.32416913355405
87,-264.8013758052404
88,-148.83182164735558
89,-37.9532924548719
90,-135.77667897527868
91,-65.38333952495262
92,-224.50902203565138
93,-42.00505584281886
94,-240.57126425144108
95,-64.5887142117443
96,-137.0262599582992
97,-113.63350967006835
98,-82.01222316599998
99,-320.93922865807434
100,-73.49420776185681
101,-381.3425503210589
102,-70.91675164899034
103,-192.60803900426492
104,-116.07092672565507
105,-67.6291529277714
106,-180.08239961419045
107,-290.8692196453188
108,-256.6546208098137
109,-229.51801864448518
110,-165.9266573476412
111,-182.21152923932718
112,-312.8428572951241
113,-257.182347247233
114,-96.53916865518013
115,-325.3524360457614
116,-128.43365617499177
117,-109.8717368858222
118,-164.4695141923375
119,-197.95434615912495
120,-114.17720866716833
121,-147.1389776839076
122,-97.86575340871363
123,-212.87048229732773
124,-272.5518192847478
125,-42.23409946214237
126,-233.37489067629681
127,-72.05711634967705
128,-81.28223424205072
129,-70.2877813944053
130,-195.72038608740098
131,-328.2117542760301
132,-177.61455473047937
133,-81.07230674313323
134,-351.4334483036591
135,-19.999860902111976
136,-97.98373349353461
137,-161.52524784330382
138,-123.43276074534127
139,-116.00387676358608
140,-101.1380824974078
141,-165.35941208298044
142,-90.96699566159847
143,-127.65847461889894
144,-43.76301121537739
145,-166.41925205512328
146,-93.21728421617257
147,-247.74862818182652
148,-49.302420899402485
149,-53.43047091436331
150,-157.75532898851645
151,-103.65706324346623
152,-195.07253265302992
153,-99.42942129981996
154,-25.676714556288687
155,-175.32259245113653
156,-94.00275273319008
157,-177.97592984985994
158,-21.791254736650686
159,-109.08679234088375
160,-69.68927897031723
161,-65.47430941709575
162,-75.9725449358308
163,-178.8407393654748
164,-94.73326412178153
165,-128.23001903625624
166,-108.1593068050242
167,-93.81262748574822
168,-156.10378878814612
169,-247.40198494158577
170,-123.12346396508975
171,-56.94619442469605
172,-78.11307485840915
173,-77.15831831546468
174,-107.76907545938269
175,5.636393342299428
176,-119.55980238605704
177,-49.84234376324193
178,-45.66766086339429
179,-38.82340370697331
180,-22.106438187473827
181,-67.01303273635624
182,-110.92201330098565
183,-145.5345485814452
184,-280.0568176869672
185,-23.732562633994476
186,-60.110019436579044
187,-23.99386818597597
188,-106.66099934572667
189,-35.43661732465563
190,-195.65220386937537
191,-301.8150013164434
192,-342.1765063472242
193,-300.94231800495083
194,-288.649906666784
195,-483.1354381901775
196,-93.87332785797295
197,-40.35603470747124
