episodes,rewards
0,-108.60958292759275
1,-278.65852816563523
2,-348.0646742852905
3,-289.7402957530094
4,-94.7023549808903
5,-1.318116547159761
6,-165.79031541648618
7,-112.81232692408962
8,-115.86693470637624
9,-134.18901528281714
10,-123.21578014714353
11,-118.188234803916
12,-130.9742192106445
13,-163.61605438142252
14,-218.38624721115252
15,-178.46583193476985
16,-107.05658467534872
17,-125.09961149839606
18,-111.97001731630397
19,-143.99211927475812
20,-91.30404780717683
21,-127.35267695288562
22,-11.267958447033749
23,-158.91044830660053
24,-145.34385186313546
25,-174.2973843749247
26,-157.45731205183466
27,-143.15700930772357
28,-158.4662947056826
29,-98.41686992313663
30,-113.6632389923783
31,-85.77358254123098
32,-166.07158438466416
33,-115.1147638776319
34,-177.93078290659363
35,-85.6452425857625
36,-126.98853180348488
37,-121.51758954408405
38,-101.83805241449161
39,-146.4777873129655
40,-160.83817878065764
41,-194.39186125823124
42,-91.96190866679831
43,-113.65284510886764
44,-107.17258639887217
45,-139.427768020851
46,-110.25958834307815
47,-138.58593860255223
48,-95.93216458754122
49,21.944265682501253
50,-166.1542001501897
51,-147.6169039104026
52,-140.14011507286378
53,-136.5417054754544
54,-119.45628394955304
55,-115.61348670360681
56,-136.75880741175578
57,-128.49574593131817
58,-107.49697102356927
59,-204.98437454299048
60,-154.85944010989624
61,-186.39954605417438
62,-172.8725971101918
63,2.433080131149495
64,-139.3395782671777
65,-117.65470818577941
66,-134.47484943106969
67,-135.74567057918583
68,-137.39112553161422
69,-147.86889854897925
70,-115.82475694376535
71,-147.85029958060034
72,-110.62343245127934
73,-216.59097274816747
74,-162.62401389837729
75,-144.87439867522295
76,-154.05001728825135
77,-110.35061976636109
78,-128.53295292228466
79,-157.00035032231574
80,-94.26043186200204
81,-148.08537725277586
82,-159.47426682736494
83,20.828190895855258
84,-126.02191724550937
85,-110.19485343590185
86,-110.06103429040016
87,-123.01228893980718
88,-113.40285270569072
89,-134.194560054765
90,18.866151953764046
91,-116.77050266916743
92,-178.968144636668
93,-140.4847767621964
94,-164.4674462690988
95,-132.6232211072056
96,-148.24936277373774
97,-113.8443735723877
98,-140.52899767088837
99,-155.87734144670094
100,-123.54628536754728
101,8.34033755990643
102,-115.02875983858385
103,-156.79096887758385
104,-83.48019143747285
105,-133.91743389301053
106,-129.52943922527194
107,-128.7098582417235
108,-129.7813799699707
109,-141.87390708307524
110,-126.2042307062533
111,-149.18325962107843
112,-116.08636167111581
113,-136.15851786915252
114,-133.77054834566877
115,-113.44229575746272
116,-103.81046925877334
117,3.441099468002676
118,-148.84171622130611
119,-98.7785924143694
120,-151.4889764257622
121,-195.21338889883754
122,-5.411664396138832
123,-117.71001384853824
124,-137.23128611666758
125,-126.0566345879208
126,-141.9876604767781
127,-123.75084891930766
128,-134.75498880828923
129,-110.12660973651273
130,-168.19550689653227
131,-128.2547491688105
132,-192.12101131523843
133,-113.53113296527869
134,-119.67569124237843
135,-164.93987434868
136,-98.35175816019773
137,-198.88156140732002
138,-304.04497134921974
139,-135.95590350889208
140,-182.59645885783243
141,-109.0470958203222
142,-129.090486299341
143,-107.67560090590149
144,-130.8097573108386
145,-99.00901853033398
146,-59.061772962695926
147,-166.59141720069204
148,-156.91387841996666
149,-124.80820331846067
150,-128.59475985246794
151,-118.229164760981
152,-135.3440594837756
153,-159.0290415127646
154,-123.65670150937123
155,-40.2991190462898
156,-148.20361136369382
157,-121.59882292778113
158,-197.14850437548188
159,-105.08276273749141
160,-130.50730100240816
161,-183.00603613226428
162,-133.28295442482224
163,-125.50548632508338
164,-172.9293387796348
165,-132.07292223631075
166,-169.17689756145523
167,-135.629914609365
168,-126.75292046907902
169,-133.63327737167742
170,-155.39150077823055
