episodes,rewards
0,-300.97593492269584
1,-151.57468529855117
2,-122.72371350605532
3,-154.13862047353234
4,-136.44326073772066
5,-142.2700621456558
6,-135.16484227793003
7,-143.4989657167879
8,-105.10952319526947
9,-127.04599768839853
10,-94.63607326654125
11,-121.13010170490315
12,-112.84522859769967
13,-136.72559160042772
14,-128.56818493197827
15,-114.91088584764108
16,-153.47454982499727
17,-148.59458669152497
18,-155.5018756723959
19,-161.53037451783854
20,-58.26233044673256
21,-133.4680784054462
22,-138.03267815018904
23,-154.33389917747277
24,-121.40757413826859
25,-91.35740726538185
26,-124.92070794453625
27,-115.43594728649356
28,-108.44745590348012
29,-166.66534776485912
30,-138.0070710580306
31,-115.52368684940589
32,24.05870125144574
33,-140.79290560514306
34,-185.81334915598086
35,-133.4582853732503
36,-182.28183317901434
37,-164.40898956513274
38,-162.9940532429125
39,-105.56771332581994
40,-107.67476903492042
41,-94.39853553580545
42,-131.22512378290017
43,-142.59093352332405
44,-176.92187132835699
45,-145.42932022113854
46,-135.97930331808612
47,-161.87375728669468
48,-121.41120460275383
49,-101.6928457692178
50,-114.43395132828186
51,-111.17925756567348
52,-112.28382812333689
53,-105.39438823967973
54,-153.3594071946295
55,-131.35026864201146
56,-147.41708193929003
57,-101.31027474642312
58,-113.16784745495477
59,-134.45102818744598
60,-136.42633911837538
61,-138.8797404901555
62,-129.86778263670266
63,-127.44518994053121
64,-103.75401738694029
65,-140.1880516690319
66,-98.56898097862506
67,-94.2591369159224
68,-119.47467566899928
69,-87.38664875956036
70,-150.5010257093819
71,-92.01838368098646
72,-168.33051795823317
73,-244.58821664629124
74,-218.8912817101844
75,-161.1017026971523
76,-49.91901184706572
77,-141.68210624309756
78,-135.86639040722926
79,-158.62231509035576
80,-46.91478566714329
81,-98.82972116148744
82,-142.66737332942776
83,-142.18963392126264
84,-116.54404581196155
85,-147.77870207603425
86,-148.58445733432671
87,-116.21314690264205
88,-152.50338918968743
89,-171.74513688964436
90,-125.3733607592601
91,-93.6481070931078
92,-186.7465304079678
93,-113.64048470987643
94,-110.22565732786694
95,-89.79889149906566
96,-102.53317734327857
97,-156.9545448010466
98,-137.654733504068
99,-103.12742820933232
100,-118.86622358427317
101,-173.95598873906027
102,-169.14130042679514
103,-137.0888751705871
104,-148.90960925208063
105,-132.4448873061628
106,-129.48463761134474
107,-135.62473758451966
108,-95.79122129180544
109,-159.240840315571
110,-120.7811872933535
111,-166.4685625994967
112,-196.68918848153976
113,-20.09272998212731
114,-117.45951525919395
115,-130.45673859841045
116,-159.69224967582258
117,-174.99573930190783
118,-199.10604922831266
119,-95.28572685623453
120,-148.89360312017297
121,-113.2152193256552
122,-138.74406473132353
123,-140.61931446027688
124,-111.81535305047572
125,-150.65844719211964
126,-137.08874181234398
127,-159.70916105689798
128,-143.7135762970173
129,-151.64480009448073
130,-185.9675693477817
131,-151.18454717171116
132,-119.367010093532
133,-137.18997286955252
134,-144.69089505052145
135,-141.38762381316246
136,-200.49506878686157
137,-158.35822219316117
138,-141.49041113475857
139,-137.85845682003637
140,-92.43296509693715
141,-83.26587596354608
142,-161.33706550971473
143,-140.67460664821925
144,-121.07110785977375
145,-114.78251636922897
146,-169.58546040558917
147,-120.75601349918841
148,-111.0523648535644
149,-126.04386300355301
150,-150.6179670303067
151,-168.06864320178056
152,-163.53401201427982
153,-148.4157583715517
154,-150.08951408999417
155,-175.334867551426
156,-144.0621358998449
157,-119.0137099101409
158,-104.2782609899794
159,-141.58807166782847
160,-119.44835541910939
161,-161.46466713755296
162,-170.31266580852088
163,-121.81098016273373
164,-142.3089428648999
165,-171.6907904180662
166,-3.48249217941742
167,-121.80780984082031
168,-149.12335600277396
169,-136.70956811718463
170,-146.0945243845749
171,-149.1470458027764
172,-186.82447183499545
173,-114.27331585439325
174,-142.0472482003034
175,-148.0285365129319
176,-123.11707941882096
177,-154.45387108948074
178,-170.3630960894748
179,-157.9702883901119
180,-150.95294869324752
181,-183.01198467411677
182,-122.34023919809599
183,-156.68023968532287
184,-145.49447336591209
185,-127.74749105420227
186,-128.71795043057762
187,-157.16643565273074
188,-151.59263955278337
189,-176.72645489882598
190,-119.94018595254627
191,-153.77460566987784
192,-127.13237717020942
193,-230.52376966068687
194,-148.47112404100199
195,-174.97795477069792
196,-159.95261263539516
197,-143.0401857937726
198,-132.2924422494115
199,-158.72763559070438
200,-139.98446534668687
201,-141.40807993580808
202,-151.64552184393926
203,47.62923869683408
204,-138.08754962851384
205,-153.88663162153614
206,-136.78873532470692
207,-186.18097284695136
208,-136.70798456520143
209,-125.99572042505454
210,-135.8320936476313
211,-134.14614271352093
212,-142.31326321008171
213,-110.90839803826631
214,-191.58941952900165
215,-144.19220853905682
216,-137.5046422815491
217,-157.34220725875915
218,-106.85403808224814
219,-109.94039436557114
220,-130.648677508761
221,-159.11918343733652
222,-159.69621921894634
223,-112.46999108608276
224,-145.71584053403728
225,-131.00828880667098
226,-117.1009873107044
227,-121.18986437258354
228,-117.74676080294307
229,-133.45825970438182
230,-118.78034701536467
231,-158.63932292363683
232,-141.742693302686
233,-158.90611875800215
234,-134.24672170547618
235,-152.0437932057976
236,-118.40535419078248
237,-115.41092234165129
238,-164.8277560988179
239,-99.37648305683064
240,-133.7141304186135
241,-145.63755579964942
242,-119.45398878614535
243,-124.18942043582373
244,-59.271196102731324
245,-1.1390811963044314
246,-139.84416045546308
247,-135.17215990615287
248,-130.0777012365531
249,-137.30127965186605
250,-135.46365665843896
251,-152.49883541456603
252,-153.00859113588402
253,-133.4957969135005
254,-145.1628441677148
