episodes,rewards
0,-235.33638832550255
1,-115.57413237496262
2,-427.8312884260445
3,-229.81092509040906
4,-108.77092805384655
5,-109.59128970032165
6,-150.0442208463849
7,-177.77155064936704
8,-148.8531198184324
9,-95.38789378961675
10,-161.09834047480007
11,-163.15856374283572
12,-289.23682718399994
13,-340.14337155571866
14,-172.7112628627362
15,-111.5632143141975
16,-67.14689992232232
17,-119.67586702456568
18,-306.03781530809795
19,-91.02411197876019
20,-261.5378922407882
21,-108.83506915922452
22,-201.31817619656397
23,-236.5928315225218
24,-192.16186198119067
25,-383.73421433495724
26,-123.59409915764196
27,-91.29426009873185
28,-186.43802589040848
29,-167.76103894704113
30,-158.60618108715465
31,-380.570792266367
32,-260.4926460798598
33,-157.93807029485268
34,-370.7116156075814
35,-101.46200379522153
36,-120.08794379407021
37,-173.06718624027002
38,-113.58411333183332
39,-93.45191355399903
40,-94.23715452304134
41,-108.21724448277686
42,-82.53968511278379
43,-254.1576627686732
44,-118.63577449800304
45,-563.1945250066781
46,-59.78985094965848
47,-207.81153936572127
48,-173.24856451410136
49,-308.09599382490165
50,-233.82514109746043
51,-111.71483442189502
52,-3.0133941582431163
53,-82.83706390457493
54,-337.7091085678313
55,-105.02381506040103
56,22.706630918153266
57,-70.3622388651651
58,-244.68934033078796
59,-210.91720794080993
60,-107.70580749041305
61,-174.7515589763329
62,-264.59776122529877
63,-121.47040663841878
64,-357.27575806456457
65,-193.6325203105406
66,-311.97320931728325
67,-88.2303694962471
68,-139.28329780396115
69,-219.06882852781143
70,-275.8872080359767
71,-222.3921741688647
72,-59.8870844073504
73,-340.4875289768852
74,-350.9305820790728
75,-100.72751388096134
76,-106.51258412960274
77,-95.6165961376123
78,-91.28485818361067
79,-111.88424240000907
80,-285.2190209433587
81,-121.16068949372578
82,-386.67131108070305
83,-103.95265967107223
84,-119.63213448192079
85,-289.64241001012897
86,-117.32034280545581
87,-113.92804522675718
88,-107.3606835946347
89,-275.19966942668816
90,-152.28069285248418
91,-116.66359939778943
92,-139.96943543470627
93,-121.03321018357549
94,-155.73497197570498
95,-203.01865331874137
96,-116.12789172133597
97,-163.96858987964043
98,-267.9298051348292
99,-271.62741628906156
100,-387.9271992975288
101,-188.41413250879816
102,-38.57425249408604
103,-75.38497787948782
104,-47.53142156316356
105,-132.29468054771144
106,-178.38894434040665
107,-160.99481836981897
108,-337.80293963086257
109,-400.94983722647027
110,-133.2473252503616
111,-322.5938143046509
112,-93.28758321091965
113,-128.46920131454067
114,-143.73237191288703
115,-115.56245204541196
116,-260.8480197024571
117,-143.75124139369464
118,-205.3260690636559
119,-137.47904924233748
120,-203.63497782390982
121,-45.97658130529473
122,-370.6250742434419
123,-160.74206194518632
124,-100.07941037849503
125,-136.92583360788822
126,-61.01774079320968
127,-287.2769971886447
128,-190.1172296033571
129,-259.8917308412697
130,-60.57755492573783
131,-197.48418722369473
132,-189.22276958672558
133,-192.6023842107991
134,-31.188781854195824
135,-394.79420718114375
136,-433.77912541341436
137,-388.125375995438
138,-198.1737280755254
139,-287.41404775075614
140,-69.10311917932967
141,-165.13118325535817
142,-105.67457811671227
143,-117.06176709945998
144,-123.52766058111361
145,-187.8778846259881
146,-122.59450198077498
147,-226.848099281782
148,-182.82610956876405
149,-113.32295036483742
150,-217.29757209892438
151,-194.0350447499859
152,-141.36454152436875
153,-405.99649708934504
154,-117.63192327237348
155,-361.54875688578517
156,-74.77543676275701
157,-199.37786614444485
158,-103.28341103202317
159,-85.89371908295058
160,-106.65450683253916
161,-143.9281415556561
162,-24.989780745476438
163,-263.2626837280242
164,-105.00839478830656
165,-289.66618326990806
166,-211.48831954127337
167,-88.99334166217062
168,38.63025888869487
169,-148.23665753634708
170,-141.82308500187872
171,-85.69679717567995
172,-101.12613676704049
173,-179.96825167872913
174,-83.73764238952677
175,-215.30284965151395
176,-219.99046050050788
177,-305.9591215898119
178,-339.54394158999787
179,-102.3200644301708
180,-209.16159276926413
181,-128.17227153208233
182,-109.2754982660193
183,-60.45301886309865
184,-238.3567693829661
185,-188.07422162820535
186,-95.02400135019676
187,-217.91157806771804
188,-51.056255443422955
189,-158.13207694572705
190,-174.31503510312078
191,-84.07072107278583
192,-60.17358408615129
193,-228.65063637904828
194,-272.4937065144203
195,-214.75171649787694
196,-25.87584287044909
197,-109.8900835425611
198,-174.29207434676215
199,-94.14373675610625
200,-107.70021167059355
201,-72.68141408180958
202,-58.6412112606814
203,-282.22555401799787
204,-44.45877435428683
205,-99.01457340650234
206,-106.47159679802974
207,-107.05469779896723
208,-258.9742602112134
209,-27.935262486167844
210,-60.256663874772315
211,-232.90382191037526
212,-75.23271109734263
213,-67.84721356492238
214,-283.127033780597
215,-158.58770765057102
216,-37.98822649380803
217,-136.58068968253718
218,-62.54571858590986
219,-123.75464770811847
220,-344.49248842885737
221,-124.95788013445666
222,-155.60559304755816
223,-213.63833364684007
224,-41.4550105241233
225,-133.7002653494062
226,-96.32270273835164
227,-92.64909596540384
228,-76.51182034527118
229,-283.3048283535374
230,-138.17650029437868
231,-326.6807665984753
232,-434.034823624963
233,-298.8097752074961
234,-133.15122872217216
235,-191.7057202940045
236,-97.38132533612817
237,-164.39751265066724
238,-206.70828195141775
239,-119.52776280673359
240,-134.30298179775687
241,-177.7799866706378
242,-66.04793681197606
243,-64.81245756665169
244,-244.88687173558003
245,-184.4056853250988
246,-114.14641969815791
247,-45.572861445379786
248,-123.06297418734943
249,-80.82359093358899
250,-425.60914695552844
251,-238.20187220413047
252,-97.84462175884784
253,-57.87837569526067
254,-70.13181804949227
255,-198.19053679933882
256,-58.88302906706268
257,-57.4063224696861
258,-368.1748925612276
259,-253.69654616047427
260,-111.63165724090534
261,-133.3622086769611
262,-109.4188683535685
263,-273.23759689352806
264,-131.95101825772625
265,-292.48118879413533
266,-254.47471676775857
267,-116.6847822487698
268,-266.7753632054299
269,-235.32717608422658
270,-95.4663935537423
271,-127.22067517137994
272,-160.38921566366207
273,-67.58643976102861
274,-80.57315471053136
275,-144.90418377299886
276,-144.02704189837027
277,-374.3232504904666
278,-337.15244370128073
279,-60.034798462904476
280,-232.25001649520527
281,-250.622382417081
282,-93.40400235423282
283,-251.53702594465918
284,-406.61849513341997
285,-196.3977810459116
286,-65.21867466670159
287,-90.49415419462585
288,-40.038422104889634
289,-287.2258244120691
290,-269.18711447077624
291,-231.2139221391718
292,-121.4161416607856
293,-35.90890076864116
294,-295.58834117544825
295,-91.63574048284507
296,-88.99655595292988
297,-111.386354628078
298,-83.41397482917864
299,-53.89108408449872
