episodes,rewards
0,25
1,17
2,33
3,14
4,13
5,8
6,8
7,9
8,9
9,7
10,9
11,9
12,8
13,9
14,8
15,9
16,8
17,10
18,9
19,9
20,8
21,8
22,9
23,8
24,9
25,8
26,9
27,9
28,8
29,8
30,7
31,9
32,9
33,9
34,8
35,9
36,8
37,9
38,9
39,9
40,8
41,7
42,8
43,8
44,7
45,9
46,9
47,8
48,9
49,8
50,9
51,9
52,8
53,9
54,7
55,9
56,7
57,7
58,9
59,7
60,8
61,9
62,8
63,8
64,9
65,8
66,8
67,9
68,7
69,8
70,8
71,8
72,9
73,8
74,9
75,7
76,9
77,9
78,8
79,9
80,7
81,9
82,8
83,8
84,9
85,8
86,7
87,8
88,7
89,7
90,8
91,8
92,8
93,8
94,8
95,8
96,9
97,7
98,7
99,8
100,8
101,8
102,8
103,8
104,7
105,9
106,8
107,8
108,8
109,8
110,8
111,7
112,8
113,8
114,8
115,8
116,8
117,9
118,9
119,7
120,8
121,9
122,9
123,8
124,8
125,8
126,9
127,9
128,7
129,7
130,7
131,8
132,8
133,9
134,8
135,8
136,8
137,8
138,8
139,9
140,8
141,8
142,9
143,8
144,8
145,10
146,9
147,8
148,9
149,8
150,8
151,7
152,8
153,9
154,8
155,8
156,10
157,8
158,8
159,8
160,9
161,9
162,8
163,8
164,9
165,9
166,7
167,8
168,8
169,8
170,8
171,8
172,9
173,8
174,8
175,9
176,9
177,7
178,9
179,7
180,9
181,9
182,8
183,9
184,9
185,8
186,8
187,9
188,9
189,7
190,9
191,7
192,8
193,9
194,8
195,8
196,8
197,9
198,8
199,9
200,7
201,9
202,7
203,8
204,9
205,9
206,9
207,7
208,9
209,8
210,8
211,7
212,9
213,8
214,7
215,9
216,9
217,9
218,10
219,8
220,7
221,8
222,8
223,8
224,8
225,9
226,9
227,7
228,7
229,8
230,9
231,8
232,8
233,9
234,9
235,9
236,9
237,9
238,8
239,7
240,9
241,8
242,7
243,8
244,9
245,8
246,7
247,9
248,9
249,9
250,8
251,8
252,9
253,9
254,8
255,9
256,7
257,8
258,7
259,9
260,7
261,9
262,7
263,10
264,8
265,8
266,9
267,8
268,8
269,7
270,9
271,9
272,9
273,9
274,9
275,9
276,10
277,9
278,9
279,8
280,8
281,8
282,9
283,8
284,9
285,7
286,8
287,8
288,9
289,8
290,9
291,8
292,8
293,9
294,9
295,7
296,9
297,8
298,8
299,8
