episodes,rewards
0,-68.63464656630242
1,-145.18300346884496
2,-376.4426648617932
3,-83.24938854208027
4,-81.63159098412162
5,-325.82191818074443
6,-166.62600397412683
7,-21.03857039788977
8,-155.75704391755238
9,-196.93918966420827
10,-97.3051854900615
11,-85.67647460404396
12,-224.90033661203262
13,-243.01636571771144
14,-302.15871616162633
15,-171.8548565514482
16,-327.8752743581306
17,-188.48108347310642
18,-176.31781488587558
19,-70.08625820898155
20,-286.15287709484096
21,-254.97376718908464
22,-127.1837314383713
23,-263.58052556006476
24,-182.05602992862583
25,-215.0122593609067
26,-214.16613277269317
27,-19.897905255474313
28,-78.79094621418622
29,-38.83090844611403
30,-166.010623969736
31,-243.0531312615315
32,-20.807930613258307
33,-32.941799227124136
34,-45.188441755743995
35,-21.477721281134293
36,-154.74170899319282
37,-238.07007931143787
38,-203.78819756824004
39,-304.02951072700245
40,-158.82441097745155
41,-30.115137282086238
42,25.833490787122614
43,-164.7433914867352
44,-32.93925158075025
45,-108.13992558518468
46,6.60934856467054
47,-57.8196063028992
48,-34.73459695367055
49,-166.51199142294575
50,54.22367466751081
51,-28.744734506965997
52,-283.4121701623337
53,-241.8342581433904
54,-56.37605709830906
55,-251.8720320917484
56,-20.04261917227676
57,-104.64258322933146
58,-37.03375325483226
59,-118.22725927361901
60,-23.82136449253757
61,2.116152480122281
62,-186.57726121204007
63,-313.97752683146535
64,-79.88258403917169
65,-62.85809152277318
66,-212.9340453114287
67,-96.69144659122331
68,-127.79144874743251
69,-269.98775169395276
70,-13.902278123249076
71,214.86696780612135
72,-202.6530617232351
73,-124.2635708478175
74,-31.58270344614546
75,62.28855019565452
76,-7.413597574710664
77,172.02251292741352
78,-32.451188959199484
79,-192.206253546425
80,158.17485541167952
81,-14.26536070517841
82,-135.47608259824295
83,3.854353421929787
84,-195.48787063172313
85,-216.44101469928796
86,-383.5869343543509
87,-47.49972312140555
88,-37.4393972036853
89,-71.8909698127874
90,48.29510848395147
91,8.691239537186249
92,-318.2680001128275
93,-224.32443477785154
94,71.31291742264996
95,-218.5782524553291
96,-112.18779784295019
97,9.527770621721828
98,-81.01544175319574
99,138.2887451707673
100,-237.85719437056355
101,-98.89255663413249
102,182.28219447609925
103,-38.95081523900486
104,-229.69228435087726
105,177.89203769492966
106,-265.68565056680757
107,-68.71921162010533
108,-253.08329843878096
109,-223.82021692822303
110,-69.2051627439498
111,-259.54551134727
112,-174.24156174022937
113,-61.72579247101234
