episodes,rewards
0,15
1,14
2,9
3,36
4,11
5,10
6,10
7,11
8,10
9,9
10,20
11,9
12,10
13,9
14,9
15,9
16,9
17,7
18,10
19,9
20,9
21,9
22,8
23,9
24,7
25,10
26,9
27,10
28,9
29,8
30,8
31,9
32,8
33,9
34,9
35,9
36,9
37,9
38,9
39,7
40,8
41,7
42,8
43,7
44,9
45,9
46,8
47,9
48,7
49,9
50,9
51,7
52,9
53,8
54,9
55,7
56,8
57,9
58,9
59,7
60,9
61,9
62,9
63,8
64,10
65,9
66,10
67,10
68,9
69,9
70,10
71,10
72,9
73,9
74,9
75,8
76,9
77,7
78,8
79,10
80,8
81,7
82,9
83,8
84,9
85,8
86,7
87,11
88,7
89,9
90,8
91,9
92,10
93,8
94,10
95,7
96,8
97,10
98,8
99,9
100,10
101,9
102,10
103,10
104,8
105,10
106,7
107,11
108,9
109,9
110,8
111,9
112,8
113,8
114,10
115,10
116,8
117,16
118,8
119,8
120,13
121,10
122,35
123,8
124,11
125,11
126,14
127,9
128,11
129,8
130,10
131,11
132,9
133,12
134,10
135,15
136,13
137,8
138,28
139,8
140,19
141,12
142,13
143,13
144,18
145,31
146,17
147,11
148,25
149,8
150,33
151,20
152,38
153,42
154,97
155,46
156,31
157,34
158,25
159,87
160,43
161,59
162,45
163,47
164,72
165,67
166,39
167,110
168,61
169,41
170,143
171,65
172,49
173,64
174,134
175,78
176,81
177,158
178,146
179,97
180,151
181,148
182,112
183,37
184,264
185,62
186,143
187,226
188,112
189,307
190,305
191,356
192,75
193,154
194,230
195,240
196,103
197,297
198,198
199,208
200,165
201,231
202,160
203,140
204,221
205,111
206,149
207,208
208,210
209,133
210,205
211,165
212,249
213,252
214,116
215,113
216,200
217,135
218,387
219,91
220,191
221,98
222,80
223,301
224,402
225,133
226,202
227,240
228,70
229,173
230,112
231,268
232,172
233,218
234,158
235,200
236,246
237,115
238,167
239,199
240,199
241,223
242,188
243,162
244,164
245,112
246,228
247,138
248,144
249,156
250,108
251,197
252,170
253,240
254,193
255,104
256,204
257,142
258,210
259,171
260,147
261,238
262,147
263,122
264,126
265,149
266,182
267,187
268,146
269,214
270,199
271,279
272,260
273,240
274,260
275,466
276,311
277,407
278,333
279,225
280,487
281,256
282,234
283,224
284,314
285,88
286,165
287,482
288,225
289,95
290,522
291,170
292,728
293,178
294,914
295,182
296,959
297,161
298,201
299,351
