episodes,rewards
0,9.0
1,26.0
2,11.0
3,50.0
4,41.0
5,11.0
6,19.0
7,21.0
8,40.0
9,10.0
10,12.0
11,33.0
12,23.0
13,30.0
14,34.0
15,16.0
16,22.0
17,63.0
18,21.0
19,32.0
20,71.0
21,21.0
22,30.0
23,14.0
24,15.0
25,69.0
26,18.0
27,17.0
28,27.0
29,73.0
30,78.0
31,17.0
32,43.0
33,60.0
34,42.0
35,70.0
36,51.0
37,74.0
38,69.0
39,99.0
40,40.0
41,61.0
42,101.0
43,83.0
44,135.0
45,254.0
46,97.0
47,168.0
48,193.0
49,213.0
50,227.0
51,184.0
52,214.0
53,87.0
54,222.0
55,176.0
56,183.0
57,140.0
58,202.0
59,191.0
60,219.0
61,207.0
62,192.0
63,230.0
64,141.0
65,216.0
66,254.0
67,237.0
68,225.0
69,237.0
70,351.0
71,185.0
72,215.0
73,97.0
74,199.0
75,187.0
76,97.0
77,291.0
78,231.0
79,350.0
80,255.0
81,267.0
82,128.0
83,295.0
84,327.0
85,269.0
86,212.0
87,297.0
88,380.0
89,308.0
90,195.0
91,217.0
92,210.0
93,151.0
94,206.0
95,196.0
96,177.0
97,262.0
98,183.0
99,156.0
100,154.0
101,149.0
102,141.0
103,124.0
104,123.0
105,128.0
106,172.0
107,135.0
108,154.0
109,124.0
110,144.0
111,148.0
112,155.0
113,154.0
114,154.0
115,149.0
116,151.0
117,152.0
118,157.0
119,157.0
120,163.0
121,183.0
122,168.0
123,171.0
124,180.0
125,170.0
126,181.0
127,181.0
128,194.0
129,246.0
130,192.0
131,222.0
132,221.0
133,220.0
134,294.0
135,240.0
136,258.0
137,257.0
138,275.0
139,256.0
140,215.0
141,230.0
142,260.0
143,246.0
144,211.0
145,255.0
146,272.0
147,249.0
148,263.0
149,268.0
150,287.0
151,240.0
152,301.0
153,271.0
154,240.0
155,299.0
156,259.0
157,316.0
158,337.0
159,337.0
160,435.0
161,500.0
162,500.0
163,500.0
164,500.0
165,396.0
166,451.0
167,338.0
168,279.0
169,500.0
170,398.0
171,231.0
172,420.0
173,350.0
174,500.0
175,370.0
176,444.0
177,416.0
178,500.0
179,307.0
180,472.0
181,410.0
182,291.0
183,322.0
184,464.0
185,288.0
186,292.0
187,278.0
188,236.0
189,271.0
190,248.0
191,207.0
192,257.0
193,210.0
194,234.0
195,315.0
196,241.0
197,311.0
198,327.0
199,360.0
200,386.0
201,237.0
202,282.0
203,260.0
204,416.0
205,479.0
206,335.0
207,500.0
208,211.0
209,264.0
210,306.0
211,217.0
212,500.0
213,428.0
214,251.0
215,315.0
216,320.0
217,224.0
218,235.0
219,200.0
220,249.0
221,206.0
222,185.0
223,181.0
224,185.0
225,212.0
226,188.0
227,181.0
228,196.0
229,197.0
230,177.0
231,189.0
232,190.0
233,177.0
234,189.0
235,171.0
236,193.0
237,11.0
238,184.0
239,174.0
240,174.0
241,134.0
242,183.0
243,267.0
244,221.0
245,500.0
246,104.0
247,88.0
248,347.0
249,452.0
250,500.0
251,500.0
252,440.0
253,478.0
254,396.0
255,304.0
256,333.0
257,383.0
258,390.0
259,437.0
260,318.0
261,358.0
262,377.0
263,331.0
264,326.0
265,299.0
266,156.0
267,199.0
268,282.0
269,298.0
270,258.0
271,270.0
272,180.0
273,266.0
274,223.0
275,312.0
276,311.0
277,251.0
278,338.0
279,127.0
280,203.0
281,122.0
282,119.0
283,108.0
284,120.0
285,127.0
286,137.0
287,138.0
288,129.0
289,134.0
290,130.0
291,131.0
292,133.0
293,136.0
294,136.0
295,139.0
296,142.0
297,139.0
298,132.0
299,132.0
