episodes,rewards
0,11.0
1,73.0
2,22.0
3,25.0
4,61.0
5,13.0
6,14.0
7,25.0
8,10.0
9,53.0
10,23.0
11,56.0
12,109.0
13,38.0
14,102.0
15,35.0
16,67.0
17,30.0
18,97.0
19,91.0
20,117.0
21,133.0
22,79.0
23,91.0
24,135.0
25,296.0
26,405.0
27,203.0
28,217.0
29,199.0
30,158.0
31,438.0
32,147.0
33,290.0
34,172.0
35,181.0
36,214.0
37,274.0
38,274.0
39,293.0
40,237.0
41,232.0
42,183.0
43,229.0
44,314.0
45,244.0
46,227.0
47,272.0
48,278.0
49,406.0
50,208.0
51,500.0
52,293.0
53,180.0
54,278.0
55,186.0
56,234.0
57,238.0
58,194.0
59,224.0
60,230.0
61,377.0
62,163.0
63,175.0
64,210.0
65,128.0
66,141.0
67,115.0
68,118.0
69,111.0
70,113.0
71,145.0
72,133.0
73,144.0
74,123.0
75,124.0
76,130.0
77,147.0
78,161.0
79,163.0
80,136.0
81,144.0
82,127.0
83,129.0
84,180.0
85,186.0
86,198.0
87,161.0
88,134.0
89,24.0
90,91.0
91,21.0
92,16.0
93,14.0
94,20.0
95,111.0
96,173.0
97,167.0
98,167.0
99,338.0
100,229.0
101,168.0
102,356.0
103,321.0
104,194.0
105,169.0
106,182.0
107,174.0
108,371.0
109,149.0
110,173.0
111,217.0
112,161.0
113,249.0
114,236.0
115,204.0
116,217.0
117,233.0
118,215.0
119,218.0
120,155.0
121,207.0
122,194.0
123,213.0
124,254.0
125,201.0
126,254.0
127,172.0
128,238.0
129,183.0
130,236.0
131,191.0
132,168.0
133,500.0
134,174.0
135,161.0
136,75.0
137,265.0
138,194.0
139,160.0
140,184.0
141,169.0
142,253.0
143,236.0
144,180.0
145,154.0
146,254.0
147,150.0
148,143.0
149,144.0
150,136.0
151,128.0
152,142.0
153,137.0
154,135.0
155,143.0
156,151.0
157,149.0
158,165.0
159,171.0
160,171.0
161,142.0
162,180.0
163,167.0
164,135.0
165,156.0
166,182.0
167,148.0
168,141.0
169,134.0
170,133.0
171,190.0
172,167.0
173,126.0
174,147.0
175,157.0
176,139.0
177,129.0
178,176.0
179,126.0
180,129.0
181,126.0
182,126.0
183,138.0
184,125.0
185,130.0
186,150.0
187,128.0
188,139.0
189,136.0
190,246.0
191,136.0
192,130.0
193,113.0
194,135.0
195,127.0
196,132.0
197,115.0
198,125.0
199,121.0
200,120.0
201,128.0
202,116.0
203,22.0
204,11.0
205,126.0
206,180.0
207,96.0
208,197.0
209,146.0
210,198.0
211,193.0
212,404.0
213,192.0
214,164.0
215,159.0
216,164.0
217,182.0
218,149.0
219,161.0
220,185.0
221,191.0
222,163.0
223,135.0
224,299.0
225,135.0
226,126.0
227,118.0
228,119.0
229,46.0
230,61.0
231,198.0
232,130.0
233,155.0
234,141.0
235,141.0
236,173.0
237,165.0
238,154.0
239,189.0
240,174.0
241,193.0
242,157.0
243,127.0
244,164.0
245,227.0
246,187.0
247,167.0
248,148.0
249,200.0
250,98.0
251,110.0
252,128.0
253,160.0
254,91.0
255,437.0
256,149.0
257,190.0
258,279.0
259,315.0
260,210.0
261,125.0
262,127.0
263,172.0
264,284.0
265,176.0
266,200.0
267,226.0
268,286.0
269,248.0
270,141.0
271,239.0
272,312.0
273,351.0
274,18.0
275,272.0
276,112.0
277,162.0
278,202.0
279,156.0
280,178.0
281,304.0
282,279.0
283,241.0
284,158.0
285,271.0
286,304.0
287,315.0
288,196.0
289,469.0
290,159.0
291,137.0
292,114.0
293,108.0
294,134.0
295,123.0
296,120.0
297,74.0
298,88.0
299,85.0
