episodes,rewards
0,-363.4493873394323
1,-341.4986806057425
2,-114.89047993521201
3,-138.1938481637976
4,-67.98016629313828
5,-265.55790679626057
6,-132.55332418955382
7,-154.29995052705416
8,-366.2934076342874
9,-175.98952929950113
10,-122.72827628845015
11,-280.0127010565351
12,-222.61741689222936
13,-294.1204804885401
14,-507.9829866885037
15,-139.3555889472595
16,-101.02897877308723
17,-148.02224797865637
18,-164.39757866676422
19,-260.4914658847922
20,-113.72121296451148
21,-301.11290157583437
22,-145.80820552392873
23,-83.4994713805364
24,-87.57067549151137
25,-90.50879575808813
26,-410.9541583432218
27,-26.239768523355053
28,-397.36476687890286
29,-260.8594529964282
30,-104.19826341256235
31,-109.64828390266516
32,-461.2895639520513
33,-112.33172836219352
34,-133.4717681097832
35,-63.97037966008479
36,-167.1835253250149
37,-111.603090179178
38,-92.60311187686817
39,-78.30670514411518
40,-225.18314058713847
41,-213.52981257782363
42,-97.79179553622401
43,-87.56160928971838
44,-190.25025066277607
45,-428.0701519134133
46,-373.7914295598244
47,-192.58254136432026
48,-244.87023477603753
49,-83.25587210135684
50,-136.6386470034901
51,-290.3202679127305
52,-402.9371532958922
53,-288.66578806384564
54,-424.6397189333706
55,-141.76970413352106
56,-239.42819630010226
57,-136.4013008880734
58,-323.36404627839744
59,-392.9637660645342
60,-304.79793413570656
61,-417.5888336783778
62,-329.05154591798794
63,-153.81820950257747
64,-342.1183624164055
65,-123.83210647826755
66,-369.9724921870139
67,-305.20981663405166
68,-264.6387174852374
69,-80.64853023081163
70,-236.20906923807433
71,-370.14316524171016
72,-122.76120942627105
73,-257.96384814433713
74,-220.133123724381
75,-289.19721864099256
76,-404.6657352714057
77,-34.93585504820433
78,-109.63567171414596
79,-391.5181965465122
80,-286.4797907278351
81,-254.58291420365765
82,-392.42394492576125
83,-78.49457502823105
84,-8.581218998314142
85,-316.42598812247144
86,52.40291135719919
87,0.33818100926946215
88,-232.20393068563448
89,-396.37054046726263
90,-415.66589128757533
91,-185.10462026850053
92,-415.52896370535575
93,-191.37698202782246
94,-44.814006809655325
95,-281.6296938919389
96,-384.5815695166655
97,-403.6782245156126
98,-426.7755690833303
99,-14.693075441864679
100,-220.6102654096152
101,-171.1654279384153
102,-289.6769485128207
103,-104.77421681162902
104,-307.89856269993606
105,-208.82876267497198
106,-235.9838226097991
107,-114.31038257773986
108,-308.6270139030726
109,-205.2827578557828
110,-250.33628996466803
111,-256.08126769640955
112,-96.75517385152719
113,-51.82520010442164
114,-122.23422764895784
115,-119.39250992815624
116,-517.0265730739404
117,-116.43002018056578
118,-92.16918516612071
119,-21.98084990992014
120,-242.80329100381013
121,-158.2225415461858
122,-309.9967214899063
123,-189.70622864990668
124,-264.95551523284314
125,-206.2107162677364
126,-270.7790031861096
127,-401.69053054629177
128,-223.77173746959653
129,-185.724249874562
130,-200.03706085194415
131,-97.59233480482395
132,-181.00532332821444
133,-331.7149604970436
134,-340.96566123067396
135,-274.6723722943117
136,-431.35375427950055
137,-285.51964617547327
138,-433.94042471595804
139,-254.74485432484627
140,-312.0238535215258
141,-312.35344743432336
142,-259.054660900762
143,-248.5472550706387
144,-145.29446140522677
145,-168.68372034452454
146,-265.8550974197947
147,-177.4283147967381
148,-124.73558342657141
149,-116.67939139593192
150,-147.64339420176714
151,-112.33064627193431
152,-184.40700669607418
153,-300.96616453786646
154,-65.32726334054567
155,-229.76336340529758
156,-189.18114289203606
157,-343.2330253694179
158,-179.81963164602345
159,-250.65064265232456
160,-277.8960745020743
161,-249.9443726183468
162,-291.74583689392546
163,-221.35381836481668
164,-134.57340718467623
165,-161.27665791427168
