episodes,rewards
0,-115.12638286337746
1,-679.9448122890552
2,-595.7373787186971
3,-766.220467179559
4,-752.7404430118498
5,-676.4202049779085
6,-619.6848515529007
7,-899.4705147614203
8,-578.595975197326
9,-816.1819984423071
10,-660.1429991516021
11,-586.4610688161449
12,-2636.3258141227757
13,-559.7662801734839
14,-534.1192426776315
15,-777.627360420556
16,-509.73026800292786
17,-773.5676896985699
18,-513.7954161788548
19,-1034.1579725200827
20,-527.50204507491
21,-1086.8129913260402
22,-2075.8628681782884
23,-644.095143211686
24,-617.2153723650035
25,-1814.6402176875467
26,-532.2371296646618
27,-640.1769576693154
28,-531.5960912892822
29,-577.2420345163478
30,-955.7258898482675
31,-840.6515491513176
32,-1054.4519276228439
33,-656.6843948338835
34,-1254.0591124808539
35,-1020.754285013822
36,-1463.9893582783502
37,-1058.5902222077032
38,-603.5404228676009
39,-3224.210444001519
40,-950.3962536295026
41,-673.5592998149983
42,-547.8080516169084
43,-1275.9258040485088
44,-578.416158143709
45,-644.4615286508159
46,-845.0321182454728
47,-703.4204243503673
48,-539.6229315099387
49,-1003.6754376380525
50,-3116.2206655477994
51,-592.5088376118841
52,-1296.2954593673455
53,-718.4686935636793
54,-2930.48907293544
55,-568.5188326883839
56,-640.091556305497
57,-1501.4717058462445
58,-683.8219374380101
59,-385.7425233022741
60,-467.61340158266836
61,-1039.3240314598818
62,-496.4288291356662
63,-990.1290349979705
64,-2101.0617378763877
65,-474.0139543732802
66,-534.7259807938902
67,-1436.955640676067
68,-484.2475465446398
69,-872.2160487200034
70,-538.192749701547
71,-514.5574224440658
72,-659.0819790619158
73,-882.9013070628338
74,-1024.2816053128809
75,-686.0746403298231
76,-678.8105672118777
77,-1872.7026501779712
78,-650.3785313218575
79,-447.9724799472089
80,-549.6083577455463
81,-1569.592274643034
82,-808.0846901335354
83,-528.161988774224
84,-790.3696107064573
85,-656.6555864257762
86,-465.4460877164846
87,-2249.2402553359284
88,-692.1689122554006
89,-909.7000637515644
90,-814.6708111365374
91,-705.6245649801547
92,-659.109312681152
