episodes,rewards
0,32
1,16
2,33
3,27
4,39
5,13
6,22
7,9
8,22
9,17
10,48
11,20
12,18
13,58
14,20
15,19
16,23
17,14
18,19
19,67
20,27
21,12
22,29
23,24
24,15
25,24
26,12
27,30
28,29
29,16
30,76
31,16
32,44
33,28
34,27
35,50
36,28
37,14
38,31
39,8
40,15
41,34
42,17
43,25
44,18
45,23
46,37
47,28
48,47
49,23
50,24
51,17
52,37
53,57
54,29
55,27
56,17
57,25
58,31
59,69
60,26
61,11
62,35
63,85
64,71
65,27
66,32
67,73
68,29
69,44
70,56
71,24
72,50
73,18
74,50
75,62
76,32
77,15
78,58
79,51
80,59
81,12
82,26
83,16
84,52
85,51
86,40
87,94
88,33
89,33
90,22
91,44
92,95
93,21
94,33
95,35
96,22
97,30
98,31
99,32
100,19
101,38
102,84
103,31
104,89
105,49
106,34
107,25
108,33
109,49
110,42
111,56
112,40
113,36
114,17
115,73
116,23
117,67
118,27
119,103
120,41
121,44
122,35
123,110
124,161
125,98
126,113
127,113
128,82
129,96
130,60
131,299
132,101
133,50
134,71
135,57
136,27
137,29
138,139
139,90
140,56
141,55
142,250
143,224
144,109
145,41
146,139
147,253
148,221
149,235
150,208
151,305
152,111
153,70
154,116
155,314
156,104
157,55
158,66
159,142
160,96
161,97
162,324
163,167
164,173
165,92
166,405
167,137
168,136
169,148
170,323
171,145
172,124
173,133
174,132
175,442
176,229
177,183
178,216
179,453
180,197
181,239
182,263
183,134
184,87
185,243
186,145
187,125
188,339
189,155
190,114
191,725
192,214
193,527
194,261
195,152
196,309
197,613
198,207
199,171
200,334
201,434
202,207
203,372
204,127
205,394
206,305
207,331
208,190
209,238
210,130
211,214
212,258
213,224
214,302
215,510
216,153
217,152
218,249
219,450
220,246
221,137
222,238
223,160
224,184
225,260
226,509
227,219
228,241
229,453
230,137
231,240
232,123
233,213
234,170
235,562
236,208
237,148
238,139
239,220
240,278
241,361
242,212
243,137
244,91
245,436
246,218
247,183
248,123
249,209
250,93
251,176
252,226
253,190
254,241
255,122
256,291
257,113
258,65
259,421
260,123
261,122
262,505
263,367
264,444
265,426
266,185
267,140
268,104
269,235
270,219
271,402
272,143
273,237
274,97
275,208
276,116
277,196
278,169
279,118
280,124
281,140
282,138
283,183
284,129
285,48
286,128
287,54
288,114
289,130
290,138
291,188
292,173
293,521
294,131
295,367
296,352
297,302
298,383
299,239
300,429
301,157
302,289
303,308
304,166
305,210
306,243
307,325
308,334
309,236
310,487
311,668
312,222
313,222
314,353
315,286
316,552
317,187
318,292
319,266
320,255
321,138
322,329
323,182
324,161
325,245
326,155
327,194
328,146
329,181
330,324
331,162
332,232
333,202
334,127
335,123
336,144
337,316
338,119
339,153
340,140
341,166
342,137
343,184
344,416
345,196
346,170
347,174
348,184
349,445
350,204
351,214
352,173
353,188
354,187
355,167
356,169
357,189
358,215
359,177
360,643
361,178
362,247
363,225
364,803
365,149
366,186
367,253
368,282
369,216
370,177
371,382
372,270
373,114
374,389
375,395
376,702
377,281
378,186
379,299
380,239
381,295
382,152
383,545
384,162
385,254
386,122
387,181
388,280
389,290
390,217
391,269
392,264
393,146
394,188
395,226
396,219
397,111
398,255
399,138
400,56
401,185
402,201
403,157
404,208
405,355
406,203
407,170
408,309
409,156
410,214
411,187
412,183
413,275
414,277
415,188
416,175
417,345
418,282
419,182
420,215
421,249
422,347
423,136
424,191
425,140
426,212
427,211
428,282
429,260
430,161
431,233
432,223
433,429
434,204
435,198
436,383
437,420
438,218
439,191
440,393
441,424
442,274
443,368
444,256
445,296
446,324
447,210
448,563
449,205
450,284
451,273
452,386
453,259
454,264
455,197
456,282
457,161
458,268
459,305
460,365
461,468
462,495
463,318
464,732
465,306
466,347
467,346
468,513
469,263
470,269
471,336
472,532
473,773
474,270
475,220
476,229
477,335
478,311
479,225
480,276
481,206
482,314
483,216
484,266
485,299
486,436
487,287
488,337
489,329
490,413
491,350
492,192
493,258
494,533
495,315
496,290
497,242
498,282
499,504
500,206
501,376
502,611
503,214
504,275
505,346
506,871
507,415
508,247
509,329
510,338
511,219
512,361
513,538
514,291
515,396
516,253
517,499
518,373
519,187
520,259
521,313
522,176
523,300
524,185
525,497
526,343
527,191
528,144
529,277
530,508
531,175
532,380
533,367
534,221
535,323
536,148
537,198
538,481
539,600
540,383
541,376
542,229
543,343
544,516
545,269
546,293
547,302
548,436
549,295
550,327
551,494
552,533
553,542
554,292
555,509
556,727
557,683
558,220
559,146
560,813
561,308
562,329
563,587
564,314
565,354
566,523
567,280
568,279
569,244
570,219
571,336
572,198
573,220
574,339
575,344
576,250
577,122
578,265
579,200
580,235
581,237
582,181
583,326
584,172
585,326
586,242
587,212
588,432
589,418
590,419
591,417
592,475
593,267
594,897
595,475
596,250
597,328
598,415
599,282
