episodes,rewards
0,-217.91188754648107
1,-74.88188889407269
2,-108.46104245029443
3,-79.94592543441743
4,-135.86783359221087
5,-263.4305397009076
6,-217.8542638161236
7,-51.07462228385057
8,-106.36861968643892
9,-45.19465900765801
10,-108.5215706384471
11,-130.8294537242465
12,-28.322599554883155
13,-44.882611551824084
14,-207.82428408821352
15,-3.4049643994146805
16,-225.3909073581757
17,-115.78627294282956
18,184.79535667265748
19,-24.52769862501887
20,-10.722260281021804
21,-48.70394894327556
22,-58.78429201793072
23,-63.293688249148204
24,-91.54032637878554
25,-150.80583305343842
26,-59.33282204634247
27,-163.93409556279238
28,-106.78864494347938
29,-98.92754199656126
30,-85.30323097317445
31,-158.08103891095544
32,-173.89824025117971
33,-20.875582654371073
34,-137.629755369687
35,-196.66396189751947
36,-36.22521144340832
37,-51.79752041532702
38,-56.23531680727061
39,-91.40085964124734
40,-126.78215412530484
41,-156.52518512543895
42,-103.02412161736758
43,-183.00328896864323
44,-123.40299860105807
45,-52.16954034714221
46,-99.59176178315337
47,-138.98438529933023
48,-489.784422133495
49,-741.952676677867
50,-117.91632807088752
51,-485.6034570024922
52,-405.5864595688399
53,-617.6983557560711
54,-32.16428230183864
55,-31.5388584178203
56,-134.89695261491698
57,-53.364722321768035
58,-74.07714028620181
59,-181.4868170984992
60,-87.14243395580972
61,-37.00290180757063
62,-93.00240893168612
63,-104.85366164428616
64,-31.21708479128362
65,-89.64398798232382
66,-70.29297230557391
67,-8.957935252952979
68,-72.8114200019154
69,-56.18143859864578
70,-44.83244349681115
71,41.097808928120315
72,-2.013017222519778
73,-34.122573502586754
74,-50.941562529546076
75,-56.896889036607476
76,-70.82064842175105
77,-74.87572037064056
78,-55.80638395270772
79,-19.911748760981606
80,-39.49269666728979
81,-190.9023356051032
82,-457.8955791544888
83,-46.65303391580693
84,-91.6268451840211
85,-91.27723249194958
86,-59.101685668135026
87,-6.961802249630183
88,-297.4648190413061
89,-192.68264582778215
90,-9.368020311805681
91,-130.3559988254989
92,-20.412586674886313
93,-170.86588571588828
94,-97.321694394024
95,-60.00733597863016
96,-140.3552267867268
97,-170.4816811601828
98,-109.8497389212335
99,-53.441036777340436
100,-23.615915166863203
101,-111.83764051864075
102,-90.24943353121745
103,-108.11920700954873
104,-156.16289781156777
105,264.7982611175817
106,-326.12754402089183
107,-200.94492169138297
108,-111.90747337307971
109,-56.24280701771265
110,-92.72420386619349
111,-138.510893851205
112,199.43938850923405
113,-65.84599842858796
