episodes,rewards
0,37.0
1,13.0
2,12.0
3,17.0
4,9.0
5,24.0
6,15.0
7,27.0
8,9.0
9,22.0
10,14.0
11,22.0
12,14.0
13,22.0
14,19.0
15,30.0
16,64.0
17,184.0
18,163.0
19,163.0
20,284.0
21,160.0
22,123.0
23,128.0
24,321.0
25,208.0
26,373.0
27,155.0
28,289.0
29,180.0
30,337.0
31,272.0
32,239.0
33,213.0
34,468.0
35,257.0
36,241.0
37,120.0
38,317.0
39,386.0
40,454.0
41,500.0
42,251.0
43,221.0
44,219.0
45,500.0
46,500.0
47,185.0
48,220.0
49,288.0
50,194.0
51,194.0
52,197.0
53,233.0
54,295.0
55,341.0
56,73.0
57,212.0
58,224.0
59,211.0
60,181.0
61,46.0
62,181.0
63,302.0
64,258.0
65,152.0
66,225.0
67,27.0
68,373.0
69,230.0
70,162.0
71,18.0
72,160.0
73,154.0
74,130.0
75,154.0
76,226.0
77,244.0
78,120.0
79,378.0
80,29.0
81,171.0
82,73.0
83,13.0
84,258.0
85,200.0
86,93.0
87,12.0
88,153.0
89,153.0
90,9.0
91,253.0
92,114.0
93,239.0
94,250.0
95,367.0
96,341.0
97,168.0
98,205.0
99,203.0
100,321.0
101,168.0
102,295.0
103,213.0
104,225.0
105,186.0
106,224.0
107,484.0
108,432.0
109,246.0
110,45.0
111,180.0
112,435.0
113,173.0
114,329.0
115,287.0
116,163.0
117,303.0
118,331.0
119,147.0
120,322.0
121,358.0
122,70.0
123,246.0
124,384.0
125,143.0
126,261.0
127,308.0
128,176.0
129,307.0
130,401.0
131,164.0
132,91.0
133,436.0
134,337.0
135,185.0
136,163.0
137,145.0
138,124.0
139,165.0
140,500.0
141,136.0
142,145.0
143,13.0
144,30.0
145,11.0
146,12.0
147,19.0
148,11.0
149,40.0
150,355.0
151,298.0
152,394.0
153,380.0
154,500.0
155,340.0
156,323.0
157,192.0
158,181.0
159,16.0
160,193.0
161,402.0
162,176.0
163,176.0
164,278.0
165,69.0
166,500.0
167,500.0
168,239.0
169,494.0
170,222.0
171,393.0
172,98.0
173,160.0
174,389.0
175,49.0
176,255.0
177,136.0
178,148.0
179,257.0
180,64.0
181,259.0
182,363.0
183,410.0
184,407.0
185,124.0
186,384.0
187,218.0
188,153.0
189,119.0
190,109.0
191,313.0
192,134.0
193,162.0
194,409.0
195,85.0
196,437.0
197,500.0
198,149.0
199,405.0
200,341.0
201,437.0
202,500.0
203,500.0
204,239.0
205,227.0
206,500.0
207,210.0
208,84.0
209,12.0
210,196.0
211,239.0
212,196.0
213,96.0
214,131.0
215,219.0
216,156.0
217,35.0
218,345.0
219,194.0
220,166.0
221,184.0
222,145.0
223,218.0
224,146.0
225,205.0
226,189.0
227,124.0
228,12.0
229,443.0
230,23.0
231,500.0
232,189.0
233,166.0
234,500.0
235,157.0
236,121.0
237,215.0
238,224.0
239,307.0
240,289.0
241,267.0
242,217.0
243,143.0
244,195.0
245,381.0
246,191.0
247,341.0
248,139.0
249,172.0
250,156.0
251,448.0
252,227.0
253,107.0
254,463.0
255,323.0
256,195.0
257,137.0
258,265.0
259,190.0
260,182.0
261,129.0
262,116.0
263,223.0
264,172.0
265,136.0
266,359.0
267,224.0
268,79.0
269,351.0
270,147.0
271,328.0
272,112.0
273,12.0
274,144.0
275,365.0
276,47.0
277,209.0
278,122.0
279,264.0
280,500.0
281,99.0
282,12.0
283,109.0
284,238.0
285,80.0
286,211.0
287,389.0
288,69.0
289,82.0
290,134.0
291,366.0
292,151.0
293,47.0
294,248.0
295,12.0
296,253.0
297,500.0
298,290.0
299,318.0
