episodes,rewards
0,20.0
1,14.0
2,15.0
3,57.0
4,16.0
5,20.0
6,29.0
7,14.0
8,23.0
9,26.0
10,15.0
11,23.0
12,26.0
13,36.0
14,28.0
15,27.0
16,16.0
17,41.0
18,103.0
19,19.0
20,15.0
21,100.0
22,62.0
23,96.0
24,67.0
25,105.0
26,123.0
27,96.0
28,134.0
29,229.0
30,135.0
31,167.0
32,169.0
33,158.0
34,190.0
35,163.0
36,177.0
37,259.0
38,122.0
39,180.0
40,235.0
41,228.0
42,187.0
43,264.0
44,221.0
45,335.0
46,215.0
47,124.0
48,185.0
49,152.0
50,196.0
51,228.0
52,183.0
53,372.0
54,268.0
55,213.0
56,214.0
57,212.0
58,291.0
59,206.0
60,233.0
61,144.0
62,266.0
63,248.0
64,270.0
65,210.0
66,230.0
67,178.0
68,181.0
69,229.0
70,414.0
71,186.0
72,298.0
73,239.0
74,187.0
75,159.0
76,174.0
77,170.0
78,127.0
79,156.0
80,204.0
81,242.0
82,208.0
83,71.0
84,13.0
85,136.0
86,229.0
87,165.0
88,114.0
89,272.0
90,248.0
91,240.0
92,162.0
93,421.0
94,144.0
95,254.0
96,172.0
97,500.0
98,200.0
99,120.0
100,127.0
101,181.0
102,229.0
103,242.0
104,173.0
105,253.0
106,329.0
107,242.0
108,256.0
109,112.0
110,271.0
111,392.0
112,458.0
113,393.0
114,149.0
115,127.0
116,175.0
117,95.0
118,129.0
119,314.0
120,136.0
121,196.0
122,173.0
123,93.0
124,276.0
125,489.0
126,167.0
127,86.0
128,127.0
129,329.0
130,140.0
131,122.0
132,225.0
133,122.0
134,135.0
135,52.0
136,12.0
137,47.0
138,130.0
139,368.0
140,500.0
141,137.0
142,365.0
143,262.0
144,101.0
145,210.0
146,212.0
147,130.0
148,500.0
149,140.0
150,128.0
151,166.0
152,300.0
153,220.0
154,88.0
155,163.0
156,175.0
157,63.0
158,86.0
159,122.0
160,103.0
161,84.0
162,115.0
163,112.0
164,180.0
165,174.0
166,148.0
167,127.0
168,144.0
169,116.0
170,148.0
171,135.0
172,122.0
173,99.0
174,153.0
175,132.0
176,115.0
177,240.0
178,195.0
179,117.0
180,108.0
181,154.0
182,128.0
183,165.0
184,106.0
185,182.0
186,268.0
187,112.0
188,192.0
189,307.0
190,110.0
191,159.0
192,92.0
193,441.0
194,70.0
195,150.0
196,88.0
197,355.0
198,500.0
199,447.0
200,124.0
201,118.0
202,98.0
203,66.0
204,29.0
205,96.0
206,81.0
207,50.0
208,28.0
209,17.0
210,248.0
211,78.0
212,21.0
213,80.0
214,87.0
215,15.0
216,152.0
217,500.0
218,207.0
219,154.0
220,151.0
221,96.0
222,135.0
223,120.0
224,56.0
225,227.0
226,203.0
227,258.0
228,147.0
229,241.0
230,194.0
231,119.0
232,275.0
233,95.0
234,485.0
235,104.0
236,500.0
237,150.0
238,107.0
239,116.0
240,132.0
241,126.0
242,145.0
243,149.0
244,179.0
245,148.0
246,113.0
247,115.0
248,138.0
249,137.0
250,435.0
251,140.0
252,201.0
253,166.0
254,165.0
255,102.0
256,107.0
257,168.0
258,115.0
259,117.0
260,102.0
261,51.0
262,134.0
263,211.0
264,165.0
265,133.0
266,87.0
267,136.0
268,98.0
269,307.0
270,196.0
271,82.0
272,119.0
273,95.0
274,146.0
275,153.0
276,110.0
277,158.0
278,259.0
279,148.0
280,135.0
281,191.0
282,307.0
283,154.0
284,345.0
285,142.0
286,247.0
287,128.0
288,45.0
289,138.0
290,41.0
291,107.0
292,341.0
293,159.0
294,252.0
295,99.0
296,160.0
297,153.0
298,266.0
299,26.0
