episodes,rewards
0,-113.17904937561582
1,-334.8403630708665
2,-262.6320301720117
3,-328.29239430665154
4,-141.90400338150545
5,-205.85381760164702
6,-170.0210409958247
7,-113.22639411351122
8,-113.7040574097286
9,-124.51520930692925
10,-95.55149700734208
11,-224.33287150633143
12,-103.0839729620899
13,-101.4761415935578
14,-103.29818600705434
15,-104.02068249605252
16,-96.1042089411307
17,-96.1878673652024
18,-90.79199250896303
19,-99.56029100963951
20,-183.67688488380765
21,-263.81824393704744
22,-158.34416681952666
23,-161.58005292355844
24,-230.97400399024295
25,-209.50101730315583
26,-76.56499203918116
27,-91.23848857689171
28,-199.6937460721139
29,-236.07101578712485
30,-135.16477465513407
31,-396.1052338257848
32,-358.7908899852346
33,-71.1543270210584
34,-117.07846876473222
35,-135.35038084420958
36,-311.1317392101362
37,-220.711574703752
38,-252.40339775492632
39,-244.17437386863523
40,-489.01480481688384
41,-130.9224383858879
42,-312.8962897482571
43,-89.76141902279458
44,-180.43170206488932
45,-314.7385748831626
46,-449.09902954043986
47,-173.7432228479734
48,-254.67916930164793
49,-105.27145173520668
50,-352.9200920060106
51,-133.14680454364674
52,-40.69690208631903
53,-170.70775183672123
54,-124.41439839754118
55,-232.25713078510785
56,-140.20627437431702
57,-199.8610950688535
58,-114.34878361290494
59,-73.18125999332403
60,-397.17112867711086
61,-102.8796991574147
62,-202.86370740411903
63,-178.71491023127882
64,-146.49522415233972
65,-91.9828061337835
66,-112.9330531298896
67,-114.33040049922575
68,-54.673348568449555
69,-76.67696585138636
70,-108.28470743165697
71,-73.6374608784999
72,-364.6558280495263
73,-131.84394158171793
74,-142.78571224769345
75,-112.18605424269515
76,-141.00939181914885
77,-326.8083168332703
78,-84.15212762411265
79,-435.0447236254578
80,-185.903956139108
81,-97.90084878198638
82,-85.92221559879876
83,-109.38360702233831
84,-84.74727171260943
85,-138.93930721201372
86,-104.74356458013952
87,-98.95673062273654
88,-53.727838505872896
89,-95.0682231686181
90,-92.45738326716162
91,-25.15695321864014
92,-118.74875405625052
93,-140.2794915048591
94,-234.7964345967496
95,-91.39666725139924
96,-58.200181896063654
97,-91.8447828831228
98,-173.9377743242602
99,-346.7818460400355
100,-87.84048652313851
101,-179.6226184903548
102,-159.56411134191555
103,-102.01698003992468
104,-109.29309784397357
105,-134.96960288972235
106,-116.94296234291997
107,-121.17633997087948
108,-144.13581976544805
109,-123.69409254762834
110,-59.84966675648614
111,-1.3275288662818525
112,-207.81262513534426
113,-103.05150156548675
114,-97.76498058088899
115,-85.13564686292932
116,-186.2197645818005
117,-111.85892012102906
118,-273.2294432072217
119,-259.147666368521
120,-139.40700208141854
121,-120.23268963146539
122,-124.90861597281648
123,-157.1827048698877
124,-44.77955837999983
125,-160.77469643223648
126,-63.774550498266855
127,-135.6908203667071
128,-39.40521285320412
129,-35.573003449775314
130,-103.93493978355065
131,-38.75618619854603
132,-112.04496647422502
133,-62.619442954231204
134,-303.5364258080697
135,-6.567015296036715
136,-132.49114219493737
137,-116.88837979355583
138,-90.10858193060533
139,-97.19618411698767
140,-114.60022169919772
141,-128.43787825298662
142,-292.0666295207219
143,-461.2664035694721
144,-172.14873286455233
145,-271.11124964930775
146,-44.88452478171553
147,-196.26736201500307
148,-72.9615916198842
149,-169.12851179350315
150,-224.287144443307
151,-134.00717016727438
152,-119.1007069357342
153,-301.5381768418819
154,-175.3732649681384
155,-99.01063906270275
156,-83.84256717544258
157,-345.31511504782577
158,-263.35161493288615
159,-264.7198376217195
160,-88.77528525324746
161,-165.70011551959857
162,-251.3784274666027
163,-102.28872564125427
164,-61.224850072537315
165,-264.7090163511342
166,-142.90201594356
167,-95.93295746501704
168,-80.61081393011692
169,-78.40102533283905
170,-177.99075009697222
171,-122.52529446623224
172,3.546132878174049
173,-195.21806042054635
174,20.427216951399345
175,-276.77917390261837
176,-102.7422777436064
177,-226.7194020897395
178,-119.05256699253567
179,-12.706093891489814
180,0.05796118225340763
181,-197.46525870751674
182,-71.1692443586035
183,-350.9186484785454
184,-316.06886918569785
185,-252.59366301071648
186,-167.610910427757
187,-351.0111638822958
188,-376.39056227887266
189,-78.95399881517217
190,-42.27871826408649
191,-230.56671013471896
192,-170.24362465471802
193,-113.42184815473517
194,-31.263132592402286
195,-107.22102654116742
196,-267.3989643122568
197,-10.228798271577276
