episodes,rewards
0,17
1,21
2,15
3,14
4,11
5,12
6,11
7,10
8,16
9,15
10,39
11,14
12,27
13,8
14,25
15,17
16,18
17,14
18,20
19,12
20,21
21,44
22,49
23,28
24,36
25,26
26,13
27,17
28,21
29,14
30,17
31,47
32,16
33,20
34,11
35,17
36,23
37,12
38,19
39,19
40,15
41,23
42,35
43,12
44,11
45,26
46,31
47,19
48,14
49,12
50,19
51,10
52,10
53,11
54,16
55,10
56,25
57,31
58,11
59,15
60,10
61,19
62,14
63,13
64,12
65,17
66,13
67,9
68,10
69,13
70,11
71,17
72,10
73,10
74,17
75,15
76,15
77,28
78,16
79,17
80,10
81,9
82,26
83,13
84,9
85,17
86,48
87,16
88,12
89,15
90,31
91,13
92,20
93,12
94,16
95,14
96,20
97,12
98,39
99,27
100,31
101,14
102,19
103,21
104,27
105,21
106,23
107,26
108,26
109,23
110,19
111,93
112,22
113,16
114,28
115,11
116,14
117,20
118,33
119,30
120,20
121,25
122,73
123,31
124,85
125,52
126,43
127,24
128,52
129,50
130,19
131,30
132,62
133,28
134,21
135,85
136,38
137,82
138,34
139,30
140,42
141,34
142,49
143,22
144,53
145,33
146,41
147,99
148,28
149,28
150,12
151,33
152,31
153,117
154,75
155,74
156,108
157,37
158,57
159,16
160,33
161,22
162,98
163,66
164,53
165,27
166,77
167,24
168,45
169,101
170,54
171,33
172,88
173,131
174,32
175,51
176,52
177,54
178,106
179,166
180,59
181,207
182,88
183,86
184,90
185,42
186,42
187,19
188,64
189,91
190,35
191,29
192,289
193,45
194,94
195,102
196,72
197,60
198,177
199,121
200,44
201,164
202,137
203,122
204,45
205,87
206,225
207,189
208,174
209,39
210,43
211,69
212,97
213,114
214,72
215,90
216,40
217,51
218,19
219,442
220,163
221,118
222,143
223,143
224,142
225,116
226,342
227,301
228,126
229,190
230,175
231,247
232,113
233,216
234,256
235,178
236,258
237,106
238,76
239,202
240,196
241,57
242,209
243,59
244,189
245,205
246,201
247,235
248,122
249,159
250,207
251,27
252,193
253,192
254,64
255,150
256,89
257,413
258,192
259,111
260,243
261,184
262,21
263,128
264,305
265,125
266,159
267,185
268,293
269,176
270,273
271,125
272,190
273,43
274,260
275,158
276,158
277,336
278,152
279,326
280,204
281,210
282,448
283,217
284,226
285,200
286,143
287,168
288,274
289,244
290,246
291,362
292,218
293,103
294,344
295,133
296,213
297,279
298,173
299,119
