episodes,rewards
0,11.0
1,13.0
2,17.0
3,35.0
4,13.0
5,18.0
6,29.0
7,13.0
8,21.0
9,13.0
10,17.0
11,20.0
12,18.0
13,13.0
14,15.0
15,11.0
16,18.0
17,23.0
18,38.0
19,12.0
20,47.0
21,22.0
22,16.0
23,17.0
24,12.0
25,19.0
26,17.0
27,61.0
28,34.0
29,27.0
30,54.0
31,31.0
32,49.0
33,11.0
34,47.0
35,78.0
36,196.0
37,122.0
38,206.0
39,184.0
40,89.0
41,120.0
42,247.0
43,243.0
44,221.0
45,191.0
46,225.0
47,200.0
48,327.0
49,200.0
50,281.0
51,251.0
52,443.0
53,303.0
54,302.0
55,264.0
56,293.0
57,374.0
58,256.0
59,275.0
60,399.0
61,252.0
62,328.0
63,237.0
64,247.0
65,211.0
66,201.0
67,256.0
68,275.0
69,245.0
70,232.0
71,244.0
72,343.0
73,304.0
74,170.0
75,201.0
76,155.0
77,358.0
78,287.0
79,145.0
80,44.0
81,47.0
82,234.0
83,337.0
84,191.0
85,66.0
86,10.0
87,12.0
88,10.0
89,10.0
90,8.0
91,246.0
92,500.0
93,500.0
94,239.0
95,418.0
96,310.0
97,330.0
98,391.0
99,305.0
100,246.0
101,324.0
102,238.0
103,294.0
104,239.0
105,333.0
106,263.0
107,246.0
108,275.0
109,261.0
110,357.0
111,215.0
112,266.0
113,423.0
114,230.0
115,262.0
116,262.0
117,295.0
118,262.0
119,257.0
120,429.0
121,291.0
122,436.0
123,137.0
124,151.0
125,113.0
126,11.0
127,9.0
128,11.0
129,39.0
130,18.0
131,13.0
132,10.0
133,186.0
134,207.0
135,115.0
136,348.0
137,260.0
138,280.0
139,263.0
140,316.0
141,308.0
142,356.0
143,315.0
144,104.0
145,349.0
146,248.0
147,317.0
148,352.0
149,330.0
150,357.0
151,500.0
152,500.0
153,353.0
154,288.0
155,305.0
156,374.0
157,320.0
158,351.0
159,401.0
160,262.0
161,486.0
162,500.0
163,433.0
164,309.0
165,232.0
166,381.0
167,220.0
168,347.0
169,192.0
170,104.0
171,139.0
172,133.0
173,225.0
174,89.0
175,242.0
176,236.0
177,275.0
178,225.0
179,160.0
180,249.0
181,209.0
182,161.0
183,176.0
184,147.0
185,166.0
186,241.0
187,157.0
188,163.0
189,169.0
190,215.0
191,194.0
192,380.0
193,145.0
194,247.0
195,249.0
196,242.0
197,203.0
198,201.0
199,299.0
200,201.0
201,191.0
202,193.0
203,229.0
204,184.0
205,210.0
206,181.0
207,184.0
208,217.0
209,196.0
210,201.0
211,153.0
212,477.0
213,294.0
214,56.0
215,47.0
216,500.0
217,331.0
218,162.0
219,173.0
220,169.0
221,163.0
222,178.0
223,155.0
224,160.0
225,157.0
226,187.0
227,152.0
228,171.0
229,142.0
230,239.0
231,44.0
232,120.0
233,140.0
234,164.0
235,175.0
236,172.0
237,167.0
238,246.0
239,129.0
240,142.0
241,175.0
242,237.0
243,251.0
244,94.0
245,112.0
246,110.0
247,252.0
248,177.0
249,155.0
250,136.0
251,101.0
252,127.0
253,173.0
254,173.0
255,110.0
256,129.0
257,195.0
258,183.0
259,315.0
260,129.0
261,119.0
262,242.0
263,215.0
264,186.0
265,278.0
266,256.0
267,184.0
268,127.0
269,134.0
270,174.0
271,272.0
272,160.0
273,223.0
274,75.0
275,63.0
276,157.0
277,133.0
278,135.0
279,123.0
280,128.0
281,50.0
282,16.0
283,14.0
284,143.0
285,141.0
286,140.0
287,148.0
288,178.0
289,183.0
290,159.0
291,316.0
292,187.0
293,184.0
294,266.0
295,237.0
296,244.0
297,212.0
298,212.0
299,183.0
300,297.0
301,119.0
302,224.0
303,166.0
304,156.0
305,146.0
306,195.0
307,179.0
308,228.0
309,233.0
310,342.0
311,300.0
312,341.0
313,260.0
314,294.0
315,218.0
316,116.0
317,438.0
318,151.0
319,218.0
320,228.0
321,461.0
322,176.0
323,115.0
324,329.0
325,297.0
326,280.0
327,196.0
328,188.0
329,203.0
330,197.0
331,251.0
332,185.0
333,205.0
334,181.0
335,223.0
336,145.0
337,166.0
338,180.0
339,124.0
340,143.0
341,144.0
342,168.0
343,136.0
344,170.0
345,27.0
346,31.0
347,18.0
348,22.0
349,12.0
350,196.0
351,208.0
352,49.0
353,12.0
354,11.0
355,124.0
356,198.0
357,268.0
358,209.0
359,158.0
360,135.0
361,160.0
362,182.0
363,221.0
364,335.0
365,214.0
366,328.0
367,471.0
368,180.0
369,268.0
370,146.0
371,218.0
372,201.0
373,164.0
374,230.0
375,367.0
376,424.0
377,423.0
378,500.0
379,321.0
380,162.0
381,193.0
382,228.0
383,272.0
384,367.0
385,254.0
386,74.0
387,172.0
388,244.0
389,296.0
390,160.0
391,500.0
392,303.0
393,302.0
394,110.0
395,237.0
396,480.0
397,392.0
398,215.0
399,289.0
400,190.0
401,121.0
402,241.0
403,232.0
404,199.0
405,377.0
406,385.0
407,358.0
408,339.0
409,167.0
410,186.0
411,275.0
412,326.0
413,247.0
414,248.0
415,272.0
416,276.0
417,317.0
418,500.0
419,482.0
420,288.0
421,224.0
422,429.0
423,267.0
424,268.0
425,299.0
426,194.0
427,422.0
428,500.0
429,36.0
430,38.0
431,43.0
432,37.0
433,38.0
434,246.0
435,230.0
436,137.0
437,500.0
438,417.0
439,193.0
440,238.0
441,500.0
442,301.0
443,356.0
444,141.0
445,295.0
446,450.0
447,500.0
448,474.0
449,500.0
450,378.0
451,399.0
452,198.0
453,183.0
454,500.0
455,188.0
456,199.0
457,452.0
458,186.0
459,334.0
460,445.0
461,500.0
462,500.0
463,408.0
464,295.0
465,171.0
466,500.0
467,500.0
468,252.0
469,172.0
470,196.0
471,170.0
472,11.0
473,11.0
474,175.0
475,369.0
476,275.0
477,182.0
478,500.0
479,193.0
480,193.0
481,191.0
482,319.0
483,191.0
484,210.0
485,172.0
486,231.0
487,445.0
488,266.0
489,293.0
490,500.0
491,178.0
492,285.0
493,283.0
494,206.0
495,202.0
496,308.0
497,103.0
498,347.0
499,154.0
500,299.0
501,229.0
502,500.0
503,394.0
504,331.0
505,428.0
506,500.0
507,249.0
508,327.0
509,238.0
510,305.0
511,269.0
512,329.0
513,120.0
514,124.0
515,136.0
516,268.0
517,182.0
518,286.0
519,60.0
520,36.0
521,162.0
522,138.0
523,385.0
524,192.0
525,307.0
526,283.0
527,357.0
528,500.0
529,226.0
530,398.0
531,59.0
532,388.0
533,154.0
534,175.0
535,149.0
536,149.0
537,151.0
538,143.0
539,165.0
540,99.0
541,135.0
542,141.0
543,181.0
544,153.0
545,182.0
546,137.0
547,139.0
548,197.0
549,261.0
550,183.0
551,186.0
552,235.0
553,500.0
554,299.0
555,239.0
556,500.0
557,71.0
558,205.0
559,101.0
560,107.0
561,130.0
562,206.0
563,130.0
564,141.0
565,136.0
566,135.0
567,183.0
568,169.0
569,158.0
570,125.0
571,107.0
572,145.0
573,108.0
574,126.0
575,130.0
576,142.0
577,125.0
578,138.0
579,124.0
580,20.0
581,121.0
582,138.0
583,171.0
584,117.0
585,139.0
586,111.0
587,132.0
588,189.0
589,145.0
590,121.0
591,135.0
592,144.0
593,192.0
594,155.0
595,140.0
596,171.0
597,138.0
598,142.0
599,145.0
