episodes,rewards
0,14.0
1,36.0
2,16.0
3,25.0
4,11.0
5,15.0
6,12.0
7,9.0
8,15.0
9,18.0
10,29.0
11,24.0
12,31.0
13,16.0
14,20.0
15,12.0
16,12.0
17,61.0
18,22.0
19,22.0
20,16.0
21,30.0
22,35.0
23,20.0
24,32.0
25,42.0
26,17.0
27,13.0
28,31.0
29,138.0
30,145.0
31,282.0
32,216.0
33,188.0
34,174.0
35,172.0
36,170.0
37,175.0
38,237.0
39,164.0
40,194.0
41,173.0
42,190.0
43,244.0
44,287.0
45,232.0
46,304.0
47,178.0
48,216.0
49,215.0
50,309.0
51,277.0
52,222.0
53,250.0
54,254.0
55,290.0
56,276.0
57,242.0
58,478.0
59,301.0
60,296.0
61,293.0
62,275.0
63,238.0
64,275.0
65,316.0
66,243.0
67,334.0
68,255.0
69,278.0
70,500.0
71,288.0
72,233.0
73,223.0
74,315.0
75,253.0
76,438.0
77,225.0
78,279.0
79,277.0
80,214.0
81,279.0
82,294.0
83,317.0
84,282.0
85,232.0
86,143.0
87,184.0
88,141.0
89,188.0
90,180.0
91,187.0
92,153.0
93,155.0
94,38.0
95,140.0
96,168.0
97,160.0
98,162.0
99,210.0
100,259.0
101,225.0
102,249.0
103,212.0
104,221.0
105,203.0
106,221.0
107,309.0
108,214.0
109,195.0
110,212.0
111,198.0
112,217.0
113,195.0
114,199.0
115,179.0
116,244.0
117,288.0
118,260.0
119,229.0
120,252.0
121,260.0
122,297.0
123,243.0
124,341.0
125,214.0
126,202.0
127,193.0
128,190.0
129,183.0
130,242.0
131,230.0
132,202.0
133,159.0
134,220.0
135,177.0
136,155.0
137,185.0
138,213.0
139,246.0
140,359.0
141,241.0
142,222.0
143,209.0
144,237.0
145,210.0
146,261.0
147,186.0
148,11.0
149,24.0
150,178.0
151,164.0
152,141.0
153,121.0
154,119.0
155,115.0
156,131.0
157,124.0
158,158.0
159,128.0
160,128.0
161,152.0
162,185.0
163,149.0
164,203.0
165,191.0
166,158.0
167,174.0
168,190.0
169,170.0
170,196.0
171,200.0
172,165.0
173,174.0
174,208.0
175,188.0
176,159.0
177,156.0
178,163.0
179,238.0
180,178.0
181,221.0
182,161.0
183,11.0
184,17.0
185,11.0
186,44.0
187,9.0
188,130.0
189,178.0
190,180.0
191,203.0
192,206.0
193,194.0
194,203.0
195,201.0
196,190.0
197,315.0
198,241.0
199,379.0
200,232.0
201,299.0
202,275.0
203,216.0
204,244.0
205,411.0
206,241.0
207,235.0
208,273.0
209,209.0
210,302.0
211,293.0
212,274.0
213,281.0
214,302.0
215,237.0
216,253.0
217,358.0
218,392.0
219,216.0
220,190.0
221,399.0
222,226.0
223,297.0
224,324.0
225,202.0
226,395.0
227,188.0
228,228.0
229,158.0
230,197.0
231,172.0
232,147.0
233,235.0
234,155.0
235,167.0
236,160.0
237,36.0
238,41.0
239,168.0
240,156.0
241,155.0
242,199.0
243,181.0
244,189.0
245,131.0
246,161.0
247,182.0
248,165.0
249,144.0
250,175.0
251,161.0
252,161.0
253,192.0
254,175.0
255,182.0
256,164.0
257,195.0
258,237.0
259,185.0
260,237.0
261,197.0
262,195.0
263,190.0
264,221.0
265,234.0
266,153.0
267,194.0
268,189.0
269,158.0
270,14.0
271,18.0
272,13.0
273,268.0
274,220.0
275,164.0
276,175.0
277,184.0
278,144.0
279,166.0
280,144.0
281,164.0
282,138.0
283,184.0
284,161.0
285,173.0
286,155.0
287,277.0
288,156.0
289,152.0
290,148.0
291,160.0
292,150.0
293,153.0
294,190.0
295,152.0
296,159.0
297,146.0
298,159.0
299,164.0
300,148.0
301,188.0
302,196.0
303,153.0
304,178.0
305,154.0
306,165.0
307,151.0
308,146.0
309,153.0
310,152.0
311,168.0
312,158.0
313,164.0
314,158.0
315,194.0
316,161.0
317,165.0
318,230.0
319,184.0
320,172.0
321,153.0
322,181.0
323,149.0
324,201.0
325,164.0
326,158.0
327,170.0
328,184.0
329,172.0
330,151.0
331,158.0
332,173.0
333,164.0
334,189.0
335,165.0
336,162.0
337,167.0
338,169.0
339,160.0
340,157.0
341,156.0
342,144.0
343,138.0
344,149.0
345,159.0
346,186.0
347,148.0
348,166.0
349,151.0
350,151.0
351,177.0
352,153.0
353,143.0
354,145.0
355,147.0
356,142.0
357,151.0
358,76.0
359,148.0
360,55.0
361,69.0
362,106.0
363,234.0
364,249.0
365,130.0
366,259.0
367,304.0
368,237.0
369,232.0
370,203.0
371,196.0
372,207.0
373,194.0
374,244.0
375,197.0
376,195.0
377,185.0
378,187.0
379,202.0
380,212.0
381,272.0
382,178.0
383,206.0
384,198.0
385,215.0
386,176.0
387,329.0
388,268.0
389,228.0
390,182.0
391,290.0
392,256.0
393,216.0
394,194.0
395,234.0
396,211.0
397,287.0
398,229.0
399,13.0
400,13.0
401,290.0
402,151.0
403,201.0
404,187.0
405,131.0
406,154.0
407,157.0
408,141.0
409,143.0
410,162.0
411,154.0
412,188.0
413,191.0
414,153.0
415,153.0
416,207.0
417,201.0
418,397.0
419,193.0
420,193.0
421,269.0
422,209.0
423,189.0
424,153.0
425,180.0
426,360.0
427,196.0
428,174.0
429,168.0
430,273.0
431,194.0
432,217.0
433,197.0
434,142.0
435,180.0
436,164.0
437,157.0
438,198.0
439,120.0
440,119.0
441,250.0
442,254.0
443,114.0
444,208.0
445,265.0
446,347.0
447,286.0
448,174.0
449,159.0
450,231.0
451,202.0
452,221.0
453,209.0
454,162.0
455,194.0
456,166.0
457,184.0
458,163.0
459,144.0
460,245.0
461,138.0
462,171.0
463,177.0
464,206.0
465,188.0
466,189.0
467,321.0
468,225.0
469,193.0
470,254.0
471,158.0
472,253.0
473,131.0
474,181.0
475,214.0
476,211.0
477,268.0
478,342.0
479,245.0
480,164.0
481,223.0
482,165.0
483,176.0
484,128.0
485,24.0
486,52.0
487,99.0
488,81.0
489,50.0
490,30.0
491,60.0
492,167.0
493,163.0
494,159.0
495,208.0
496,207.0
497,237.0
498,368.0
499,211.0
500,215.0
501,234.0
502,293.0
503,282.0
504,348.0
505,436.0
506,500.0
507,211.0
508,217.0
509,198.0
510,227.0
511,500.0
512,143.0
513,151.0
514,231.0
515,366.0
516,285.0
517,245.0
518,334.0
519,209.0
520,188.0
521,218.0
522,177.0
523,229.0
524,281.0
525,500.0
526,356.0
527,252.0
528,325.0
529,115.0
530,12.0
531,137.0
532,145.0
533,193.0
534,157.0
535,91.0
536,157.0
537,175.0
538,166.0
539,112.0
540,154.0
541,171.0
542,150.0
543,132.0
544,131.0
545,147.0
546,131.0
547,140.0
548,130.0
549,150.0
550,161.0
551,143.0
552,151.0
553,136.0
554,160.0
555,197.0
556,182.0
557,182.0
558,193.0
559,167.0
560,189.0
561,210.0
562,215.0
563,198.0
564,221.0
565,214.0
566,213.0
567,257.0
568,228.0
569,290.0
570,288.0
571,471.0
572,362.0
573,426.0
574,500.0
575,20.0
576,129.0
577,118.0
578,138.0
579,238.0
580,115.0
581,145.0
582,219.0
583,149.0
584,110.0
585,149.0
586,167.0
587,228.0
588,161.0
589,145.0
590,169.0
591,156.0
592,338.0
593,130.0
594,178.0
595,143.0
596,147.0
597,225.0
598,315.0
599,186.0
