episodes,rewards
0,44.0
1,40.0
2,10.0
3,71.0
4,10.0
5,25.0
6,16.0
7,28.0
8,19.0
9,56.0
10,20.0
11,11.0
12,40.0
13,16.0
14,33.0
15,12.0
16,32.0
17,72.0
18,42.0
19,65.0
20,113.0
21,203.0
22,88.0
23,186.0
24,99.0
25,169.0
26,102.0
27,176.0
28,158.0
29,180.0
30,139.0
31,260.0
32,200.0
33,291.0
34,192.0
35,248.0
36,230.0
37,293.0
38,279.0
39,265.0
40,312.0
41,260.0
42,331.0
43,247.0
44,289.0
45,226.0
46,229.0
47,382.0
48,335.0
49,344.0
50,307.0
51,280.0
52,299.0
53,162.0
54,220.0
55,483.0
56,422.0
57,272.0
58,235.0
59,283.0
60,151.0
61,137.0
62,83.0
63,238.0
64,318.0
65,500.0
66,105.0
67,402.0
68,288.0
69,161.0
70,287.0
71,187.0
72,139.0
73,130.0
74,144.0
75,42.0
76,107.0
77,39.0
78,10.0
79,125.0
80,144.0
81,230.0
82,270.0
83,282.0
84,153.0
85,353.0
86,153.0
87,163.0
88,221.0
89,156.0
90,157.0
91,146.0
92,170.0
93,169.0
94,158.0
95,147.0
96,170.0
97,166.0
98,171.0
99,150.0
100,45.0
101,194.0
102,150.0
103,457.0
104,206.0
105,174.0
106,325.0
107,177.0
108,164.0
109,432.0
110,163.0
111,250.0
112,224.0
113,123.0
114,110.0
115,258.0
116,262.0
117,167.0
118,386.0
119,155.0
120,126.0
121,131.0
122,201.0
123,115.0
124,364.0
125,187.0
126,247.0
127,172.0
128,168.0
129,131.0
130,203.0
131,112.0
132,116.0
133,89.0
134,160.0
135,132.0
136,170.0
137,418.0
138,245.0
139,162.0
140,134.0
141,210.0
142,168.0
143,158.0
144,202.0
145,303.0
146,136.0
147,141.0
148,372.0
149,237.0
150,160.0
151,164.0
152,160.0
153,260.0
154,236.0
155,13.0
156,21.0
157,247.0
158,140.0
159,137.0
160,114.0
161,236.0
162,382.0
163,272.0
164,121.0
165,253.0
166,139.0
167,142.0
168,207.0
169,195.0
170,73.0
171,140.0
172,162.0
173,189.0
174,106.0
175,305.0
176,228.0
177,174.0
178,196.0
179,150.0
180,143.0
181,415.0
182,411.0
183,420.0
184,202.0
185,251.0
186,143.0
187,138.0
188,219.0
189,151.0
190,144.0
191,200.0
192,114.0
193,138.0
194,184.0
195,109.0
196,39.0
197,18.0
198,16.0
199,157.0
200,142.0
201,110.0
202,240.0
203,362.0
204,370.0
205,429.0
206,400.0
207,135.0
208,232.0
209,55.0
210,41.0
211,500.0
212,500.0
213,144.0
214,500.0
215,405.0
216,134.0
217,186.0
218,250.0
219,217.0
220,240.0
221,198.0
222,249.0
223,298.0
224,230.0
225,138.0
226,128.0
227,250.0
228,300.0
229,178.0
230,139.0
231,192.0
232,213.0
233,369.0
234,156.0
235,125.0
236,174.0
237,150.0
238,124.0
239,215.0
240,248.0
241,474.0
242,117.0
243,91.0
244,101.0
245,258.0
246,149.0
247,90.0
248,223.0
249,124.0
250,124.0
251,246.0
252,404.0
253,426.0
254,90.0
255,168.0
256,103.0
257,134.0
258,118.0
259,85.0
260,12.0
261,115.0
262,186.0
263,226.0
264,340.0
265,424.0
266,294.0
267,407.0
268,333.0
269,55.0
270,148.0
271,132.0
272,240.0
273,314.0
274,128.0
275,163.0
276,310.0
277,304.0
278,130.0
279,138.0
280,116.0
281,138.0
282,125.0
283,124.0
284,127.0
285,87.0
286,137.0
287,118.0
288,119.0
289,162.0
290,139.0
291,130.0
292,139.0
293,170.0
294,100.0
295,177.0
296,140.0
297,247.0
298,166.0
299,150.0
