episodes,rewards
0,-259.20909487862696
1,-110.19610041692238
2,-376.7165992761923
3,-269.9562392231288
4,-138.56960939698027
5,-84.31261833679648
6,-221.76868063396145
7,-199.12777427852018
8,-81.14783744011339
9,-361.74163434367847
10,-81.0596390020217
11,-109.6625579358167
12,-352.64203256873645
13,-73.46996765333965
14,-108.45674112494873
15,-132.35048860216662
16,14.802301761204632
17,-207.17500852222798
18,-203.09071891576247
19,-190.77794719809128
20,-135.26219837738222
21,-421.43384734753477
22,-151.6033414868638
23,-75.82796583966643
24,-254.11477789149356
25,-151.5485361718532
26,-73.34015181862175
27,-145.5975831669972
28,-31.00701193049599
29,-311.66082203942176
30,-315.31364765355704
31,-218.6062316979063
32,-181.84933398089868
33,-82.60852081900583
34,-274.9493962115445
35,-132.93476767773683
36,-223.7763789247023
37,-164.78283221828923
38,-140.2267332206029
39,-37.471995764959445
40,-90.46093211964696
41,-49.87161447240429
42,-332.6771203181505
43,-163.64688324023064
44,-128.02804886636181
45,-67.96844925736744
46,-81.32648242553392
47,-161.2405199806622
48,-60.135730158751144
49,-254.36035412375452
50,-319.39915615851953
51,-167.29798748811908
52,-224.17608581863504
53,-558.0682308932453
54,-130.41614618476072
55,-181.4411381563054
56,-75.07851678286052
57,-54.914190490169965
58,-158.8269081467879
59,-236.7410760519175
60,-262.1947513357394
61,-122.93554145265665
62,-34.60485608770263
63,-112.44483059162565
64,-57.586610679800955
65,-87.90320903557162
66,-77.36862328491792
67,-113.74889867551785
68,-124.88776209712398
69,-59.27380920801855
70,-145.2805690538997
71,-174.4266764316211
72,-246.66191605711015
73,-34.978633962995445
74,-80.14977607751659
75,-118.41848881843103
76,-83.41129310429577
77,-188.01170835647196
78,-185.51705743671366
79,-110.57712576029861
80,-243.43072610390797
81,-318.28135580939886
82,-144.61584197012036
83,-40.78798811722522
84,-201.71781057168056
85,-137.48449209516912
86,-70.59742607341
87,-27.508104599355548
88,-202.58276202846793
89,-187.54272697402885
90,-205.15082142688493
91,-323.59468043878275
92,-154.40694892415854
93,-263.4606674404577
94,-195.2257269090283
95,3.1011524046210184
96,-115.4686707574811
97,-354.5290305648029
98,-103.46603901288402
99,-71.62239180252843
100,-230.24878436678634
101,-136.75534508043654
102,-97.34510104746789
103,-117.03761575197572
104,-137.1802601428836
105,-123.31511447339855
106,-100.36076884590769
107,-166.11012153612361
108,-86.15176932599276
109,-84.17997602535188
110,-113.68984207384571
111,-106.15802326369095
112,-141.50666885158395
113,-373.5712162719935
114,98.25213755066495
115,-85.378920808229
116,-137.3972269812195
117,-266.41886347684675
118,-317.4826688047334
119,-119.29420499416976
120,-346.5994132012172
121,-73.60241337065499
122,-146.15676909160504
123,-121.76439958371822
124,-64.02782988943484
125,-77.9530239138141
126,-100.65849186053764
127,-103.8469471426116
128,-107.76387178021221
129,-158.66463962920085
130,-98.40907241499187
131,-221.3685323330414
132,-127.66563828493375
133,-454.6121480778913
134,-330.9924591165683
135,-22.983007400157913
136,-444.1991774020852
137,-288.7648605712657
138,-168.41959086727263
139,-63.6425629332489
140,20.858318484303055
141,-195.25703213767648
142,30.606362968270968
143,-225.98115452425935
144,-253.45771155777447
145,-703.346403246692
146,-143.5478865786661
147,-628.4517581667634
148,-38.099971112727005
149,-254.6942469394576
150,-177.16071692921736
151,-105.23816847862574
152,-297.1249829113019
153,-125.7965211402508
154,-172.53698139365957
155,-3.7153476132122876
156,-252.2925302958936
157,-85.19294056825909
158,-147.23191802823936
159,-328.3534448340769
160,-407.5170242623479
161,-115.14094592262433
162,-205.8128580200152
163,-242.0522837186706
164,-67.70503387417729
165,-40.17865711520862
166,-83.18443897054601
167,-128.5777086205316
168,-36.96393426708478
169,-425.6002328965987
170,-74.00951365805676
171,-342.2575153487077
172,-210.22856244556039
173,-52.088897192012865
174,7.762272658870306
175,-36.374077840373744
176,-207.49581042862337
177,-198.57723278983696
178,-144.4615413280701
179,-147.05061714441496
180,-295.9689806672096
181,72.69520056281328
182,12.699259589101331
183,-228.8936798136259
184,-263.1004857849529
185,-189.6458402017766
186,-202.15935396198856
187,-80.37223535390234
188,-205.3021357943471
189,-236.117841008984
190,-254.38763749052444
191,-55.771418567104604
192,-121.36260252041102
193,-122.31270946283645
194,-75.42796956580813
195,-56.70189367339052
196,-139.7568459919197
197,-39.85119469856717
198,-18.062097650293993
199,-152.50546415166068
200,-117.99635096226287
201,-226.69455449748008
202,-387.55595400337415
203,-417.1751860011
204,-404.52750593644157
205,-393.07590141886004
206,-379.0439104400172
207,-435.8819056787033
208,-424.2213049955784
209,-163.2989375140346
210,-416.50947778557145
211,-31.876692720865464
212,-403.40927227923066
213,-211.93701764355873
214,-723.2954389752608
215,-369.33837189310236
216,-526.169223124241
217,-477.81510043566647
218,-261.8489743930797
219,-624.9062615401095
220,-439.7653271961883
221,-81.7752698013501
222,-30.087550638290296
223,-49.985075597440435
224,-40.80390300557282
225,-61.957615274876225
226,8.411646809951549
227,15.227550377836181
228,-48.73910392162478
229,27.27399832445637
230,-67.39420964098873
231,-273.2586656418665
232,-456.15320992418395
233,-91.76353100247735
234,-592.3628606907897
235,-377.8664195516073
236,-962.60464692366
237,-273.3841270070408
238,-215.58443217692871
239,-332.39082682786966
240,-42.21971858648445
241,-125.63059587488688
242,-10.573395026887454
243,-303.4562487310225
244,-214.45243072578197
245,-384.19787213002036
246,-487.85651800836433
247,55.62271901234867
248,-315.65091324728553
249,-277.67955363971635
250,-266.884757650696
251,-319.05447684739977
252,-357.19906679911344
253,-226.97525266307105
254,-338.81123029154935
255,-228.55537893278873
256,-87.24071300977621
257,-341.64878345349166
258,-70.65036943325885
259,-397.59183266572313
260,10.988218022228793
261,-292.25180603670844
262,-213.78010338011575
263,-200.9297100765683
264,96.40741240787304
265,-343.84295043694453
266,-270.79923014977004
267,79.98982806946306
268,-205.0070402141602
269,-159.772787498833
270,-134.67345323970105
271,-60.24014568097639
272,-108.00601898586125
273,1.2630613425331916
274,-102.03806490826918
275,-13.71893557289961
276,55.881845968116146
277,-76.82195450246243
278,13.295323287824672
279,-78.51159022030113
280,-1.5604524186377233
281,-237.43039101723886
282,137.21284087059388
283,-117.62475498389148
284,-86.0927319681592
285,-46.599604927171896
286,-61.30553474712463
287,-313.26971608734715
288,-39.67943713546403
289,-145.71403666470115
290,63.74043505035635
291,-137.59215439859702
292,-91.39378790675747
293,-54.10122152662785
294,-77.74638156316927
295,-97.68826257748135
296,116.47799781317832
297,-88.71459454272934
298,-92.03222946305513
299,-94.61933567844068
