episodes,rewards
0,-70.48168819045883
1,-308.266512671746
2,-127.1828788756689
3,-127.01856776609041
4,-214.44235433071142
5,-302.05274642705365
6,-164.21501896596317
7,-185.54867644282962
8,-121.49186104360894
9,-303.6272065909975
10,-156.48927007364856
11,-115.65619750999664
12,-143.48346554426413
13,-346.675771809299
14,-522.3885985575292
15,-441.1400013521318
16,-31.786081474499298
17,-392.7480652522234
18,-49.23058802007618
19,-167.9520849562566
20,-314.47431015471284
21,-515.8393545098196
22,-303.1843246097141
23,-99.2257999679725
24,-93.49683463038264
25,-249.61450188880207
26,-169.8897036075296
27,-70.12089075563308
28,-99.25047490778915
29,-62.97428690653589
30,-61.343325261214325
31,-54.87721972406145
32,-21.852714262785327
33,-40.637502029690694
34,-297.5169592800335
35,-71.39323027928245
36,-83.8112263670113
37,-153.22816271030334
38,-157.19143661404445
39,-258.68174524367566
40,-18.54174323824101
41,-14.52740868615993
42,-76.97347266750171
43,-90.31886946595932
44,-11.75122581748397
45,-72.48466717797223
46,-15.72348244872849
47,-44.42921852167689
48,-234.5435522123835
49,-286.97573787813326
50,-213.13403876498472
51,34.76016228512981
52,-9.696276992542892
53,-223.24466543702783
54,-135.858715935413
55,-351.654202413774
56,-284.68811618374707
57,-247.1421682996415
58,-151.89533959688106
59,-98.17225288016066
60,-152.91517692033605
61,-151.35596911291083
62,-417.0676975371231
63,-304.16888250119075
64,-426.3413285230921
65,-269.43747391641523
66,-490.9627982116082
67,-211.47527105292778
68,-222.51545585002205
69,-159.85776708553743
70,-190.09765825528336
71,-303.2309693933968
72,-227.46223927885836
73,-171.28042562950066
74,-236.42020531511895
75,-49.60983622477774
76,-23.864070481090536
77,-74.46334242966778
78,-260.49868338375524
79,-258.1309789196213
80,-232.24380326118543
81,-233.0226856855483
82,-145.64905475864873
83,-15.504277694164415
84,-342.4994416236502
85,-242.13370989878362
86,-272.95321587832757
87,-275.1821597890005
88,-311.42979240892873
89,-351.6402370471906
90,-285.14637661004764
91,-210.8914598767733
92,-349.56430547737637
93,-281.06193879545975
94,-263.292414841802
95,-210.38658120370513
96,-295.16625242206004
97,-272.59589352655115
98,-207.00423498267736
99,-39.51007044207104
100,-339.2743409109195
101,-25.63344942414362
102,-505.8567602787746
103,-335.0414764528464
104,-254.59488841765346
105,-337.4746366061122
106,-345.66688915541005
107,-269.78912790062196
108,-231.17152656882203
109,-386.36413680432497
110,-232.16798943598076
111,-167.74067554688898
112,-463.9421673836063
113,-245.30697546148627
114,-321.0514533470068
115,-244.56489914002438
116,-316.1551213352766
117,-275.9623104342213
118,-27.296760719512193
119,7.408244135345541
120,-113.20833193923583
121,-126.3710032284165
122,-55.10089415939031
123,-136.68469585700842
124,-93.91343897363403
125,-124.75939711799865
126,-52.4015821450831
127,-137.91026081594538
128,-140.37154069817961
129,-58.49496318214424
130,38.1063672670044
131,-41.32822586046471
132,-245.6672125522888
133,-16.966359392597496
134,-19.150369329462805
135,-85.22253657104994
136,-42.048384179383376
137,30.14919850798998
138,-111.43015391426407
139,-82.36198923083306
140,-294.44324849871214
141,-134.03159015538927
142,-158.17349325162397
143,-131.12773045328618
144,-259.77955053703613
145,-202.33708679619815
146,-194.80995485451075
147,-261.476840423117
148,-133.9347537198123
149,-310.54197842896235
150,-286.9723661919737
151,-375.2273028518814
152,-402.49324167576765
153,-430.4211558836369
154,-373.34653322732396
155,-414.3018226146936
156,-441.4513035560268
157,-323.8813270050601
158,-327.90413266810265
159,-232.2593955392909
160,-339.5802606963961
161,-286.4368029017194
162,-235.17976087226333
163,-221.41655743946242
164,-224.88974677148533
165,-252.24873666272117
166,-126.07034175444991
167,-4.10608300581103
168,-284.5866393864165
169,-132.47517568491207
170,-254.84641913880267
171,-50.955108888249626
172,-221.6478159959549
173,21.76161155523762
174,-270.5824415808155
175,-473.68879006644613
176,-233.92409219012097
177,-137.47129299050266
178,-175.76884014095413
179,-304.00306094460996
180,-302.87728718747616
181,-298.5566364548499
182,-162.97606065772447
183,-277.2868313501285
184,-467.45819993113383
185,-326.5230741339813
186,-195.1993075314408
187,-159.56389906235768
188,-819.3223595242737
189,-349.1011269001916
190,-562.1079788754855
191,-305.08724245935673
192,-440.7024207470422
193,-140.91620691081914
194,-267.7847473449425
195,-257.7172574685286
196,-309.08071409553315
197,-174.64701753199262
198,-57.4088966415476
199,3.6849716648488027
200,34.71546710085278
201,-76.61748611173937
202,-176.15696874282406
203,-89.33417037835768
204,-211.93925605477216
205,-49.49778491093518
206,-217.04012331763204
207,-410.05130761592636
208,-19.9194032759937
209,-154.916106111597
210,-14.583023872337662
211,-32.28842211790385
212,-85.61790380117387
213,-244.05643173364058
214,-66.45204219635865
215,-191.08034216505075
216,-269.59396514863863
217,-227.22466842281872
218,-0.8237575906915993
219,-213.04581088790798
220,-245.99305043488897
221,-36.62700299331545
222,-216.09634752777723
223,-112.74935668746672
224,-13.057702099039133
225,-180.3155676548356
226,-337.73179519219934
227,-280.92759576262733
228,-198.59148977103519
229,-316.4231400263658
230,-39.848679340653746
231,-225.20428384000365
232,-30.29680561486292
233,-243.85244298030838
234,-569.9339829146173
235,-41.163771760175166
236,-548.247715139036
237,-164.2916910093971
238,-71.56226901194907
239,-420.93248793438
240,6.820421190221481
241,-93.15449512377147
242,-22.77295455126368
243,-197.00620633106774
244,-37.720602663300596
