episodes,rewards
0,18
1,8
2,10
3,7
4,9
5,8
6,7
7,10
8,10
9,8
10,9
11,10
12,8
13,7
14,9
15,8
16,8
17,8
18,10
19,7
20,9
21,8
22,9
23,9
24,8
25,9
26,9
27,9
28,8
29,8
30,7
31,8
32,8
33,8
34,8
35,9
36,9
37,8
38,8
39,8
40,9
41,7
42,9
43,7
44,9
45,7
46,9
47,10
48,9
49,8
50,8
51,7
52,8
53,8
54,8
55,11
56,8
57,9
58,9
59,8
60,8
61,9
62,8
63,9
64,9
65,9
66,7
67,8
68,7
69,8
70,7
71,9
72,11
73,11
74,11
75,10
76,17
77,9
78,10
79,16
80,49
81,23
82,13
83,21
84,38
85,21
86,42
87,15
88,53
89,27
90,19
91,25
92,32
93,32
94,45
95,67
96,33
97,64
98,76
99,69
100,47
101,72
102,73
103,26
104,30
105,19
106,29
107,97
108,114
109,222
110,127
111,220
112,146
113,80
114,100
115,65
116,57
117,123
118,147
119,109
120,118
121,139
122,112
123,114
124,250
125,243
126,195
127,159
128,119
129,117
130,216
131,112
132,96
133,159
134,375
135,110
136,307
137,296
138,743
139,247
140,311
141,358
142,434
143,392
144,500
145,171
146,197
147,485
148,455
149,419
150,590
151,591
152,340
153,192
154,219
155,455
156,435
157,676
158,476
159,502
160,280
161,202
162,242
163,169
164,144
165,112
166,111
167,74
168,86
169,66
170,106
171,111
172,77
173,98
174,73
175,134
176,113
177,108
178,112
179,104
180,124
181,92
182,63
183,98
184,66
185,55
186,72
187,69
188,71
189,103
190,136
191,126
192,126
193,166
194,232
195,173
196,170
197,305
198,178
199,241
200,256
201,244
202,266
203,320
204,248
205,335
206,202
207,231
208,382
209,327
210,412
211,473
212,260
213,317
214,331
215,273
216,597
217,722
218,357
219,1136
220,343
221,400
222,367
223,498
224,531
225,980
226,389
227,546
228,501
229,481
230,310
231,765
232,362
233,682
234,583
235,697
236,930
237,610
238,547
239,411
240,404
241,331
242,333
243,265
244,234
245,229
246,189
247,200
248,203
249,183
250,139
251,139
252,168
253,142
254,157
255,148
256,157
257,149
258,161
259,146
260,152
261,136
262,122
263,140
264,107
265,116
266,142
267,119
268,128
269,132
270,115
271,121
272,114
273,122
274,126
275,137
276,132
277,147
278,140
279,144
280,135
281,153
282,136
283,154
284,159
285,156
286,172
287,173
288,143
289,161
290,159
291,173
292,151
293,165
294,160
295,167
296,211
297,210
298,208
299,185
