episodes,rewards
0,-470.62498718697077
1,-110.05706571908146
2,-248.11326709720836
3,-92.68327379186589
4,-24.410434629877685
5,-213.10687571895883
6,-79.81657677949433
7,-497.21292416853623
8,-232.8739052065595
9,-108.84951974753983
10,-343.75346711062355
11,-191.375982643197
12,-46.18386800735985
13,-364.60128532224655
14,-106.86662267222592
15,-265.6245948925565
16,-120.05993045476829
17,-157.53608530391352
18,-163.9293108518885
19,-169.35112477763255
20,-93.72319967840838
21,-372.54137227435336
22,-45.34814823899619
23,-50.02916479524687
24,-111.57661392038317
25,-163.56326561297595
26,-5.155626863175769
27,-95.26390954589749
28,-112.5537697621464
29,-151.5845020784081
30,-193.75239944520155
31,-151.24290473349657
32,-225.77197847993807
33,-183.56580295754054
34,-147.04890337889026
35,-358.2163756565292
36,-56.83450407670523
37,-107.56037984508305
38,-97.1825598023593
39,-314.6922603420755
40,-234.17655508705275
41,-284.26540361075786
42,-105.32364318619227
43,-152.75928608592727
44,-185.7905225740161
45,-591.168835386809
46,-108.33616751344124
47,-215.1585469171725
48,-328.6996883548472
49,-157.80847472968566
50,-141.13131518933932
51,-99.88741103073252
52,-142.84673364792815
53,-145.68312151503062
54,-27.845789505493784
55,-312.5501861125091
56,-122.8979404849633
57,-200.17821049112663
58,-266.11887556922034
59,-180.52829373960088
60,-162.5697635247318
61,-361.78915589992073
62,-145.07030756421182
63,-147.02343194248436
64,-150.00113539450152
65,-149.21340168990815
66,-125.79139630029664
67,-260.0676331460361
68,-109.24659517120317
69,-339.5900635486706
70,-96.50461767076982
71,-80.32571667992784
72,-154.1999863688201
73,-99.7430654241138
74,-61.35199928357608
75,-353.20920844294335
76,-72.34490477656215
77,-174.27225467495072
78,-54.53555272130792
79,-121.86687791801674
80,-155.77691506766507
81,-63.26312693852361
82,-254.02497807499907
83,-95.39708795133194
84,-369.12381647877584
85,-284.78019588342227
86,-84.67337052425086
87,-176.32002481976207
88,-112.66364782364384
89,-104.15596393756329
90,-153.11156653077333
91,-84.04755035061433
92,-238.8255820984404
93,-101.40011072736883
94,-317.0365420517604
95,-65.36068367941415
96,-256.57290301329203
97,-134.7209419422386
98,-121.40162357400347
99,-235.46781685233933
100,13.552884663852666
101,-102.9280996882111
102,-15.55891544474865
103,-289.38868442385177
104,-345.40441214529704
105,-139.97825752932877
106,-194.2775937736441
107,-113.74573095648667
108,-199.20777748954754
109,-119.391215114318
110,-76.65739134125033
111,-271.63811328953506
112,-135.55666768410455
113,-145.20058144714605
114,-282.60374986298245
115,-252.88120700178393
116,-96.85879624642298
117,-140.57908191482792
118,-309.64745988590164
119,-131.502480959933
120,-118.47502487732768
121,-295.0589275517466
122,-100.66795021815064
123,-125.69690616509357
124,-223.55669548728304
125,-123.6377279810848
126,-151.80746260318733
127,-96.6580776137652
128,-146.9122386974842
129,-304.15856522801744
130,-133.10208167136253
131,-199.2875466013063
132,-79.49593889870289
133,-245.16653242208375
134,-355.7508736179449
135,-135.22499254292197
136,-135.2799308990791
137,-146.71011574888783
138,-155.18317544099915
139,-144.71732181214975
140,-154.34047802166384
141,-161.25406934500086
142,-64.59572190156852
143,-368.62246038500757
144,-203.32115510019796
145,-90.63767875678084
146,-56.77015555264691
147,-267.7360565550108
148,-81.02641070412108
149,-202.0993032693109
150,-270.1162727340678
151,-78.38121493176851
152,-81.61470815541031
153,-103.87408464890348
154,-110.59756256105713
155,-146.33278813880173
156,-257.8798202122781
157,-128.8605835179253
158,-200.08637711213373
159,-173.0646001139949
160,-101.72625351957565
161,-52.60405395110445
162,-91.64265707511251
163,-191.00203518353106
164,-151.4294682960582
165,7.250100618339275
166,-153.98163044621884
167,-111.28715830789785
168,-380.8690243677129
169,-143.11721416759897
170,-122.39730834703663
171,-107.99586537691019
172,-53.169177616541305
173,-259.59810332394864
174,-294.9158408575669
175,-126.69906306417691
176,-191.35513321013306
177,-405.0648083250396
178,-200.0007769829735
179,-98.43421190663997
180,-62.20605414826841
181,-118.742284126433
182,-112.87889392102029
183,-120.69683680524346
184,-127.89350784556444
185,-386.931066499611
186,-154.11428376801052
187,-90.64396204187288
188,-58.76206398570561
189,-188.61627467011255
190,-155.6125588828942
