episodes,rewards
0,44.0
1,14.0
2,11.0
3,20.0
4,40.0
5,33.0
6,14.0
7,17.0
8,15.0
9,33.0
10,30.0
11,11.0
12,20.0
13,11.0
14,15.0
15,47.0
16,9.0
17,11.0
18,42.0
19,23.0
20,33.0
21,11.0
22,16.0
23,9.0
24,13.0
25,16.0
26,11.0
27,22.0
28,10.0
29,16.0
30,20.0
31,18.0
32,29.0
33,24.0
34,10.0
35,16.0
36,30.0
37,14.0
38,42.0
39,14.0
40,25.0
41,43.0
42,12.0
43,19.0
44,40.0
45,12.0
46,23.0
47,31.0
48,19.0
49,11.0
50,54.0
51,14.0
52,23.0
53,14.0
54,16.0
55,11.0
56,20.0
57,19.0
58,22.0
59,17.0
60,10.0
61,33.0
62,21.0
63,31.0
64,17.0
65,29.0
66,21.0
67,19.0
68,28.0
69,36.0
70,13.0
71,16.0
72,32.0
73,14.0
74,19.0
75,22.0
76,25.0
77,29.0
78,10.0
79,24.0
80,25.0
81,15.0
82,39.0
83,26.0
84,63.0
85,29.0
86,28.0
87,25.0
88,54.0
89,37.0
90,24.0
91,25.0
92,16.0
93,24.0
94,39.0
95,47.0
96,25.0
97,49.0
98,24.0
99,13.0
100,57.0
101,29.0
102,41.0
103,131.0
104,50.0
105,96.0
106,35.0
107,40.0
108,139.0
109,30.0
110,71.0
111,21.0
112,20.0
113,19.0
114,23.0
115,77.0
116,101.0
117,64.0
118,64.0
119,61.0
120,91.0
121,21.0
122,56.0
123,129.0
124,83.0
125,24.0
126,78.0
127,98.0
128,213.0
129,86.0
130,35.0
131,60.0
132,66.0
133,125.0
134,11.0
135,385.0
136,71.0
137,70.0
138,67.0
139,106.0
140,134.0
141,21.0
142,92.0
143,71.0
144,65.0
145,16.0
146,16.0
147,116.0
148,97.0
149,44.0
150,20.0
151,49.0
152,150.0
153,122.0
154,117.0
155,60.0
156,22.0
157,194.0
158,132.0
159,61.0
160,131.0
161,156.0
162,242.0
163,14.0
164,159.0
165,161.0
166,196.0
167,187.0
168,121.0
169,138.0
170,68.0
171,179.0
172,26.0
173,179.0
174,193.0
175,150.0
176,240.0
177,193.0
178,60.0
179,129.0
180,166.0
181,153.0
182,125.0
183,105.0
184,32.0
185,246.0
186,176.0
187,228.0
188,17.0
189,140.0
190,154.0
191,131.0
192,206.0
193,84.0
194,222.0
195,108.0
196,185.0
197,174.0
198,150.0
199,148.0
200,189.0
201,308.0
202,55.0
203,13.0
204,148.0
205,416.0
206,244.0
207,246.0
208,178.0
209,170.0
210,152.0
211,72.0
212,10.0
213,161.0
214,188.0
215,179.0
216,172.0
217,178.0
218,193.0
219,93.0
220,179.0
221,160.0
222,154.0
223,162.0
224,162.0
225,158.0
226,158.0
227,150.0
228,148.0
229,132.0
230,150.0
231,136.0
232,132.0
233,147.0
234,159.0
235,144.0
236,128.0
237,140.0
238,140.0
239,165.0
240,137.0
241,163.0
242,138.0
243,133.0
244,146.0
245,164.0
246,139.0
247,179.0
248,134.0
249,102.0
250,159.0
251,261.0
252,217.0
253,274.0
254,276.0
255,140.0
256,178.0
257,246.0
258,214.0
259,332.0
260,215.0
261,189.0
262,162.0
263,310.0
264,373.0
265,223.0
266,314.0
267,310.0
268,253.0
269,237.0
270,281.0
271,145.0
272,140.0
273,180.0
274,170.0
275,173.0
276,158.0
277,184.0
278,181.0
279,166.0
280,148.0
281,250.0
282,209.0
283,132.0
284,339.0
285,279.0
286,272.0
287,239.0
288,283.0
289,235.0
290,258.0
291,214.0
292,212.0
293,254.0
294,354.0
295,242.0
296,237.0
297,192.0
298,207.0
299,200.0
