episodes,rewards
0,27.0
1,44.0
2,49.0
3,29.0
4,19.0
5,30.0
6,35.0
7,28.0
8,13.0
9,79.0
10,13.0
11,17.0
12,21.0
13,12.0
14,23.0
15,77.0
16,11.0
17,16.0
18,10.0
19,62.0
20,65.0
21,88.0
22,94.0
23,54.0
24,52.0
25,104.0
26,162.0
27,159.0
28,123.0
29,234.0
30,185.0
31,259.0
32,172.0
33,212.0
34,186.0
35,228.0
36,303.0
37,212.0
38,170.0
39,205.0
40,264.0
41,250.0
42,179.0
43,208.0
44,238.0
45,197.0
46,254.0
47,230.0
48,183.0
49,271.0
50,224.0
51,227.0
52,218.0
53,202.0
54,187.0
55,207.0
56,260.0
57,210.0
58,198.0
59,206.0
60,214.0
61,221.0
62,264.0
63,213.0
64,190.0
65,213.0
66,231.0
67,321.0
68,247.0
69,244.0
70,235.0
71,281.0
72,291.0
73,296.0
74,184.0
75,240.0
76,252.0
77,224.0
78,255.0
79,265.0
80,410.0
81,359.0
82,306.0
83,272.0
84,313.0
85,238.0
86,414.0
87,305.0
88,337.0
89,245.0
90,287.0
91,262.0
92,261.0
93,344.0
94,295.0
95,225.0
96,343.0
97,340.0
98,298.0
99,329.0
100,271.0
101,409.0
102,305.0
103,267.0
104,211.0
105,464.0
106,205.0
107,296.0
108,226.0
109,192.0
110,405.0
111,221.0
112,148.0
113,192.0
114,64.0
115,137.0
116,28.0
117,179.0
118,170.0
119,183.0
120,205.0
121,191.0
122,176.0
123,198.0
124,176.0
125,202.0
126,195.0
127,204.0
128,185.0
129,234.0
130,221.0
131,213.0
132,268.0
133,203.0
134,211.0
135,271.0
136,307.0
137,250.0
138,274.0
139,316.0
140,273.0
141,193.0
142,210.0
143,243.0
144,215.0
145,208.0
146,253.0
147,341.0
148,226.0
149,233.0
150,353.0
151,249.0
152,206.0
153,286.0
154,124.0
155,157.0
156,289.0
157,238.0
158,190.0
159,340.0
160,151.0
161,261.0
162,230.0
163,238.0
164,199.0
165,105.0
166,44.0
167,10.0
168,42.0
169,269.0
170,206.0
171,175.0
172,219.0
173,301.0
174,221.0
175,227.0
176,310.0
177,237.0
178,266.0
179,224.0
180,171.0
181,154.0
182,164.0
183,184.0
184,168.0
185,154.0
186,163.0
187,180.0
188,21.0
189,155.0
190,149.0
191,152.0
192,156.0
193,166.0
194,146.0
195,141.0
196,148.0
197,137.0
198,166.0
199,168.0
200,157.0
201,144.0
202,149.0
203,178.0
204,174.0
205,177.0
206,198.0
207,165.0
208,180.0
209,188.0
210,170.0
211,182.0
212,186.0
213,149.0
214,183.0
215,173.0
216,173.0
217,174.0
218,187.0
219,158.0
220,146.0
221,204.0
222,174.0
223,171.0
224,189.0
225,165.0
226,202.0
227,235.0
228,146.0
229,123.0
230,140.0
231,164.0
232,156.0
233,201.0
234,162.0
235,134.0
236,162.0
237,169.0
238,491.0
239,154.0
240,161.0
241,168.0
242,168.0
243,147.0
244,149.0
245,144.0
246,158.0
247,159.0
248,175.0
249,150.0
250,169.0
251,189.0
252,198.0
253,183.0
254,192.0
255,215.0
256,199.0
257,187.0
258,220.0
259,207.0
260,194.0
261,183.0
262,389.0
263,148.0
264,187.0
265,403.0
266,210.0
267,160.0
268,195.0
269,182.0
270,225.0
271,269.0
272,192.0
273,227.0
274,254.0
275,143.0
276,202.0
277,202.0
278,253.0
279,149.0
280,244.0
281,328.0
282,210.0
283,309.0
284,239.0
285,451.0
286,264.0
287,297.0
288,229.0
289,160.0
290,13.0
291,297.0
292,216.0
293,156.0
294,222.0
295,223.0
296,264.0
297,306.0
298,288.0
299,225.0
