episodes,rewards
0,-82.72328774288866
1,-157.92530618459674
2,-478.4886604570429
3,-334.37518705568635
4,-467.1750377003814
5,-357.4844850898284
6,-340.6137071361243
7,-234.25450049804255
8,-320.51942242634664
9,-259.6495125566753
10,-67.50552017848932
11,-200.28586366370251
12,-301.2575495757461
13,-129.56283273912916
14,-169.24058874039727
15,-175.484489715886
16,-113.56505319267116
17,-179.24194653593682
18,-327.8991814709683
19,-31.9015577283715
20,-106.52771479025014
21,-152.07432268521325
22,26.265624851923533
23,-99.8711442914971
24,-147.43056992383703
25,-188.80712066960663
26,-142.33171598846536
27,-155.05849214219458
28,-145.32549464129218
29,-232.2286339162471
30,-107.02901189387977
31,-143.29320697025287
32,-300.2796498048451
33,-290.59751741058557
34,-529.3249282566435
35,-551.0956507016379
36,-42.168652817473735
37,-244.69224395657676
38,-219.22545632811367
39,-278.587023576399
40,-63.31136847323302
41,-28.63034753207036
42,-189.06670574100642
43,-208.54825224551394
44,-36.776282908144154
45,-283.1314971586457
46,-44.65394512572249
47,-239.6224388196399
48,-95.59073318659446
49,-181.75330210681977
50,-192.55279064204802
51,-162.51500842844226
52,-199.0078123048168
53,-280.14534552108034
54,-257.58533965732147
55,-256.1023474318972
56,-182.48864294890808
57,-245.02218621514749
58,-38.78321016351509
59,-67.08007877225165
60,-249.1185152083974
61,-40.113830250325435
62,15.186921422860053
63,-60.277746750513096
64,-267.1942314754772
65,-277.7544521983432
66,-255.5939415274957
67,-195.29422371380292
68,-195.29310399512252
69,-334.6830996312916
70,-444.36063623524274
71,-63.395544232298946
72,180.80362699791073
73,-691.520694177901
74,-638.8543628670255
75,-501.3430085135235
76,-767.1768023370329
77,-441.91946219802156
78,-49.75229869220715
79,-140.90702925485562
80,-87.98661559042343
81,-205.2093727868375
82,-217.96132608017646
83,-9.839875235933405
84,-195.20572969436338
85,-116.54532051277756
86,-267.4771947800233
87,-211.80757389458321
88,-296.6338847810365
89,-242.3999943567249
90,-78.6380721490433
91,-128.27633811087662
92,-66.01015347453061
93,-225.06207136878746
94,-207.90414954491172
95,-173.94649632509902
96,-52.5497739025414
97,-209.47074944578588
98,-129.74678868755558
99,265.37092650914735
100,-346.07297760941265
101,-91.58619290564715
102,272.3437422941116
103,-185.0458070763644
104,4.912842046993461
105,-192.53074300098302
106,-93.45341317157025
107,-252.16939641049004
108,-188.53626230052072
109,-206.1085017663557
110,-209.09681278005397
111,-46.014654899182155
112,-170.25548004484824
113,-238.64073719928228
114,-125.3757373454535
115,-126.99557382074207
116,-238.08937557887194
117,-55.4132625444012
118,-93.57711129096411
119,-32.83671500279749
120,-58.73105087603477
121,-170.66377731021356
122,-157.19353966225592
123,-65.29461927393442
124,-65.83981134964586
125,-611.8703170858187
126,-27.53125782533307
127,-21.711776487659876
128,-707.6840739049353
129,-541.9804545219959
130,-327.57848704011417
131,-89.61522347221188
132,-230.0982932666207
133,-168.8664007534844
134,-219.16539211195476
135,-221.85093665171786
136,-116.62598518146875
137,-29.396711045555648
138,-267.83494284106814
139,-234.06605904299064
140,-217.28863425768586
141,-20.746813713970397
142,-118.9379610494386
143,-48.41843932253582
144,-66.04676931437147
145,-110.4832143665568
146,-117.12192820561098
147,-54.605663648761755
148,-214.8884351801347
149,-82.75658353820134
150,-60.154485401302665
151,-241.6480471252248
152,-284.1235222186855
153,-236.36198138047823
154,-208.1389257394493
155,-7.931681172341868
156,-24.428562134515317
157,11.849224903448246
158,-60.02881115456298
159,-60.17292543336965
160,-62.86543918982658
161,-14.293991885825662
162,-78.06441965825982
163,-137.0208577022612
164,-38.97592362153746
165,-35.19085318398942
166,-213.3105674662106
167,-260.81211982051303
168,-257.69407708049687
169,-65.1881473616879
170,-46.021452586400045
171,-54.96119782778642
172,-62.22599238280347
173,-46.53728926880834
174,-214.159646038782
175,-200.24622562857758
176,-220.327081784148
177,-50.533168624088155
178,-7.795655325564255
179,-223.14128332582348
180,-39.17084551317187
181,-35.63134394456655
182,-78.53102766650665
183,-317.8855414748731
184,-94.89788791897357
185,-35.448292274424745
186,-134.05415714019188
187,-391.65611654528294
188,-166.10220812852552
189,-201.36454342850806
190,-479.2767925437278
191,-39.98175408777469
192,-53.16216785378116
193,-48.64458896977021
194,-37.80261120159008
195,-75.75784109919266
196,-90.71554881843753
197,5.082461748014282
198,-109.54583253256718
199,-206.70258657428295
200,-174.39730868290292
201,-250.41077185421318
202,-421.9795607845546
203,-301.70817779532115
204,-214.74431717997257
205,-354.2092305604348
206,-429.05027842454575
207,-519.6255565180625
208,-465.3476487294794
209,-753.4072296460712
210,-481.01136407720514
211,-623.0660224405387
212,-406.58412441359394
213,-523.2574747374103
214,-695.357218971367
215,-572.1823176495299
216,-520.7931994487476
217,-471.5708446210698
218,-795.3485421581964
219,-186.91623474134857
220,-218.10088112359736
221,-172.6294785554947
222,-102.15958135918696
223,-105.00157036986246
224,-273.62145853807135
225,-210.7124452984433
226,-242.97901071164966
227,-105.17742557832709
228,-43.30670123822833
229,-119.36822586691557
230,-135.5539644276127
231,-182.43712372837143
232,42.20380523944269
233,-387.9214402631206
234,-75.97719266517704
235,-59.57345862124053
236,-14.613042988902336
237,-89.12711209547437
238,-144.16451401119272
239,-6.883650114082414
240,54.78373937289649
241,-210.10726173142336
242,92.01187306017614
243,-80.85394842095741
244,-206.54233817205534
245,-107.65068789807371
246,-221.36187426606742
247,-172.48524442190643
248,-41.00368088485686
249,-226.85310629606863
250,8.487293856534777
251,-230.60580890330365
252,-214.96789045404466
253,-480.946263596447
254,67.58326302759974
255,-260.4389551922421
256,-329.72539334331555
257,-341.04621567793436
258,-67.6435662736303
259,-13.853322821017642
260,-272.4925250115937
261,-268.57091483875035
262,-248.137875987845
263,-98.8194178580426
264,-185.5568722954786
265,-176.8362585913851
266,-23.985513459126636
267,-77.70161580473473
268,-30.632386456893556
269,-147.1400332407711
270,-90.47244523960352
271,-58.82206806130607
272,-160.14474188267013
273,-153.70366775407595
274,-67.0040668517878
275,-35.288126625484864
276,-79.01046621952966
277,-231.985135716921
278,-61.50748620882776
279,-156.32695344751403
280,-234.41116636437528
281,-217.9003719518302
282,-226.9855993672565
283,216.11570651353207
284,-60.90434412356275
285,-13.142412745053306
286,-70.67868513198277
287,-75.19307486039496
288,-53.16673541327979
289,-4.625262240021257
290,11.64129563290166
291,-35.879097610593476
292,-42.8093195534892
293,186.63189975012713
294,-60.29711590543124
295,-10.96467725182741
296,-31.64763576951772
297,-9.565006061744057
298,-42.04675211920254
299,-60.545893274785975
