episodes,rewards
0,19.0
1,15.0
2,11.0
3,22.0
4,30.0
5,13.0
6,29.0
7,14.0
8,19.0
9,23.0
10,26.0
11,22.0
12,36.0
13,16.0
14,23.0
15,10.0
16,25.0
17,10.0
18,10.0
19,9.0
20,28.0
21,14.0
22,15.0
23,30.0
24,24.0
25,40.0
26,20.0
27,34.0
28,15.0
29,25.0
30,137.0
31,36.0
32,24.0
33,22.0
34,31.0
35,23.0
36,30.0
37,88.0
38,11.0
39,11.0
40,109.0
41,61.0
42,18.0
43,32.0
44,99.0
45,40.0
46,115.0
47,121.0
48,106.0
49,82.0
50,113.0
51,98.0
52,149.0
53,60.0
54,198.0
55,168.0
56,412.0
57,438.0
58,246.0
59,231.0
60,195.0
61,238.0
62,249.0
63,234.0
64,215.0
65,232.0
66,210.0
67,237.0
68,199.0
69,281.0
70,236.0
71,220.0
72,201.0
73,250.0
74,248.0
75,246.0
76,211.0
77,229.0
78,239.0
79,219.0
80,339.0
81,303.0
82,232.0
83,216.0
84,214.0
85,242.0
86,256.0
87,304.0
88,245.0
89,226.0
90,259.0
91,225.0
92,331.0
93,215.0
94,264.0
95,264.0
96,216.0
97,278.0
98,219.0
99,348.0
100,274.0
101,372.0
102,236.0
103,373.0
104,345.0
105,381.0
106,311.0
107,430.0
108,419.0
109,422.0
110,387.0
111,395.0
112,351.0
113,456.0
114,339.0
115,304.0
116,336.0
117,300.0
118,274.0
119,281.0
120,320.0
121,262.0
122,320.0
123,378.0
124,303.0
125,286.0
126,362.0
127,348.0
128,275.0
129,249.0
130,403.0
131,335.0
132,298.0
133,319.0
134,307.0
135,252.0
136,312.0
137,339.0
138,334.0
139,292.0
140,282.0
141,254.0
142,274.0
143,262.0
144,284.0
145,288.0
146,347.0
147,322.0
148,292.0
149,288.0
150,277.0
151,292.0
152,280.0
153,350.0
154,271.0
155,369.0
156,290.0
157,303.0
158,269.0
159,379.0
160,319.0
161,315.0
162,394.0
163,326.0
164,363.0
165,362.0
166,286.0
167,468.0
168,303.0
169,439.0
170,500.0
171,346.0
172,353.0
173,380.0
174,293.0
175,257.0
176,268.0
177,207.0
178,264.0
179,263.0
180,200.0
181,190.0
182,151.0
183,200.0
184,201.0
185,210.0
186,196.0
187,146.0
188,176.0
189,187.0
190,154.0
191,174.0
192,199.0
193,157.0
194,174.0
195,167.0
196,161.0
197,167.0
198,172.0
199,184.0
200,175.0
201,174.0
202,217.0
203,173.0
204,195.0
205,176.0
206,147.0
207,151.0
208,137.0
209,132.0
210,139.0
211,131.0
212,129.0
213,132.0
214,147.0
215,192.0
216,159.0
217,176.0
218,154.0
219,169.0
220,178.0
221,191.0
222,179.0
223,202.0
224,500.0
225,352.0
226,382.0
227,261.0
228,491.0
229,500.0
230,500.0
231,494.0
232,500.0
233,352.0
234,372.0
235,294.0
236,204.0
237,366.0
238,226.0
239,318.0
240,376.0
241,209.0
242,235.0
243,359.0
244,264.0
245,218.0
246,241.0
247,223.0
248,326.0
249,228.0
250,346.0
251,321.0
252,223.0
253,147.0
254,181.0
255,187.0
256,215.0
257,202.0
258,184.0
259,285.0
260,239.0
261,198.0
262,173.0
263,380.0
264,283.0
265,378.0
266,278.0
267,195.0
268,213.0
269,190.0
270,174.0
271,307.0
272,200.0
273,165.0
274,164.0
275,193.0
276,149.0
277,162.0
278,162.0
279,171.0
280,174.0
281,173.0
282,180.0
283,185.0
284,244.0
285,162.0
286,201.0
287,204.0
288,200.0
289,226.0
290,190.0
291,231.0
292,214.0
293,306.0
294,248.0
295,258.0
296,248.0
297,277.0
298,361.0
299,319.0
