episodes,rewards
0,18
1,17
2,20
3,15
4,13
5,16
6,26
7,9
8,21
9,47
10,12
11,20
12,18
13,34
14,17
15,61
16,11
17,20
18,10
19,36
20,12
21,10
22,13
23,30
24,16
25,11
26,43
27,40
28,54
29,8
30,55
31,14
32,13
33,17
34,27
35,23
36,28
37,35
38,11
39,28
40,11
41,8
42,14
43,14
44,19
45,17
46,10
47,16
48,26
49,16
50,46
51,24
52,45
53,32
54,17
55,9
56,13
57,9
58,12
59,11
60,17
61,27
62,21
63,10
64,9
65,24
66,11
67,9
68,19
69,11
70,32
71,9
72,11
73,18
74,22
75,12
76,12
77,28
78,17
79,13
80,16
81,13
82,12
83,10
84,16
85,12
86,12
87,10
88,13
89,14
90,8
91,12
92,10
93,12
94,9
95,12
96,24
97,8
98,15
99,13
100,17
101,15
102,10
103,12
104,11
105,15
106,15
107,11
108,28
109,22
110,25
111,10
112,12
113,27
114,20
115,15
116,45
117,23
118,18
119,9
120,24
121,11
122,14
123,10
124,9
125,23
126,19
127,23
128,9
129,34
130,10
131,12
132,14
133,13
134,14
135,13
136,23
137,13
138,27
139,12
140,16
141,15
142,22
143,13
144,17
145,27
146,37
147,14
148,15
149,39
150,16
151,14
152,24
153,78
154,50
155,9
156,16
157,14
158,15
159,13
160,17
161,26
162,9
163,29
164,13
165,27
166,28
167,41
168,9
169,28
170,17
171,23
172,11
173,18
174,19
175,16
176,20
177,31
178,15
179,15
180,20
181,62
182,50
183,119
184,53
185,23
186,24
187,21
188,17
189,38
190,12
191,49
192,24
193,40
194,19
195,15
196,79
197,26
198,14
199,24
200,25
201,37
202,16
203,12
204,21
205,40
206,36
207,16
208,36
209,11
210,24
211,17
212,13
213,17
214,20
215,47
216,20
217,50
218,15
219,18
220,82
221,21
222,19
223,22
224,46
225,32
226,42
227,18
228,46
229,30
230,14
231,28
232,41
233,17
234,19
235,16
236,27
237,18
238,63
239,23
240,69
241,33
242,38
243,72
244,90
245,67
246,27
247,23
248,26
249,21
250,63
251,63
252,63
253,27
254,44
255,17
256,61
257,20
258,67
259,31
260,37
261,107
262,18
263,145
264,32
265,60
266,12
267,42
268,14
269,44
270,30
271,47
272,67
273,25
274,48
275,121
276,24
277,60
278,85
279,41
280,72
281,27
282,12
283,38
284,30
285,33
286,60
287,18
288,48
289,32
290,62
291,65
292,35
293,88
294,23
295,122
296,79
297,46
298,31
299,86
