episodes,rewards
0,21.0
1,15.0
2,11.0
3,10.0
4,17.0
5,16.0
6,31.0
7,12.0
8,11.0
9,14.0
10,49.0
11,21.0
12,61.0
13,22.0
14,21.0
15,108.0
16,25.0
17,75.0
18,29.0
19,58.0
20,128.0
21,59.0
22,135.0
23,225.0
24,17.0
25,324.0
26,261.0
27,307.0
28,162.0
29,226.0
30,203.0
31,243.0
32,301.0
33,312.0
34,306.0
35,483.0
36,420.0
37,210.0
38,500.0
39,166.0
40,38.0
41,475.0
42,172.0
43,203.0
44,462.0
45,224.0
46,222.0
47,453.0
48,234.0
49,299.0
50,95.0
51,500.0
52,276.0
53,433.0
54,369.0
55,375.0
56,174.0
57,500.0
58,231.0
59,230.0
60,183.0
61,250.0
62,361.0
63,234.0
64,232.0
65,181.0
66,381.0
67,360.0
68,356.0
69,339.0
70,478.0
71,82.0
72,275.0
73,291.0
74,500.0
75,78.0
76,150.0
77,413.0
78,198.0
79,230.0
80,201.0
81,209.0
82,38.0
83,10.0
84,43.0
85,165.0
86,161.0
87,129.0
88,124.0
89,105.0
90,127.0
91,127.0
92,125.0
93,108.0
94,73.0
95,13.0
96,109.0
97,165.0
98,346.0
99,486.0
100,199.0
101,267.0
102,153.0
103,144.0
104,206.0
105,123.0
106,13.0
107,116.0
108,14.0
109,33.0
110,67.0
111,180.0
112,500.0
113,245.0
114,500.0
115,183.0
116,207.0
117,420.0
118,500.0
119,136.0
120,500.0
121,206.0
122,62.0
123,418.0
124,447.0
125,141.0
126,215.0
127,500.0
128,500.0
129,175.0
130,423.0
131,450.0
132,13.0
133,168.0
134,168.0
135,164.0
136,289.0
137,246.0
138,197.0
139,130.0
140,152.0
141,500.0
142,363.0
143,243.0
144,500.0
145,500.0
146,203.0
147,12.0
148,243.0
149,232.0
150,213.0
151,349.0
152,119.0
153,331.0
154,265.0
155,124.0
156,344.0
157,223.0
158,11.0
159,11.0
160,10.0
161,465.0
162,139.0
163,11.0
164,58.0
165,160.0
166,335.0
167,298.0
168,429.0
169,349.0
170,209.0
171,419.0
172,435.0
173,338.0
174,436.0
175,404.0
176,388.0
177,500.0
178,281.0
179,142.0
180,276.0
181,178.0
182,260.0
183,492.0
184,391.0
185,500.0
186,160.0
187,277.0
188,191.0
189,211.0
190,146.0
191,200.0
192,460.0
193,166.0
194,156.0
195,171.0
196,250.0
197,151.0
198,500.0
199,129.0
200,127.0
201,175.0
202,139.0
203,25.0
204,410.0
205,157.0
206,135.0
207,153.0
208,164.0
209,114.0
210,129.0
211,162.0
212,131.0
213,178.0
214,130.0
215,241.0
216,180.0
217,172.0
218,312.0
219,271.0
220,179.0
221,108.0
222,181.0
223,180.0
224,87.0
225,480.0
226,229.0
227,417.0
228,220.0
229,180.0
230,212.0
231,278.0
232,207.0
233,134.0
234,204.0
235,168.0
236,500.0
237,221.0
238,317.0
239,184.0
240,276.0
241,202.0
242,191.0
243,331.0
244,164.0
245,194.0
246,127.0
247,337.0
248,209.0
249,120.0
250,127.0
251,280.0
252,377.0
253,161.0
254,267.0
255,164.0
256,149.0
257,500.0
258,264.0
259,172.0
260,322.0
261,180.0
262,151.0
263,239.0
264,462.0
265,42.0
266,12.0
267,31.0
268,42.0
269,146.0
270,165.0
271,174.0
272,149.0
273,43.0
274,49.0
275,215.0
276,287.0
277,136.0
278,173.0
279,221.0
280,225.0
281,128.0
282,258.0
283,491.0
284,133.0
285,264.0
286,402.0
287,130.0
288,263.0
289,337.0
290,193.0
291,186.0
292,118.0
293,315.0
294,148.0
295,96.0
296,52.0
297,426.0
298,177.0
299,273.0
