episodes,rewards
0,16
1,12
2,21
3,26
4,14
5,22
6,17
7,11
8,40
9,10
10,19
11,26
12,24
13,22
14,16
15,12
16,20
17,16
18,9
19,12
20,13
21,17
22,17
23,38
24,28
25,11
26,11
27,41
28,28
29,18
30,17
31,14
32,15
33,17
34,26
35,21
36,19
37,34
38,30
39,41
40,16
41,16
42,11
43,14
44,18
45,18
46,9
47,16
48,12
49,20
50,12
51,31
52,16
53,38
54,9
55,29
56,13
57,46
58,19
59,10
60,17
61,13
62,17
63,38
64,13
65,17
66,13
67,21
68,22
69,34
70,16
71,44
72,10
73,23
74,26
75,45
76,10
77,18
78,19
79,13
80,22
81,21
82,11
83,31
84,25
85,41
86,13
87,23
88,9
89,13
90,52
91,19
92,19
93,43
94,50
95,17
96,22
97,33
98,50
99,10
100,11
101,18
102,40
103,19
104,24
105,23
106,49
107,63
108,13
109,29
110,13
111,64
112,68
113,22
114,27
115,13
116,34
117,28
118,17
119,16
120,37
121,16
122,14
123,21
124,21
125,20
126,14
127,19
128,48
129,25
130,16
131,7
132,18
133,32
134,13
135,34
136,9
137,41
138,16
139,15
140,22
141,42
142,36
143,20
144,19
145,26
146,25
147,43
148,32
149,22
150,14
151,28
152,37
153,23
154,25
155,17
156,16
157,53
158,19
159,22
160,42
161,27
162,21
163,19
164,25
165,45
166,67
167,36
168,56
169,32
170,41
171,28
172,12
173,15
174,22
175,22
176,36
177,44
178,75
179,18
180,17
181,121
182,17
183,24
184,67
185,26
186,15
187,80
188,17
189,26
190,16
191,32
192,29
193,56
194,61
195,17
196,48
197,45
198,21
199,33
200,15
201,35
202,40
203,33
204,37
205,30
206,24
207,42
208,50
209,47
210,55
211,30
212,27
213,24
214,36
215,20
216,45
217,52
218,20
219,54
220,14
221,19
222,49
223,74
224,31
225,77
226,26
227,81
228,69
229,86
230,27
231,51
232,17
233,55
234,21
235,128
236,33
237,33
238,46
239,118
240,19
241,31
242,59
243,62
244,18
245,34
246,33
247,39
248,38
249,25
250,73
251,19
252,21
253,19
254,27
255,23
256,45
257,88
258,66
259,12
260,14
261,30
262,30
263,43
264,47
265,50
266,45
267,51
268,58
269,81
270,74
271,96
272,50
273,16
274,35
275,17
276,71
277,126
278,22
279,44
280,25
281,51
282,58
283,61
284,107
285,42
286,98
287,30
288,41
289,97
290,92
291,67
292,46
293,30
294,15
295,45
296,79
297,37
298,96
299,68
