episodes,rewards
0,-316.5903522637833
1,-89.90717860323565
2,-289.6892602441104
3,-129.11387593128657
4,-40.76345530394285
5,-90.95485394141087
6,-178.95348225421878
7,-61.6833317313448
8,-75.27895429686762
9,-335.9867370028834
10,-10.687321735520612
11,-85.38537622943615
12,-91.04704450646362
13,-171.99547221716261
14,-220.02914851885362
15,-88.41598077955129
16,-201.7493257856563
17,-100.17087171392323
18,29.54925470212056
19,-211.36625654734075
20,-331.8132252673764
21,-122.18696875141602
22,-160.12479978038834
23,-154.09099374038297
24,-32.51299679556138
25,-97.82200417229798
26,-64.87569026452321
27,-58.89149076817189
28,-67.66119217949833
29,-244.20084169723552
30,-100.46806944451151
31,-180.78327535800076
32,-489.4369766289682
33,-108.58518291586302
34,-85.96766622134611
35,-110.52191478362104
36,-76.1366180163144
37,-57.89253949045569
38,-38.49916430163316
39,-34.970640253169975
40,-33.1622269842755
41,-57.21164320429443
42,-54.128049267553415
43,-534.4751165490497
44,-41.077584717850186
45,-63.21161449476249
46,-44.06455679216002
47,-87.43318939418396
48,-479.6673387447869
49,-269.8935544393142
50,-55.23489496049831
51,-79.05394855901943
52,-208.37402644454733
53,-79.68906527944146
54,-38.01177717269687
55,-37.33928784776923
56,-91.34639416668625
57,-13.590839496766598
58,-57.27063991233212
59,-122.03125813073191
60,-114.109315934343
61,-105.69004648873904
62,-239.393597078721
63,-228.15138146820075
64,198.55403607980904
65,-196.317993538357
66,-289.69966370604254
67,-634.0207144620807
68,-8.709870085026651
69,-44.9254242171435
70,22.46670781150476
71,-226.10295307168502
72,-16.080446135995928
73,-215.45147285884295
74,-91.61537309987843
75,-81.42084492529878
76,-55.99537755252445
77,-306.34693828906427
78,-52.41355183812844
79,14.25969105100225
80,-12.839201628908063
81,-77.06836331248068
82,-501.9840006794023
83,-27.862847629416873
84,-23.091296223619864
85,-101.61569424888309
86,-150.76426703340132
87,-74.00177629763341
88,-71.4435043406223
89,-5.990590588363186
90,-55.29539753230529
91,-69.79470053253222
92,3.163537959222608
93,12.83515347860967
94,129.18647548670205
95,-88.99590635865687
96,-40.76593542195333
97,-62.51712760470739
98,-199.18679218698537
99,-26.916817290282623
100,-244.7408233246701
101,-97.33836010175267
102,-123.72589990627927
103,-41.09116446612243
104,-118.29726602880005
105,-147.07475455133223
106,-105.48836706338611
107,-557.4165596774717
108,-36.66926412218619
109,-38.01570416350923
110,-14.518042324220215
111,-76.32025734817643
112,-48.15036603605164
113,-62.78312583823636
114,-311.57584321075444
115,-128.71423365222364
116,-70.61354289128361
117,-99.53893999427439
118,-144.52911429022643
119,-18.663783852377083
120,-68.88283474538342
121,-73.46209683026939
122,-133.7636440522161
123,-163.65745557884924
124,-141.8820229746564
125,-6.257938512534267
126,45.65561147327965
127,-78.40683900789534
128,-35.26243975759232
129,-37.598879529094575
130,98.0023799084746
131,-222.23474271757036
132,3.196961758790991
133,-42.30761481319378
134,-302.39298901593565
135,-83.90748636957284
136,-80.84401877873964
137,-59.698625673099876
138,-151.8975982522945
139,-148.87561636341727
140,-104.83871560628026
141,-17.39784966492418
142,-5.898411225202313
143,-37.130390987613644
144,-10.10976796454477
145,-16.81701312720372
146,84.45428012860839
147,-142.01426440867698
148,-114.42355995980047
149,-88.21463622043035
150,-33.178358713590924
151,88.4024534298785
152,4.055340419135405
153,-119.55598767738084
154,-64.48087407147085
155,-57.99326305207669
156,-92.54126772015557
157,-501.08487741440877
158,-121.53509717625485
159,-4.548078350975814
160,-76.39283668660768
161,-66.60174923397334
162,-80.44395319199485
163,-79.33756657581112
164,-192.50346673772788
165,-0.2625176403727778
166,-5.834917414406959
167,90.66416885650187
168,-59.808483063945175
169,-18.069932455980524
170,-78.99486270608344
171,-185.68824042069815
172,-48.36927908951155
173,-75.96582503551761
174,-159.88747570325737
175,-132.93147131931994
176,-118.4626022769344
177,-47.548480495377106
178,-56.067947782743616
179,-26.78525596275834
180,-315.60411712806183
181,-371.0023870123459
182,-131.54164475967704
183,-32.579165199715526
184,-54.41388392442262
185,-11.256844961381724
186,-71.22154658647446
187,-109.89532724467456
188,-84.97606466380478
189,-95.88789850951284
190,-144.6912080087104
191,-139.27310504105145
192,-86.13094447248224
193,-141.26041469019273
194,-51.17501333163766
195,-80.87967631674456
196,-119.20532894266611
197,-65.55124382329849
198,-499.93186358988464
199,-74.64457382197733
200,-36.723188065001224
201,-118.93132836084918
202,-106.91932037496424
203,-126.15502568422217
204,-104.78145159885528
205,-73.2326719005938
206,-51.21051724275077
207,-98.74532985512734
208,-54.5350514854372
209,-94.46479830657161
210,-97.11743161712066
211,-74.0327983518767
212,-95.30422416253934
213,-268.9810451137231
