episodes,rewards
0,28.0
1,35.0
2,22.0
3,18.0
4,16.0
5,35.0
6,55.0
7,14.0
8,45.0
9,13.0
10,80.0
11,19.0
12,55.0
13,21.0
14,50.0
15,56.0
16,50.0
17,73.0
18,95.0
19,158.0
20,88.0
21,149.0
22,127.0
23,117.0
24,182.0
25,123.0
26,137.0
27,161.0
28,127.0
29,127.0
30,207.0
31,132.0
32,158.0
33,175.0
34,244.0
35,156.0
36,117.0
37,143.0
38,159.0
39,150.0
40,206.0
41,187.0
42,254.0
43,254.0
44,217.0
45,184.0
46,166.0
47,190.0
48,171.0
49,204.0
50,208.0
51,245.0
52,185.0
53,173.0
54,194.0
55,174.0
56,214.0
57,160.0
58,330.0
59,189.0
60,188.0
61,211.0
62,303.0
63,188.0
64,159.0
65,223.0
66,197.0
67,279.0
68,266.0
69,193.0
70,185.0
71,242.0
72,253.0
73,180.0
74,186.0
75,238.0
76,220.0
77,178.0
78,238.0
79,216.0
80,319.0
81,186.0
82,189.0
83,393.0
84,76.0
85,164.0
86,116.0
87,123.0
88,146.0
89,134.0
90,295.0
91,140.0
92,175.0
93,148.0
94,152.0
95,166.0
96,156.0
97,147.0
98,144.0
99,174.0
100,159.0
101,162.0
102,155.0
103,143.0
104,161.0
105,166.0
106,136.0
107,107.0
108,143.0
109,119.0
110,190.0
111,161.0
112,120.0
113,148.0
114,160.0
115,113.0
116,134.0
117,150.0
118,461.0
119,145.0
120,136.0
121,157.0
122,273.0
123,149.0
124,144.0
125,152.0
126,129.0
127,161.0
128,207.0
129,240.0
130,143.0
131,129.0
132,165.0
133,157.0
134,201.0
135,121.0
136,156.0
137,19.0
138,20.0
139,125.0
140,206.0
141,175.0
142,119.0
143,87.0
144,106.0
145,103.0
146,63.0
147,152.0
148,130.0
149,500.0
150,189.0
151,163.0
152,143.0
153,146.0
154,134.0
155,173.0
156,12.0
157,154.0
158,194.0
159,167.0
160,173.0
161,150.0
162,313.0
163,261.0
164,157.0
165,167.0
166,215.0
167,145.0
168,171.0
169,163.0
170,171.0
171,146.0
172,202.0
173,177.0
174,136.0
175,163.0
176,139.0
177,145.0
178,194.0
179,162.0
180,218.0
181,207.0
182,139.0
183,234.0
184,181.0
185,142.0
186,170.0
187,162.0
188,188.0
189,191.0
190,190.0
191,179.0
192,180.0
193,200.0
194,173.0
195,157.0
196,172.0
197,189.0
198,233.0
199,219.0
200,432.0
201,299.0
202,188.0
203,375.0
204,308.0
205,212.0
206,221.0
207,152.0
208,249.0
209,216.0
210,418.0
211,218.0
212,500.0
213,165.0
214,11.0
215,10.0
216,23.0
217,67.0
218,211.0
219,230.0
220,204.0
221,126.0
222,141.0
223,144.0
224,145.0
225,170.0
226,203.0
227,139.0
228,199.0
229,258.0
230,161.0
231,171.0
232,241.0
233,240.0
234,282.0
235,383.0
236,225.0
237,367.0
238,500.0
239,378.0
240,222.0
241,500.0
242,227.0
243,209.0
244,500.0
245,347.0
246,329.0
247,336.0
248,159.0
249,235.0
250,298.0
251,74.0
252,61.0
253,336.0
254,179.0
255,226.0
256,206.0
257,311.0
258,68.0
259,173.0
260,152.0
261,113.0
262,274.0
263,177.0
264,120.0
265,100.0
266,116.0
267,155.0
268,110.0
269,131.0
270,113.0
271,117.0
272,135.0
273,93.0
274,161.0
275,139.0
276,147.0
277,116.0
278,111.0
279,94.0
280,282.0
281,350.0
282,149.0
283,111.0
284,152.0
285,212.0
286,168.0
287,155.0
288,134.0
289,171.0
290,168.0
291,44.0
292,119.0
293,151.0
294,142.0
295,188.0
296,168.0
297,238.0
298,61.0
299,315.0
