episodes,rewards
0,19
1,11
2,8
3,10
4,7
5,9
6,10
7,10
8,13
9,13
10,9
11,10
12,8
13,11
14,9
15,7
16,13
17,8
18,9
19,10
20,8
21,10
22,9
23,8
24,10
25,9
26,16
27,11
28,10
29,8
30,11
31,9
32,11
33,9
34,12
35,10
36,9
37,9
38,10
39,10
40,10
41,11
42,9
43,9
44,11
45,11
46,11
47,9
48,17
49,16
50,13
51,10
52,10
53,9
54,13
55,11
56,19
57,11
58,10
59,19
60,9
61,23
62,9
63,26
64,10
65,31
66,18
67,24
68,24
69,14
70,21
71,26
72,20
73,15
74,19
75,20
76,21
77,13
78,34
79,17
80,66
81,57
82,13
83,42
84,32
85,42
86,49
87,36
88,37
89,62
90,66
91,70
92,47
93,41
94,40
95,19
96,74
97,52
98,83
99,94
100,43
101,122
102,48
103,48
104,129
105,98
106,30
107,28
108,86
109,33
110,54
111,95
112,26
113,68
114,50
115,35
116,118
117,72
118,118
119,104
120,153
121,174
122,159
123,46
124,97
125,51
126,119
127,54
128,161
129,219
130,312
131,245
132,274
133,342
134,124
135,81
136,105
137,184
138,163
139,116
140,47
141,146
142,53
143,130
144,246
145,123
146,154
147,88
148,204
149,160
150,129
151,228
152,183
153,314
154,126
155,394
156,383
157,139
158,148
159,689
160,321
161,171
162,308
163,65
164,536
165,394
166,447
167,444
168,532
169,284
170,178
171,222
172,277
173,195
174,417
175,289
176,352
177,501
178,510
179,289
180,771
181,270
182,244
183,1856
184,765
185,389
186,129
187,404
188,324
189,395
190,387
191,268
192,185
193,188
194,238
195,246
196,175
197,192
198,149
199,211
200,189
201,139
202,145
203,105
204,111
205,108
206,96
207,130
208,48
209,99
210,160
211,192
212,96
213,156
214,130
215,108
216,126
217,150
218,189
219,155
220,235
221,135
222,168
223,206
224,174
225,202
226,235
227,187
228,135
229,133
230,149
231,177
232,226
233,174
234,212
235,205
236,411
237,189
238,184
239,185
240,245
241,257
242,288
243,197
244,220
245,152
246,262
247,224
248,327
249,306
250,437
251,573
252,481
253,697
254,561
255,454
256,884
257,297
258,1090
259,586
260,506
261,374
262,380
263,371
264,761
265,379
266,642
267,556
268,364
269,483
270,374
271,263
272,663
273,663
274,319
275,993
276,817
277,651
278,473
279,1594
280,1060
281,2405
282,2108
283,1206
284,1134
285,1436
286,308
287,1678
288,1102
289,1991
290,259
291,974
292,715
293,1226
294,282
295,356
296,689
297,1097
298,1239
299,604
