episodes,rewards
0,-198.25767562891994
1,-51.691838901824
2,-142.36235055956917
3,-41.346690787035996
4,-489.3755662186789
5,-99.32715954893945
6,-81.06029379263505
7,-17.38658945978005
8,-117.92134993704042
9,-147.41104852183057
10,-1.224533067386093
11,-111.6407391225395
12,-125.50546861657013
13,-130.4865936294748
14,178.16250654608046
15,-60.37657956968795
16,-76.43287306426771
17,-174.52777891115704
18,-538.6589298873955
19,-160.8090186461727
20,-108.24660641828874
21,-487.2942496263658
22,-510.84464020406165
23,-281.0664373884755
24,-325.7236591081421
25,-168.7044129386416
26,-619.1984342799793
27,-553.7010192955315
28,-578.3633237615705
29,-272.42691515169815
30,-600.8252205496403
31,-397.40274070157227
32,-390.108829179267
33,-438.5262183915895
34,-504.6964674673858
35,-400.84016358227933
36,-337.41634794648735
37,-399.9555179990044
38,-64.9769628597085
39,-128.32046354691622
40,-101.95222059615372
41,-139.49400169273594
42,-176.72039364939735
43,-163.1812362218584
44,-63.75757182780471
45,-109.5793382330447
46,-124.05323805650644
47,-135.20225327989343
48,-422.27616438265113
49,-395.6451853077848
50,228.6477383464525
51,-115.71434746557655
52,-94.73742711150805
53,-315.7781892463963
54,-383.80602494058536
55,-435.6287335263103
56,-275.49344091862315
57,-445.306432821241
58,-429.0113451414505
59,-264.4399435475746
60,2.567216551959474
61,-268.25985051855844
62,159.992531043678
63,-195.66389527221776
64,-14.893980174612272
65,-79.04827115370975
66,-78.93657488447622
67,-73.78106472681858
68,-150.1448339830992
69,-90.64611253636969
70,-221.113571865086
71,-113.28165755105084
72,-25.533075268645504
73,-167.11507652002024
74,-377.87857341462455
75,-56.840302035010424
76,-208.26028508379122
77,-158.69224155469374
78,-126.22452765936447
79,-96.76437730047363
80,-186.86219826720057
81,-35.50988482341113
82,-85.32512112160708
83,-134.891106970657
84,-101.36657905165309
85,-260.89208563999637
86,-164.5822204986447
87,-286.29198925407843
88,-211.7011347288196
89,-363.40276061768077
90,-82.21948947974981
91,-27.852833182605167
92,-99.08404009792437
93,-113.03829714408192
94,-132.22136169135203
95,-87.65165246156833
96,-121.81947378966903
97,-626.5662034049731
98,-380.239227098837
99,-293.03575534862364
100,-164.78167117578445
101,-187.21715826722246
102,235.88667717588717
103,11.232583793677236
104,-378.4868182250416
105,-99.73632242587405
106,-117.89812974751598
107,-344.1504835301866
108,-129.83538106300063
109,-78.31164679726768
110,-191.68514276187025
111,-5.61587428861678
112,-189.2760950588759
113,-163.6957789739733
114,-130.2368776606024
115,-99.04287918117029
116,-91.24721109438866
117,-251.62327559476694
118,-651.0239713882577
119,-723.6035944608645
120,-124.6692810559516
121,-37.977514810792044
122,-78.09823765733128
123,-83.15391709933016
124,-291.35787877349037
125,-254.18442872679475
126,-138.83991935607372
127,-264.8973768789834
128,-151.51047990128313
129,-260.83636917736237
130,-47.150621146797164
131,-208.2299018218725
132,-53.19831562584167
133,-283.1269379501059
134,-108.27937033717217
135,-103.3303471766484
136,-89.4623534817163
137,-147.83894977211202
138,-62.96073897667212
139,-89.41161937949373
140,-103.75937972625361
141,-111.71699904677756
142,-255.04660169458305
143,-115.6233439902317
144,-40.81777855453892
145,-33.37200216995964
146,-166.82573502127642
147,-69.05107088658953
148,-178.21781973022308
149,-134.25668170393982
150,-102.69619137963606
151,-47.830030298748405
152,-123.19334190211717
153,-127.79977281541116
154,-305.4306391596948
155,-191.35413226686435
156,-240.94798271989265
157,-646.6432278185348
158,-323.77806865221453
159,-354.0441478054737
160,-156.6304483904181
161,-121.9426464603103
162,-51.273007691383
163,-225.73915596285352
164,-15.647676982414907
165,-364.7411936377698
166,-343.60548816408595
167,-124.95667423021276
168,-96.18111418584996
169,-52.9471957248776
170,-102.8154616056731
171,-120.34963819545595
172,-145.91343264109724
173,-109.74937239655148
174,-118.27450870893189
175,-116.25170961264229
176,-129.30755801716583
177,-128.0204650110419
178,-70.9929451953137
179,-274.9652689358334
180,-90.04463434319271
181,14.505864882921884
182,-95.62866150613435
183,-83.29485010276241
184,-41.55800247210452
185,-10.342217094233575
186,-132.8683115983289
187,-37.53549922414508
188,-117.66378074502623
189,-108.28114516251308
190,-85.95983362359944
191,-83.69164963472653
192,-240.17800125016444
193,163.819325721084
194,-79.71886921220528
195,-290.1136983263467
196,225.67418118027683
197,-327.0455699792695
198,-224.1647570226278
199,-277.9031826151013
200,-165.0198311807001
201,-78.38552634818767
202,-198.92472317010632
203,-62.34140877039921
204,-117.64079008258588
205,-119.54459312290784
206,-90.63783183959272
207,-19.116250713117317
208,-61.74960468900596
209,123.3515584203304
210,-132.54379149866134
211,-134.49012093980244
212,-298.5845830192776
213,-154.12838716961213
214,-54.23418897298007
215,-238.36319448079692
216,-172.83129266975413
217,-16.805632942564387
218,-59.23950570852777
219,-166.06532970732945
220,-139.12526075125948
221,-101.03099045675994
222,-85.13133628937854
223,-7.697462610135503
224,-143.00843366100395
225,-63.46710408000116
226,-86.19642202464456
227,-471.67483413222874
228,-119.59487753915458
229,-225.10461949415915
230,-546.0575570599682
231,-161.42078350106107
232,-561.1930228114236
233,-533.6250393695855
234,-157.37822235311882
235,-138.85535562486191
236,-112.54500131385105
237,-118.9098361455154
238,-672.9743590198167
239,-176.21808190508096
240,20.383404460100067
241,-348.9268064258851
242,-132.94594563638367
243,-149.29791160247368
244,-125.33159042651918
245,-209.97897428319808
246,-107.90981234034975
247,-325.5641702731237
248,-40.02678892621053
249,-574.2327895999963
250,-125.99381450251812
251,-118.3358659158967
252,-133.02715694052782
253,-140.5705591650647
254,-140.19446960772012
255,-137.1147896232577
256,-149.60462461230608
257,-80.30935846359453
258,-122.27660713774172
