episodes,rewards
0,20.0
1,16.0
2,67.0
3,14.0
4,10.0
5,34.0
6,39.0
7,19.0
8,12.0
9,19.0
10,27.0
11,21.0
12,12.0
13,77.0
14,13.0
15,54.0
16,83.0
17,38.0
18,15.0
19,16.0
20,26.0
21,32.0
22,16.0
23,62.0
24,103.0
25,141.0
26,132.0
27,154.0
28,138.0
29,160.0
30,123.0
31,187.0
32,145.0
33,153.0
34,215.0
35,166.0
36,150.0
37,192.0
38,179.0
39,206.0
40,252.0
41,207.0
42,232.0
43,201.0
44,228.0
45,222.0
46,198.0
47,208.0
48,186.0
49,221.0
50,221.0
51,231.0
52,231.0
53,191.0
54,214.0
55,199.0
56,194.0
57,260.0
58,208.0
59,206.0
60,193.0
61,217.0
62,237.0
63,236.0
64,203.0
65,204.0
66,227.0
67,200.0
68,206.0
69,238.0
70,236.0
71,178.0
72,208.0
73,204.0
74,218.0
75,233.0
76,207.0
77,248.0
78,221.0
79,227.0
80,278.0
81,208.0
82,247.0
83,171.0
84,247.0
85,212.0
86,219.0
87,196.0
88,243.0
89,177.0
90,218.0
91,206.0
92,267.0
93,180.0
94,218.0
95,222.0
96,385.0
97,318.0
98,138.0
99,198.0
100,221.0
101,250.0
102,185.0
103,227.0
104,427.0
105,290.0
106,181.0
107,220.0
108,184.0
109,220.0
110,201.0
111,186.0
112,192.0
113,210.0
114,176.0
115,247.0
116,308.0
117,220.0
118,256.0
119,225.0
120,293.0
121,292.0
122,183.0
123,196.0
124,263.0
125,278.0
126,229.0
127,206.0
128,240.0
129,261.0
130,216.0
131,296.0
132,236.0
133,211.0
134,265.0
135,201.0
136,237.0
137,235.0
138,257.0
139,212.0
140,237.0
141,220.0
142,297.0
143,367.0
144,314.0
145,158.0
146,188.0
147,142.0
148,194.0
149,128.0
150,147.0
151,158.0
152,130.0
153,160.0
154,157.0
155,180.0
156,219.0
157,136.0
158,139.0
159,163.0
160,227.0
161,39.0
162,13.0
163,11.0
164,10.0
165,12.0
166,12.0
167,11.0
168,40.0
169,147.0
170,119.0
171,133.0
172,146.0
173,136.0
174,121.0
175,126.0
176,129.0
177,129.0
178,132.0
179,139.0
180,134.0
181,134.0
182,152.0
183,140.0
184,150.0
185,141.0
186,136.0
187,137.0
188,136.0
189,155.0
190,167.0
191,154.0
192,152.0
193,144.0
194,159.0
195,156.0
196,186.0
197,161.0
198,240.0
199,187.0
200,168.0
201,157.0
202,147.0
203,150.0
204,207.0
205,207.0
206,169.0
207,154.0
208,146.0
209,130.0
210,191.0
211,285.0
212,220.0
213,176.0
214,161.0
215,194.0
216,243.0
217,272.0
218,306.0
219,203.0
220,33.0
221,11.0
222,9.0
223,140.0
224,145.0
225,141.0
226,151.0
227,204.0
228,128.0
229,144.0
230,170.0
231,158.0
232,193.0
233,177.0
234,240.0
235,217.0
236,420.0
237,210.0
238,384.0
239,161.0
240,237.0
241,220.0
242,296.0
243,356.0
244,278.0
245,265.0
246,500.0
247,177.0
248,179.0
249,113.0
250,113.0
251,120.0
252,135.0
253,185.0
254,117.0
255,116.0
256,134.0
257,126.0
258,111.0
259,134.0
260,121.0
261,124.0
262,130.0
263,117.0
264,117.0
265,116.0
266,138.0
267,131.0
268,225.0
269,122.0
270,117.0
271,116.0
272,139.0
273,107.0
274,112.0
275,109.0
276,108.0
277,333.0
278,13.0
279,13.0
280,114.0
281,155.0
282,201.0
283,139.0
284,124.0
285,126.0
286,115.0
287,161.0
288,149.0
289,119.0
290,111.0
291,143.0
292,118.0
293,128.0
294,190.0
295,127.0
296,195.0
297,123.0
298,99.0
299,100.0
