episodes,rewards
0,-79.7621768540484
1,-834.5989819962914
2,-506.5481221062959
3,-587.0339312922886
4,-842.2709722036799
5,-658.3997639486654
6,-726.4446082564423
7,-467.03135601007085
8,-537.9015255855214
9,-487.99914133980667
10,-534.1611459447429
11,-696.8998781880651
12,-458.3017709574487
13,-580.9544650812156
14,-738.5551507961048
15,-396.4997555685744
16,-525.5955338497513
17,-335.07004632266194
18,-450.1905073166465
19,-660.2466927722791
20,-548.279477140152
21,-827.1436285274835
22,-536.1732054079012
23,-372.7010017083085
24,-475.29658634004517
25,-692.0818873064921
26,-442.65513785206537
27,-478.4885934212909
28,-997.035191959483
29,-726.8097324374652
30,-454.5478168299932
31,-549.7664439852452
32,-488.3772629937031
33,-526.1782608176127
34,-558.2491827969882
35,-728.7175847778714
36,-781.7140594513596
37,-532.5589961388308
38,-565.3859402876659
39,-464.9222796320356
40,-830.2598074537353
41,-419.2379281124856
42,-363.4866043036611
43,-482.9463762276499
44,-596.6441553422575
45,-681.9967266408682
46,-599.7630530174089
47,-418.3602646407568
48,-366.485556155785
49,-498.4159962709891
50,-452.01075148916624
51,-473.64723353822455
52,-585.6273581260518
53,-613.8185366317829
54,-483.79295687104957
55,-873.6777240685216
56,-836.7732406151282
57,-1128.54421228817
58,-520.0928159979859
59,-593.8054532428503
60,-437.6472624517969
61,-611.4725992819642
62,-342.5372336849192
63,-492.90550643916043
64,-355.8029289173377
65,-489.5932638323745
66,-808.3812326877155
67,-535.4541089755118
68,-550.3421594832595
69,-1155.5595439810538
70,-636.8460209829686
71,-552.852191299631
72,-695.9156735212161
73,-482.0195784743708
74,-465.02848024122767
75,-1061.5093299189884
76,-1023.0457477608267
77,-499.735519491495
78,-405.50487506617065
79,-580.9242291832882
80,-780.6000277616507
81,-568.0329613536109
82,-701.2293446757787
83,-426.04408152681117
84,-755.4097395506911
85,-481.94016654492447
86,-655.1581675578947
87,-658.2328917396107
88,-529.1945920532346
89,-874.0207667458338
90,-399.9411243973907
91,-716.4099730671938
92,-423.67372136969175
93,-515.3150320520716
94,-623.3001996804929
95,-1042.0340758201573
96,-420.94933454026994
97,-913.5694827645121
98,-920.1145951674271
99,-459.6009417151623
100,-753.301488393325
101,-793.9281101489663
102,-523.5325758679178
103,-797.0026390823283
104,-542.4157555906888
105,-395.6166136004196
106,-653.2542489703595
107,-787.7298660931855
108,-843.9463866045418
109,-382.29853446766674
110,-640.4579062125824
111,-789.2921088298519
112,-820.3448540116996
113,-441.75638516313757
114,-747.6837390181378
115,-772.4694202620592
116,-329.960266521401
117,-755.5822083748695
118,-491.33255115480654
119,-880.0862870706242
120,-371.45603640673426
121,-740.4477625116242
122,-739.1611273479571
123,-509.0329345971834
124,-525.2977724747591
125,-621.6729280757522
126,-435.3145029867316
127,-397.748225999395
128,-747.5352173765607
129,-551.7994223352982
130,-783.723352967494
131,-429.7677092181803
132,-489.74745758336076
133,-457.34657059625096
134,-464.95244879605565
135,-557.3719034858605
136,-410.5635611715845
137,-562.7260742160298
138,-385.3175358657554
139,-615.4822267694083
140,-421.50219362686323
141,-814.6974387081908
142,-836.5899433127589
143,-451.4589044573423
144,-541.5037453205355
145,-672.3496129147921
146,-836.3328644967054
147,-399.2301919581323
148,-380.1252132114647
149,-724.3502675137958
150,-539.3202222943905
151,-836.390200049196
152,-871.4668339050739
153,-354.8291476696293
154,-481.40977690276713
155,-502.7119017789001
156,-403.8798420898188
157,-573.057476068408
158,-676.8258646659721
159,-528.742072926899
160,-492.84515863126813
161,-807.4656423481828
162,-432.42930713134007
163,-456.5681241679302
164,-1052.1870360257494
165,-475.11184641757666
166,-560.565319873737
167,-503.74547015879534
168,-991.552704125739
169,-345.05278043725684
170,-749.4428106628922
171,-518.8621894245177
172,-850.4172886170909
173,-386.1489683066001
174,-445.07955529030096
175,-553.5957512904308
176,-415.123308492269
177,-511.59582299556143
178,-785.6375685379046
179,-505.34941948287366
180,-630.052800946797
181,-489.3537900943008
182,-458.0147088094746
183,-557.3512558759967
184,-525.6319164255331
185,-421.6738240089395
186,-470.56813285739577
187,-389.48149153792417
188,-409.6069841716306
189,-768.8512790293036
190,-572.8707150416967
191,-512.8565717642521
192,-471.6263214414531
193,-520.9650506132632
194,-416.2572254494904
195,-479.2640132838477
196,-520.2224047302325
197,-820.4692770628545
198,-772.4589918178173
199,-864.7119418662917
200,-680.8008338420902
