episodes,rewards
0,26
1,14
2,9
3,10
4,11
5,11
6,7
7,9
8,9
9,10
10,7
11,7
12,9
13,9
14,8
15,9
16,9
17,11
18,9
19,9
20,8
21,8
22,8
23,9
24,9
25,9
26,9
27,8
28,8
29,8
30,9
31,9
32,8
33,8
34,9
35,9
36,9
37,9
38,9
39,8
40,8
41,8
42,7
43,9
44,8
45,9
46,9
47,8
48,9
49,10
50,7
51,8
52,8
53,8
54,10
55,8
56,8
57,9
58,7
59,8
60,9
61,8
62,9
63,8
64,7
65,8
66,8
67,9
68,7
69,7
70,8
71,9
72,8
73,9
74,8
75,7
76,8
77,9
78,7
79,8
80,9
81,9
82,9
83,7
84,8
85,8
86,8
87,9
88,8
89,9
90,8
91,9
92,9
93,8
94,8
95,8
96,7
97,8
98,9
99,9
100,8
101,8
102,9
103,9
104,8
105,7
106,8
107,9
108,10
109,7
110,7
111,9
112,9
113,8
114,8
115,9
116,9
117,8
118,9
119,10
120,8
121,9
122,8
123,8
124,9
125,9
126,9
127,7
128,8
129,10
130,8
131,7
132,9
133,8
134,8
135,9
136,7
137,9
138,9
139,9
140,8
141,9
142,8
143,7
144,8
145,9
146,7
147,8
148,9
149,7
150,9
151,10
152,8
153,9
154,7
155,8
156,9
157,9
158,9
159,7
160,9
161,7
162,10
163,8
164,8
165,8
166,9
167,8
168,7
169,9
170,9
171,7
172,8
173,8
174,9
175,8
176,9
177,8
178,8
179,9
180,10
181,7
182,9
183,7
184,9
185,8
186,7
187,8
188,8
189,9
190,8
191,9
192,8
193,9
194,9
195,9
196,8
197,8
198,7
199,8
200,8
201,7
202,8
203,9
204,8
205,8
206,8
207,8
208,8
209,9
210,7
211,9
212,8
213,9
214,8
215,8
216,8
217,8
218,8
219,8
220,8
221,9
222,9
223,10
224,9
225,8
226,8
227,8
228,8
229,9
230,9
231,8
232,9
233,7
234,8
235,7
236,9
237,8
238,9
239,10
240,9
241,7
242,8
243,8
244,8
245,8
246,9
247,7
248,9
249,8
250,8
251,7
252,9
253,8
254,8
255,9
256,9
257,7
258,9
259,8
260,8
261,8
262,8
263,8
264,7
265,8
266,7
267,9
268,9
269,7
270,8
271,8
272,8
273,8
274,8
275,8
276,8
277,9
278,8
279,9
280,9
281,9
282,7
283,8
284,9
285,9
286,8
287,8
288,11
289,9
290,9
291,8
292,8
293,9
294,8
295,8
296,8
297,9
298,8
299,9
