episodes,rewards
0,20.0
1,23.0
2,46.0
3,17.0
4,22.0
5,26.0
6,12.0
7,10.0
8,13.0
9,13.0
10,29.0
11,45.0
12,20.0
13,62.0
14,11.0
15,19.0
16,16.0
17,14.0
18,17.0
19,14.0
20,45.0
21,25.0
22,18.0
23,25.0
24,43.0
25,16.0
26,26.0
27,55.0
28,28.0
29,12.0
30,27.0
31,30.0
32,46.0
33,59.0
34,53.0
35,58.0
36,64.0
37,25.0
38,40.0
39,51.0
40,48.0
41,16.0
42,38.0
43,29.0
44,28.0
45,27.0
46,35.0
47,38.0
48,109.0
49,78.0
50,56.0
51,94.0
52,106.0
53,209.0
54,125.0
55,66.0
56,57.0
57,70.0
58,75.0
59,81.0
60,75.0
61,72.0
62,142.0
63,132.0
64,82.0
65,97.0
66,130.0
67,84.0
68,87.0
69,123.0
70,146.0
71,120.0
72,116.0
73,82.0
74,94.0
75,74.0
76,187.0
77,104.0
78,157.0
79,85.0
80,131.0
81,159.0
82,165.0
83,122.0
84,111.0
85,102.0
86,159.0
87,106.0
88,170.0
89,176.0
90,153.0
91,150.0
92,168.0
93,233.0
94,121.0
95,148.0
96,125.0
97,136.0
98,147.0
99,202.0
100,114.0
101,144.0
102,134.0
103,166.0
104,138.0
105,124.0
106,98.0
107,133.0
108,116.0
109,122.0
110,119.0
111,242.0
112,92.0
113,176.0
114,237.0
115,132.0
116,137.0
117,192.0
118,118.0
119,153.0
120,165.0
121,131.0
122,143.0
123,176.0
124,135.0
125,187.0
126,267.0
127,174.0
128,176.0
129,153.0
130,190.0
131,144.0
132,236.0
133,271.0
134,170.0
135,246.0
136,211.0
137,222.0
138,177.0
139,203.0
140,212.0
141,209.0
142,291.0
143,165.0
144,212.0
145,191.0
146,217.0
147,254.0
148,222.0
149,214.0
150,218.0
151,164.0
152,267.0
153,401.0
154,225.0
155,252.0
156,334.0
157,237.0
158,201.0
159,259.0
160,172.0
161,272.0
162,155.0
163,200.0
164,258.0
165,203.0
166,166.0
167,279.0
168,357.0
169,233.0
170,339.0
171,261.0
172,175.0
173,358.0
174,320.0
175,333.0
176,219.0
177,213.0
178,349.0
179,190.0
180,254.0
181,258.0
182,248.0
183,245.0
184,277.0
185,263.0
186,246.0
187,215.0
188,299.0
189,252.0
190,240.0
191,286.0
192,281.0
193,264.0
194,457.0
195,500.0
196,253.0
197,435.0
198,369.0
199,232.0
200,271.0
201,255.0
202,274.0
203,270.0
204,377.0
205,319.0
206,385.0
207,284.0
208,190.0
209,219.0
210,230.0
211,188.0
212,228.0
213,331.0
214,206.0
215,222.0
216,163.0
217,264.0
218,264.0
219,313.0
220,301.0
221,185.0
222,409.0
223,313.0
224,218.0
225,232.0
226,233.0
227,217.0
228,208.0
229,394.0
230,239.0
231,219.0
232,204.0
233,192.0
234,185.0
235,175.0
236,166.0
237,185.0
238,224.0
239,234.0
240,211.0
241,203.0
242,326.0
243,293.0
244,222.0
245,437.0
246,382.0
247,302.0
248,427.0
249,226.0
250,240.0
251,226.0
252,269.0
253,306.0
254,193.0
255,408.0
256,254.0
257,414.0
258,277.0
259,225.0
260,193.0
261,242.0
262,226.0
263,236.0
264,296.0
265,245.0
266,244.0
267,276.0
268,276.0
269,339.0
270,227.0
271,215.0
272,291.0
273,365.0
274,251.0
275,449.0
276,290.0
277,194.0
278,224.0
279,338.0
280,242.0
281,319.0
282,246.0
283,312.0
284,253.0
285,266.0
286,272.0
287,178.0
288,356.0
289,167.0
290,240.0
291,216.0
292,207.0
293,196.0
294,227.0
295,294.0
296,179.0
297,214.0
298,222.0
299,246.0
