episodes,rewards
0,14.0
1,18.0
2,15.0
3,16.0
4,32.0
5,37.0
6,10.0
7,13.0
8,100.0
9,78.0
10,62.0
11,69.0
12,153.0
13,69.0
14,243.0
15,61.0
16,176.0
17,246.0
18,185.0
19,260.0
20,276.0
21,180.0
22,226.0
23,295.0
24,206.0
25,103.0
26,251.0
27,177.0
28,275.0
29,281.0
30,360.0
31,362.0
32,13.0
33,281.0
34,257.0
35,368.0
36,144.0
37,277.0
38,167.0
39,205.0
40,319.0
41,216.0
42,496.0
43,187.0
44,500.0
45,423.0
46,186.0
47,201.0
48,220.0
49,251.0
50,167.0
51,212.0
52,130.0
53,175.0
54,166.0
55,299.0
56,207.0
57,119.0
58,49.0
59,53.0
60,19.0
61,23.0
62,26.0
63,247.0
64,263.0
65,75.0
66,200.0
67,111.0
68,239.0
69,202.0
70,101.0
71,213.0
72,55.0
73,273.0
74,143.0
75,375.0
76,445.0
77,121.0
78,39.0
79,240.0
80,321.0
81,336.0
82,84.0
83,275.0
84,354.0
85,309.0
86,20.0
87,147.0
88,175.0
89,452.0
90,214.0
91,79.0
92,11.0
93,51.0
94,89.0
95,34.0
96,29.0
97,362.0
98,411.0
99,387.0
100,232.0
101,258.0
102,342.0
103,158.0
104,269.0
105,199.0
106,206.0
107,353.0
108,272.0
109,210.0
110,214.0
111,403.0
112,500.0
113,500.0
114,235.0
115,500.0
116,355.0
117,339.0
118,209.0
119,181.0
120,239.0
121,141.0
122,11.0
123,11.0
124,49.0
125,147.0
126,150.0
127,223.0
128,228.0
129,287.0
130,159.0
131,134.0
132,428.0
133,500.0
134,344.0
135,205.0
136,90.0
137,132.0
138,169.0
139,150.0
140,41.0
141,161.0
142,129.0
143,140.0
144,114.0
145,174.0
146,100.0
147,188.0
148,168.0
149,205.0
150,257.0
151,308.0
152,160.0
153,236.0
154,147.0
155,212.0
156,449.0
157,377.0
158,55.0
159,175.0
160,187.0
161,200.0
162,367.0
163,200.0
164,44.0
165,71.0
166,189.0
167,150.0
168,162.0
169,306.0
170,273.0
171,126.0
172,268.0
173,448.0
174,141.0
175,149.0
176,138.0
177,340.0
178,136.0
179,315.0
180,207.0
181,206.0
182,205.0
183,462.0
184,500.0
185,66.0
186,17.0
187,186.0
188,170.0
189,127.0
190,132.0
191,177.0
192,145.0
193,11.0
194,390.0
195,443.0
196,33.0
197,28.0
198,235.0
199,171.0
200,458.0
201,396.0
202,226.0
203,118.0
204,221.0
205,165.0
206,335.0
207,366.0
208,476.0
209,172.0
210,496.0
211,179.0
212,135.0
213,408.0
214,500.0
215,224.0
216,500.0
217,118.0
218,73.0
219,366.0
220,131.0
221,73.0
222,32.0
223,280.0
224,292.0
225,296.0
226,224.0
227,340.0
228,334.0
229,33.0
230,285.0
231,209.0
232,357.0
233,53.0
234,114.0
235,177.0
236,34.0
237,136.0
238,35.0
239,186.0
240,170.0
241,201.0
242,287.0
243,137.0
244,123.0
245,178.0
246,294.0
247,113.0
248,170.0
249,108.0
250,233.0
251,151.0
252,172.0
253,114.0
254,137.0
255,35.0
256,130.0
257,196.0
258,83.0
259,30.0
260,12.0
261,220.0
262,107.0
263,318.0
264,339.0
265,267.0
266,259.0
267,390.0
268,402.0
269,70.0
270,211.0
271,500.0
272,286.0
273,221.0
274,385.0
275,250.0
276,106.0
277,133.0
278,142.0
279,245.0
280,218.0
281,277.0
282,30.0
283,356.0
284,285.0
285,152.0
286,302.0
287,396.0
288,175.0
289,286.0
290,292.0
291,165.0
292,52.0
293,210.0
294,239.0
295,198.0
296,227.0
297,66.0
298,169.0
299,225.0
