episodes,rewards
0,16.0
1,15.0
2,15.0
3,16.0
4,21.0
5,19.0
6,10.0
7,20.0
8,21.0
9,33.0
10,36.0
11,11.0
12,46.0
13,13.0
14,14.0
15,14.0
16,13.0
17,16.0
18,11.0
19,15.0
20,24.0
21,17.0
22,10.0
23,15.0
24,42.0
25,24.0
26,17.0
27,9.0
28,33.0
29,19.0
30,44.0
31,22.0
32,11.0
33,18.0
34,13.0
35,12.0
36,17.0
37,11.0
38,28.0
39,13.0
40,31.0
41,15.0
42,16.0
43,12.0
44,18.0
45,12.0
46,12.0
47,21.0
48,11.0
49,20.0
50,15.0
51,16.0
52,15.0
53,18.0
54,12.0
55,8.0
56,9.0
57,10.0
58,11.0
59,11.0
60,13.0
61,30.0
62,11.0
63,9.0
64,26.0
65,10.0
66,16.0
67,11.0
68,13.0
69,11.0
70,18.0
71,22.0
72,21.0
73,12.0
74,11.0
75,18.0
76,53.0
77,11.0
78,18.0
79,20.0
80,10.0
81,17.0
82,9.0
83,22.0
84,16.0
85,12.0
86,19.0
87,13.0
88,11.0
89,17.0
90,11.0
91,14.0
92,20.0
93,17.0
94,11.0
95,13.0
96,19.0
97,25.0
98,19.0
99,22.0
100,17.0
101,20.0
102,19.0
103,20.0
104,21.0
105,15.0
106,14.0
107,27.0
108,14.0
109,15.0
110,12.0
111,94.0
112,31.0
113,136.0
114,24.0
115,38.0
116,19.0
117,153.0
118,62.0
119,71.0
120,23.0
121,113.0
122,115.0
123,102.0
124,77.0
125,84.0
126,33.0
127,69.0
128,55.0
129,145.0
130,74.0
131,22.0
132,73.0
133,32.0
134,52.0
135,56.0
136,63.0
137,24.0
138,97.0
139,24.0
140,27.0
141,38.0
142,39.0
143,42.0
144,43.0
145,21.0
146,18.0
147,24.0
148,30.0
149,22.0
150,34.0
151,40.0
152,36.0
153,42.0
154,31.0
155,42.0
156,60.0
157,126.0
158,49.0
159,38.0
160,42.0
161,87.0
162,74.0
163,153.0
164,41.0
165,104.0
166,44.0
167,89.0
168,13.0
169,98.0
170,226.0
171,43.0
172,49.0
173,30.0
174,32.0
175,25.0
176,62.0
177,29.0
178,41.0
179,56.0
180,26.0
181,99.0
182,80.0
183,20.0
184,74.0
185,58.0
186,67.0
187,48.0
188,64.0
189,122.0
190,64.0
191,68.0
192,64.0
193,41.0
194,47.0
195,61.0
196,72.0
197,81.0
198,65.0
199,60.0
200,73.0
201,245.0
202,115.0
203,102.0
204,192.0
205,469.0
206,145.0
207,500.0
208,103.0
209,76.0
210,120.0
211,104.0
212,109.0
213,48.0
214,163.0
215,213.0
216,297.0
217,239.0
218,158.0
219,129.0
220,272.0
221,275.0
222,136.0
223,252.0
224,98.0
225,292.0
226,236.0
227,125.0
228,447.0
229,260.0
230,122.0
231,251.0
232,212.0
233,227.0
234,436.0
235,328.0
236,357.0
237,313.0
238,102.0
239,372.0
240,395.0
241,294.0
242,453.0
243,192.0
244,332.0
245,473.0
246,224.0
247,235.0
248,263.0
249,308.0
250,181.0
251,264.0
252,339.0
253,168.0
254,233.0
255,243.0
256,336.0
257,236.0
258,245.0
259,468.0
260,288.0
261,334.0
262,177.0
263,301.0
264,128.0
265,124.0
266,253.0
267,274.0
268,283.0
269,185.0
270,298.0
271,500.0
272,352.0
273,357.0
274,330.0
275,161.0
276,308.0
277,93.0
278,386.0
279,257.0
280,271.0
281,500.0
282,280.0
283,271.0
284,311.0
285,383.0
286,356.0
287,255.0
288,500.0
289,357.0
290,282.0
291,500.0
292,397.0
293,241.0
294,265.0
295,458.0
296,218.0
297,328.0
298,500.0
299,355.0
