episodes,rewards
0,-18.50548339104023
1,-96.02163870994312
2,-111.12990403196083
3,-418.2097919017725
4,-121.16393427255666
5,-152.40863526960624
6,-145.96529919774582
7,21.296371981104983
8,-161.26297992883136
9,-320.7803863958794
10,-189.44905255892164
11,-210.600714778854
12,-388.78436817194427
13,-105.53547803162337
14,-51.96722385847906
15,-40.70260869787644
16,-192.50518133089312
17,-126.49968003483849
18,-94.54352090887743
19,-140.39905956764767
20,-127.37741877239745
21,-148.41087873463647
22,-371.1247313928287
23,-120.21465380673588
24,-83.09068374821189
25,-425.9078050709876
26,-105.0069315487998
27,-110.98057041986745
28,-129.7768635937784
29,-60.181029622816034
30,-108.97208043661416
31,-95.61369627137134
32,-95.9276421062545
33,-123.69973255596699
34,-103.77341991003162
35,-195.7814172935579
36,-81.58772053594136
37,-262.20720292080756
38,-106.11262113683695
39,-229.06029521443946
40,-343.6984523828718
41,-85.62006386615252
42,-71.36347045221386
43,-129.47952375373765
44,-254.21227332544512
45,-181.09415396801887
46,-229.75706699105965
47,-45.45359391185974
48,-221.1532291931838
49,-185.246735209956
50,-248.85240308399312
51,-100.31469290572107
52,-82.68251121914955
53,-151.0362978631353
54,-158.21474616013916
55,-89.09057645204311
56,-72.7756609783452
57,-159.35429280672932
58,23.06502746822831
59,-271.5387018881087
60,-103.83606699201978
61,-178.881332723217
62,-91.80115218887161
63,-90.82579127704935
64,-68.30973268367451
65,-226.4187281891712
66,-12.369727154907977
67,-144.6887912895454
68,-304.50256049246866
69,-278.556862031229
70,-242.61478742681498
71,-186.0201243049721
72,-120.63669272766344
73,-23.86439434302821
74,-66.00581488790422
75,-72.58957960087535
76,-254.44557274352042
77,-112.02681194902671
78,-97.33074198721532
79,-79.86160808704585
80,-188.98255857492526
81,-105.12427994815366
82,-2.3348779407164386
83,-143.3014816217708
84,-103.53740253717542
85,-102.01618511371859
86,-71.87559962673467
87,-69.23588351782712
88,-86.53881344456845
89,-60.23257817256892
90,-111.81210679784364
91,-86.65538552054647
92,-274.6103744593377
93,-301.2139559943233
94,-108.27792686671248
95,-233.59909008202604
96,-263.7769497535829
97,-166.72725121924802
98,-162.85756400717008
99,-46.973650366799674
100,-34.231536651929886
101,-189.2910199738969
102,-67.85991179479448
103,-170.14451074408151
104,-91.67852615497101
105,-85.67532994178165
106,-105.90252341940206
107,-189.6597588639661
108,-120.22735724352884
109,-132.38765440754986
110,-146.89322142189528
111,-361.95712351909697
112,-264.1431735190904
113,-140.0739800788361
114,-149.83075898870894
115,-120.27941912903142
116,-42.936165247145134
117,-264.0280283237392
118,-29.13826767627745
119,111.9578821637684
120,-66.74065132030623
121,-216.3304887174188
122,-176.29394340259722
123,-108.6974463703006
124,-189.3193444349368
125,-134.18444643189855
126,-150.72276048531614
127,-148.30336656033455
128,-103.72314077328764
129,-120.99339329616252
130,-154.38524277993628
131,-45.19345938509521
132,-102.648363986478
133,-77.05468939923118
134,-102.1640949888522
135,-118.14224700163092
136,-113.70227653703064
137,-58.53002611096231
138,-100.04421897015176
139,-68.64799852004019
140,-65.644793468969
141,-77.13995140945778
142,-20.408415173739925
143,-89.03183589510157
144,-55.025823677462306
145,-131.43189156834717
146,-104.19701569635106
147,-56.47861936000532
