episodes,rewards
0,-256.9017702833931
1,-182.85641556957006
2,-413.26059185874027
3,-246.73687750957419
4,-216.40514737579485
5,-244.84965614056367
6,-29.314653788330546
7,-76.88201865900777
8,-227.57215919884698
9,-105.12055769138094
10,-143.1355303757372
11,-68.9030560365876
12,-257.8714072907781
13,-174.74629626636647
14,-225.8060670854755
15,-37.875078624070454
16,-97.4127676450706
17,-113.35616065308118
18,-249.6226529605022
19,-181.8450600256301
20,-111.4395003544104
21,-189.07224140833915
22,8.349541770360645
23,-233.10924257558617
24,-390.5815119829203
25,-301.02413988315743
26,-738.023305656129
27,-218.92733594190656
28,-258.9467876875077
29,-190.10529491956385
30,-238.9941963534971
31,-100.84002814261663
32,-457.72773723731945
33,-373.93657065706134
34,-248.55474740117057
35,-486.44718615119734
36,-512.6762237335518
37,-496.7489957721267
38,-596.8383087520858
39,-601.0797713186091
40,-569.2875481954366
41,-670.1970364340158
42,-581.4219013941486
43,-724.8417476538883
44,-616.3404380597851
45,-572.1592493537669
46,-947.397051851854
47,-689.9458408622922
48,-787.4989976497798
49,-534.9003478576199
50,-200.82388567486618
51,-101.65017625586933
52,-116.40131088995962
53,-345.4734234400158
54,-169.89409061608282
55,-220.1676676766008
56,-160.63448533748428
57,-203.53065613464867
58,-92.75925608378202
59,-89.45895314967525
60,-239.16807102897957
61,-36.96131164278461
62,-307.5670504735555
63,-272.01976651082555
64,-31.042096571519394
65,-49.79649037415514
66,-15.897286402898288
67,-193.51439639887042
68,9.993146644141802
69,-101.97956792896196
70,-231.26930575497238
71,147.5145367386909
72,-211.30212932647356
73,-20.361367597493356
74,-159.07448770230815
75,12.219879751055203
76,-207.50786094673106
77,-20.12694640837981
78,-89.46433371035941
79,-308.4715953087433
80,-5.230831947972007
81,-13.885240752693022
82,-154.92206882595002
83,-220.9851008837981
84,-70.75455845298706
85,-23.355478311109366
86,-9.643067946513895
87,-153.8611505240041
88,-213.24519018538118
89,-79.11489775817063
90,-389.45165548238197
91,-3.813160947420741
92,-0.15538184026340218
93,-2.773113303450728
94,-58.50139181833947
95,-57.95048534333915
96,-44.97528828506712
97,9.618035348848892
98,-243.3843636535161
99,9.736257121528809
100,-15.616823465647599
