episodes,rewards
0,11
1,15
2,77
3,17
4,12
5,23
6,22
7,28
8,21
9,9
10,25
11,31
12,26
13,18
14,23
15,15
16,17
17,36
18,18
19,14
20,11
21,36
22,32
23,19
24,28
25,21
26,57
27,11
28,37
29,36
30,11
31,15
32,13
33,19
34,34
35,37
36,21
37,16
38,43
39,52
40,21
41,20
42,15
43,21
44,57
45,13
46,87
47,18
48,14
49,20
50,17
51,26
52,57
53,27
54,22
55,23
56,21
57,51
58,30
59,13
60,32
61,14
62,21
63,33
64,13
65,66
66,29
67,38
68,15
69,59
70,18
71,15
72,25
73,19
74,15
75,19
76,26
77,47
78,23
79,17
80,65
81,14
82,45
83,16
84,22
85,26
86,24
87,74
88,13
89,91
90,13
91,21
92,47
93,76
94,45
95,175
96,34
97,33
98,23
99,27
100,19
101,66
102,85
103,29
104,56
105,30
106,14
107,30
108,49
109,29
110,21
111,58
112,28
113,60
114,58
115,34
116,36
117,52
118,31
119,22
120,18
121,33
122,44
123,106
124,45
125,37
126,45
127,72
128,38
129,57
130,40
131,67
132,64
133,22
134,65
135,27
136,40
137,45
138,56
139,26
140,56
141,21
142,16
143,35
144,20
145,106
146,48
147,30
148,31
149,30
150,18
151,33
152,49
153,82
154,119
155,106
156,103
157,110
158,37
159,80
160,31
161,58
162,85
163,35
164,47
165,17
166,27
167,12
168,32
169,62
170,94
171,69
172,44
173,192
174,62
175,31
176,54
177,120
178,41
179,28
180,95
181,28
182,20
183,39
184,68
185,88
186,35
187,15
188,133
189,54
190,41
191,40
192,53
193,117
194,32
195,32
196,87
197,42
198,15
199,50
200,58
201,19
202,76
203,36
204,33
205,45
206,24
207,103
208,113
209,56
210,170
211,42
212,56
213,40
214,50
215,91
216,74
217,21
218,71
219,82
220,157
221,112
222,72
223,70
224,61
225,132
226,48
227,56
228,246
229,172
230,163
231,83
232,35
233,56
234,33
235,143
236,147
237,196
238,111
239,44
240,141
241,88
242,94
243,95
244,148
245,59
246,179
247,99
248,53
249,149
250,93
251,27
252,390
253,198
254,107
255,190
256,171
257,26
258,84
259,119
260,121
261,139
262,114
263,159
264,177
265,76
266,173
267,63
268,132
269,91
270,49
271,223
272,384
273,280
274,65
275,40
276,82
277,121
278,111
279,94
280,61
281,137
282,75
283,142
284,160
285,162
286,111
287,136
288,30
289,45
290,55
291,145
292,164
293,45
294,352
295,201
296,124
297,97
298,159
299,185
