episodes,rewards
0,12.0
1,30.0
2,27.0
3,10.0
4,10.0
5,20.0
6,15.0
7,21.0
8,27.0
9,17.0
10,20.0
11,12.0
12,23.0
13,22.0
14,17.0
15,20.0
16,19.0
17,52.0
18,14.0
19,19.0
20,9.0
21,20.0
22,30.0
23,11.0
24,20.0
25,18.0
26,37.0
27,18.0
28,26.0
29,17.0
30,34.0
31,35.0
32,22.0
33,40.0
34,11.0
35,64.0
36,52.0
37,17.0
38,64.0
39,10.0
40,13.0
41,61.0
42,27.0
43,133.0
44,12.0
45,38.0
46,95.0
47,96.0
48,92.0
49,89.0
50,27.0
51,185.0
52,65.0
53,127.0
54,141.0
55,198.0
56,194.0
57,198.0
58,209.0
59,151.0
60,212.0
61,203.0
62,206.0
63,185.0
64,274.0
65,245.0
66,217.0
67,192.0
68,193.0
69,206.0
70,237.0
71,201.0
72,333.0
73,181.0
74,201.0
75,219.0
76,211.0
77,261.0
78,254.0
79,196.0
80,235.0
81,282.0
82,256.0
83,233.0
84,181.0
85,313.0
86,266.0
87,232.0
88,321.0
89,345.0
90,253.0
91,191.0
92,418.0
93,218.0
94,325.0
95,219.0
96,231.0
97,172.0
98,256.0
99,272.0
100,217.0
101,496.0
102,500.0
103,236.0
104,225.0
105,429.0
106,392.0
107,461.0
108,331.0
109,346.0
110,407.0
111,334.0
112,362.0
113,404.0
114,332.0
115,285.0
116,272.0
117,324.0
118,301.0
119,248.0
120,378.0
121,320.0
122,249.0
123,251.0
124,236.0
125,265.0
126,243.0
127,233.0
128,246.0
129,293.0
130,257.0
131,292.0
132,339.0
133,289.0
134,285.0
135,317.0
136,264.0
137,327.0
138,326.0
139,214.0
140,177.0
141,170.0
142,169.0
143,182.0
144,192.0
145,178.0
146,157.0
147,173.0
148,184.0
149,146.0
150,187.0
151,156.0
152,160.0
153,151.0
154,139.0
155,151.0
156,149.0
157,140.0
158,150.0
159,143.0
160,151.0
161,155.0
162,154.0
163,160.0
164,168.0
165,178.0
166,187.0
167,170.0
168,208.0
169,192.0
170,201.0
171,253.0
172,242.0
173,212.0
174,298.0
175,263.0
176,300.0
177,233.0
178,268.0
179,326.0
180,253.0
181,251.0
182,360.0
183,250.0
184,215.0
185,244.0
186,250.0
187,233.0
188,218.0
189,214.0
190,200.0
191,218.0
192,197.0
193,208.0
194,227.0
195,216.0
196,208.0
197,209.0
198,241.0
199,212.0
