episodes,rewards
0,-189.75540874095967
1,-402.592628381256
2,-376.71135945959765
3,-1098.9290627695882
4,-979.5391861377294
5,-1397.6899393574513
6,-631.0632496870824
7,-523.1938758101438
8,-506.639108712493
9,-548.2943077496635
10,-254.50867382988176
11,-36.984378485380205
12,-14.383410422707911
13,-283.9047918449527
14,-393.3402662900535
15,-355.0912376736416
16,-379.6570613181318
17,-401.508839598604
18,-287.1858892184647
19,-358.0996761434366
20,-146.48298996413428
21,-280.3437978911427
22,-390.543867835464
23,-279.82579264484775
24,-244.25910014944154
25,-254.6176529591221
26,-275.2158852093281
27,-280.388058932096
28,-307.2785190451971
29,-288.52694940877547
30,-306.7753551008177
31,-306.02666490199886
32,-365.4010612338517
33,-384.5318037986138
34,-228.35363817004682
35,-147.86272987235577
36,-487.56006986575295
37,-236.558835885042
38,-214.62591580025816
39,-493.0334953812462
40,-284.6353150325357
41,-306.21934649296793
42,-279.5208202213928
43,-212.15485925378883
44,-322.9146030219359
45,-179.20482573130977
46,-151.22268266406715
47,-137.80209828163441
48,-227.17945699030565
49,-185.5995474243831
50,-379.79637832787296
51,-90.83890097236892
52,-58.77670165518386
53,-361.0739534702517
54,-202.72430610546243
55,-228.16483295652694
56,-380.1972807358894
57,-181.3100505977454
58,-354.041559848055
59,-456.4750098085712
60,-145.91076651075844
61,-318.4855856071831
62,-340.1859396363646
63,-471.7038057086757
64,-767.9049023966098
65,-274.6592423387068
66,-370.8678398766003
67,-226.401714845968
68,-222.55643566594904
69,-184.57112577814854
70,-63.41327830556504
71,-176.34957090660285
72,-193.60994244679807
73,-167.18141117904844
74,-288.92824823097556
75,-132.76343396721495
76,-224.3565385379154
77,-63.070158095716266
78,-162.5163466087505
79,-290.0668210046678
80,-123.49344635451291
81,-426.0354246663034
82,-252.6704900002536
83,-421.0474577959745
84,-305.9244890760407
85,-351.7614621243039
86,-372.5163756113063
87,-366.84061615320746
88,-285.5207514441252
89,-301.0751727949985
90,-287.06427446168783
91,-394.42477022377705
92,-301.04411534477345
93,-326.1994809342633
94,-262.3062931976559
95,-174.37362098313105
96,-345.62916068860943
97,-323.04967879369667
98,-289.52375388238164
99,-315.37213288058905
100,-250.97627273077282
101,-281.02005492433125
102,-257.5695501907399
103,-207.016095201253
104,-191.10371056878085
105,-313.71585995722216
106,-234.2559434858631
107,-281.26905639292715
108,-276.03899154802235
109,-281.93133107975643
110,-284.7807281908895
111,-318.5121553785666
112,-292.30451210787396
113,-254.98082090105441
114,-373.24596120665433
115,-276.23278184254866
116,-353.23388331412036
117,-230.12083464756014
118,-174.0787515988486
119,-288.91012685697444
120,-524.742494113394
121,-301.1014943917024
122,-286.7007820115109
123,-213.72896484231177
124,-457.8850346672085
125,-286.14384411559683
126,-181.03263184147852
127,-356.5304883058033
128,-258.70778334264617
129,-230.12379539330405
130,-261.881911567785
131,-269.98229815175546
132,-233.56653766190618
133,-155.89869495336143
134,-255.1663380176517
135,-258.10346279311455
136,-191.1970308835522
137,-262.46503985519723
138,-483.7134218521689
139,-233.16609350856015
140,-109.3965917283233
141,-187.4384155227424
142,-484.4614230811024
143,-212.90583328304098
144,-66.32820285890165
145,-225.20365630578937
146,-192.13849753725333
147,-175.593724603101
148,-61.98074568148047
149,-109.71280261882704
150,26.56062020435148
151,-227.21212262571376
152,-138.6005611229632
153,-305.00138662980345
154,-235.24061613751275
155,63.52321455511172
156,-120.74614419260247
157,-273.34933596180576
158,-248.82772408785786
159,-370.5138599744118
160,-135.92776590026543
161,-302.34708667241114
162,-262.6506645849711
163,-142.44578437816074
164,-47.698595670274614
165,187.69931117698997
166,-315.2531726009562
167,20.392079771219713
168,-297.35933395473097
169,-289.49668296434044
170,50.71635901392854
171,-198.74774068868646
172,-58.607362639946075
173,-103.66944508739458
174,-213.97314080387292
175,-312.6806928846071
176,-318.01292723474063
177,-77.87928826111448
178,-264.7184568042829
179,-168.1389382660351
180,-289.61213412029656
181,-258.21047699925555
182,-158.99078706912601
183,-325.9572110038914
184,-287.06460164364546
185,-260.0467180678254
186,-252.76800534213902
187,-395.9053817876918
188,-262.12845694090754
189,-286.9453611006695
190,-155.5583434809629
191,-328.1360466253259
192,-94.52273083715806
193,-262.11047468950966
194,-289.7335495996197
195,-175.97191916816456
196,-152.61485207687133
197,-238.98720174880356
198,-314.42555527463446
199,-328.00806499049474
200,-279.17855885817823
201,-178.77601836716312
202,-257.9916982475782
203,-290.41446543521266
204,-284.3243085155415
205,-162.59828866342764
206,-448.86862961360066
207,-195.68107138113305
208,-193.27450100717664
209,-274.6710509712234
210,-196.08231660307763
211,-204.05354002120765
212,-365.53501187979384
213,-276.9854460572294
214,-192.7827615051217
215,-164.12696259657392
216,-230.21143950837637
217,-404.0910440850278
218,-354.44152673612734
219,-170.20925453083493
220,-175.36896826822525
221,-364.10135820608826
222,-212.66239335325417
223,-233.69745941195805
224,-126.26111316951733
