episodes,rewards
0,-441.3810970984374
1,-87.14567419814588
2,-152.85222961522976
3,-108.1711492306914
4,-213.53107271831286
5,-258.9645751355686
6,-40.03227548073631
7,-283.85253350495316
8,-101.2517702538615
9,-138.46219799982637
10,-77.03709917240666
11,-156.00731331565743
12,-112.61673236570704
13,-301.660885309878
14,-101.20784779340033
15,-199.5546933958905
16,-195.60994241190866
17,-463.9411545937706
18,-87.37001946927798
19,-243.92856416794734
20,-215.9337615305163
21,-142.44908557656333
22,-161.6748640499221
23,-298.8159956722434
24,-66.4376957030548
25,-62.10084418092189
26,-90.29957789662346
27,-56.00111088078125
28,-117.27600305607658
29,-363.10379834706515
30,-105.61578429752828
31,-360.2679589853285
32,-285.2157214102382
33,-270.1721279927576
34,-347.98331630024586
35,-325.9312240046952
36,-227.51628314304648
37,-198.92002411443858
38,-212.47814150336322
39,-421.7361510288649
40,-194.9894110795601
41,-161.43859002849146
42,-22.430588565095547
43,-259.1237706800514
44,-281.0822817484061
45,-100.18734793745446
46,-195.98961120056566
47,-53.98295097365255
48,-260.5155393840781
49,-159.16049345522214
50,-441.71884132294446
51,-447.1050921113981
52,-58.45853500156673
53,-315.802201030358
54,-335.36537488872295
55,-439.6862824911978
56,-220.02160537282356
57,-428.36631554748334
58,-229.82964415225223
59,-268.07008449776276
60,-404.2728655655338
61,-93.3457669903676
62,-482.4870919023475
63,-187.70003972496616
64,-208.936568640609
65,-214.12774504568415
66,-283.3520951403085
67,-273.9930439389424
68,-340.42061396624524
69,-574.7174550050738
70,-48.640073758308674
71,-173.42862604507314
72,-332.94988557250315
73,-215.87614327990713
74,-223.7088368421407
75,-105.87326783152253
76,-221.34495716478432
77,-45.52963914257042
78,-210.12522607221314
79,-294.90317303084214
80,-48.33793004711899
81,-477.94235277569766
82,-224.2173759885158
83,-272.6482697007364
84,-460.4506817874929
85,-48.05272308455734
86,-280.7127685335821
87,-99.28123063958411
88,-62.21831591858255
89,-275.14425223712624
90,-295.5460378634806
91,-153.76769185695377
92,-262.75956956505075
93,-322.4344932495271
94,-230.161844758503
95,-363.51706806421953
96,-32.75084591213293
97,-167.60209398596186
98,-218.42347667501102
99,-256.1038040419056
100,-209.22294638157808
101,-348.4017080886088
102,-318.29945537852757
103,-130.72317203101832
104,-104.73393905094727
105,-190.9277859930377
106,-96.73480350671662
107,-100.03704627063203
108,-46.589855391684964
109,-284.2039157098227
110,-167.85224817266584
111,-165.0491313424023
112,-344.81184587286305
113,-373.8939935394106
114,-269.51239212601536
115,-516.1877242415183
116,-456.1872588931803
117,-585.7295036960973
118,-226.48435475842422
119,-409.41335299920587
120,-425.9966730494517
121,-504.79392888228676
122,-108.81226811963724
123,-214.65529800132265
124,-50.50245367869158
125,-364.26127682129635
126,-202.83292045053742
127,-581.2352847625616
128,-152.18876799516488
129,-511.0765771882826
130,-219.3118084909866
131,-380.54028791610546
132,-28.43358059341662
133,-338.7072218024132
134,-46.32995691887869
135,-188.19878903937888
136,-346.26118186662586
137,-250.56083505456823
138,-358.0113879767852
139,-195.36007666033325
140,-238.09461913151227
141,-185.8871083797611
142,-154.63481451170813
143,-113.25609519542522
144,-427.9348002180523
145,-158.4192261462508
146,-130.0073334856632
147,-126.29821263509511
148,-255.6833042701299
149,-259.88420185047255
150,-331.95326296936787
151,-129.45314712990478
152,-75.45297837402956
153,-564.8397004555177
154,-283.4966749360906
155,-176.83930341701682
156,-124.83215845928494
157,-352.23750444565667
158,-203.1700604700033
159,-18.990401263297983
160,0.9722159726943573
161,-146.15507540636483
162,-119.78920787358821
163,-162.01226328500718
164,-384.9633045819289
165,-159.7665528990538
166,-388.8389260574817
167,-350.55884067366924
168,-296.20709661820166
169,-113.62641307241383
170,-388.3328960206732
171,-305.7004949353585
172,-251.99654356634395
173,-364.84110849276686
174,-118.7541447413335
175,-325.52979525992697
176,-379.72004371438436
177,-287.7625022266318
178,-415.26402804170164
179,-135.00056379183764
180,-311.42171702602434
181,-260.95580005690977
182,-178.88486606742885
183,-807.6669542977326
184,-317.71359231008523
185,-143.80106499369361
186,-425.6599301861352
187,-429.50071627718717
188,-217.28481868874226
189,-184.98258404145136
190,-431.3796519808864
191,-131.00702423823705
192,-295.6002668790232
193,-212.18475866597544
194,-345.68186769688486
195,-247.06866324632074
196,-390.51645486176574
197,-348.49471443879315
198,-334.8858350200718
199,-116.6981154344948
200,-171.92042301905175
201,-202.79408451317812
202,-122.65270896380213
203,-192.16501922206538
204,-252.17444027113794
205,-148.05345908922027
206,-223.20985199077876
207,-395.008808883928
208,-85.04728012394096
209,-333.5246975532697
210,-258.64293136220687
211,-273.9394506246415
212,-292.190272521536
213,-327.16009935174634
214,-154.9656764599344
215,-269.60914077554776
216,-166.45853567042428
217,-251.26074019138164
218,-133.31091005168489
219,-211.63345466655267
220,-245.8659200161332
221,-343.66819534452713
222,-85.92121791106398
223,-154.26690104720785
224,-256.50082075620764
225,-142.4154902589683
226,-151.70983922104585
227,-254.1787010802383
228,-188.39182564929922
229,-59.207703076671365
230,-285.1777099055084
231,-135.5664744823288
232,-295.5595622625779
233,-97.29180564761525
234,-283.49648106346535
235,-94.62770901232727
236,-188.2780471704257
237,-115.5620782497675
238,-222.60647269387886
239,-82.10767793859145
240,-183.41975672073374
241,-222.06512960928885
242,-299.492510074377
243,-53.9361705024419
244,-226.075947799848
245,-192.0717633135817
246,-154.23803083438753
247,-149.69468469768233
248,-128.1031656195122
249,-377.0678229689126
250,-100.00638495090536
251,-230.9212204450019
252,2.9039634134692136
253,-238.6968123973814
254,-233.69456707601566
255,-73.02312338808873
256,-131.636672509652
257,-205.57974116850863
258,-160.27871863505047
259,-242.97453426426702
260,-122.09532881031036
261,-262.7441481583571
262,-285.64965956271436
263,-103.83552373661854
264,-357.81768261819616
265,-247.229877764432
266,-338.2049099504234
267,-145.96605880983114
268,-247.4542070009631
269,-178.6657276766199
270,-246.82333969281535
271,-109.63818682042981
272,-145.40506352649209
273,-405.6821614104735
274,-338.1953490277607
275,-280.6577420415864
276,-407.6352318963445
277,-209.28881415484827
278,-144.57490304402072
279,-323.079437987202
280,-109.05262767187602
281,-395.7262239952671
282,-112.24909148908279
283,-109.52028674075856
284,-133.18694376051832
285,-110.90183655918737
286,-80.98093329943896
287,-297.9285657500503
288,-355.72729650962935
289,-176.603546846806
290,-159.22998869215337
291,-269.9904174223884
292,-63.24056644199799
293,-284.9554635976932
294,-234.33353674214496
295,-285.44636720559424
296,-205.97117269912266
297,-287.5976379764312
298,-151.4333836585895
299,-124.19549007337025
