episodes,rewards
0,26.0
1,27.0
2,19.0
3,31.0
4,40.0
5,16.0
6,20.0
7,19.0
8,16.0
9,13.0
10,80.0
11,13.0
12,10.0
13,17.0
14,67.0
15,76.0
16,118.0
17,23.0
18,29.0
19,23.0
20,105.0
21,83.0
22,21.0
23,76.0
24,126.0
25,78.0
26,165.0
27,181.0
28,168.0
29,237.0
30,214.0
31,174.0
32,195.0
33,196.0
34,216.0
35,190.0
36,190.0
37,210.0
38,213.0
39,187.0
40,204.0
41,348.0
42,199.0
43,378.0
44,304.0
45,279.0
46,282.0
47,329.0
48,245.0
49,218.0
50,181.0
51,231.0
52,202.0
53,251.0
54,244.0
55,199.0
56,194.0
57,208.0
58,219.0
59,298.0
60,308.0
61,348.0
62,485.0
63,248.0
64,310.0
65,223.0
66,233.0
67,227.0
68,295.0
69,234.0
70,247.0
71,341.0
72,212.0
73,458.0
74,350.0
75,308.0
76,273.0
77,293.0
78,264.0
79,338.0
80,261.0
81,318.0
82,303.0
83,247.0
84,500.0
85,287.0
86,375.0
87,226.0
88,455.0
89,308.0
90,471.0
91,319.0
92,210.0
93,243.0
94,483.0
95,267.0
96,217.0
97,238.0
98,223.0
99,295.0
100,261.0
101,298.0
102,234.0
103,321.0
104,269.0
105,283.0
106,401.0
107,313.0
108,227.0
109,209.0
110,240.0
111,228.0
112,263.0
113,214.0
114,347.0
115,270.0
116,237.0
117,169.0
118,268.0
119,187.0
120,260.0
121,165.0
122,194.0
123,211.0
124,266.0
125,500.0
126,214.0
127,369.0
128,253.0
129,275.0
130,213.0
131,300.0
132,181.0
133,308.0
134,235.0
135,283.0
136,216.0
137,183.0
138,167.0
139,102.0
140,104.0
141,114.0
142,15.0
143,15.0
144,145.0
145,155.0
146,246.0
147,172.0
148,173.0
149,210.0
150,242.0
151,159.0
152,165.0
153,181.0
154,198.0
155,207.0
156,238.0
157,261.0
158,364.0
159,260.0
160,191.0
161,242.0
162,378.0
163,205.0
164,175.0
165,246.0
166,213.0
167,213.0
168,214.0
169,213.0
170,362.0
171,250.0
172,224.0
173,239.0
174,240.0
175,198.0
176,206.0
177,190.0
178,237.0
179,222.0
180,175.0
181,169.0
182,184.0
183,217.0
184,182.0
185,207.0
186,206.0
187,187.0
188,181.0
189,188.0
190,167.0
191,210.0
192,227.0
193,199.0
194,301.0
195,217.0
196,282.0
197,206.0
198,211.0
199,199.0
200,44.0
201,121.0
202,147.0
203,475.0
204,168.0
205,214.0
206,182.0
207,147.0
208,169.0
209,173.0
210,176.0
211,180.0
212,173.0
213,227.0
214,202.0
215,194.0
216,171.0
217,205.0
218,268.0
219,246.0
220,216.0
221,214.0
222,229.0
223,211.0
224,245.0
225,365.0
226,367.0
227,323.0
228,500.0
229,296.0
230,209.0
231,403.0
232,210.0
233,195.0
234,181.0
235,225.0
236,212.0
237,185.0
238,262.0
239,199.0
240,200.0
241,206.0
242,179.0
243,205.0
244,224.0
245,208.0
246,198.0
247,193.0
248,330.0
249,268.0
250,295.0
251,241.0
252,234.0
253,204.0
254,227.0
255,155.0
256,178.0
257,165.0
258,146.0
259,224.0
260,181.0
261,218.0
262,197.0
263,233.0
264,170.0
265,177.0
266,183.0
267,225.0
268,162.0
269,199.0
270,168.0
271,161.0
272,202.0
273,245.0
274,250.0
275,247.0
276,179.0
277,171.0
278,216.0
279,283.0
280,246.0
281,250.0
282,358.0
283,336.0
284,500.0
285,500.0
286,434.0
287,377.0
288,278.0
289,298.0
290,224.0
291,293.0
292,288.0
293,191.0
294,229.0
295,209.0
296,199.0
297,270.0
298,169.0
299,113.0
