episodes,rewards
0,-220.5012995598446
1,-51.56867016670221
2,-103.07970520122278
3,67.54627219322919
4,-132.04688766100318
5,-110.73349855119895
6,22.69215495403654
7,-392.9467806902113
8,-98.83798763346987
9,-93.2015633879382
10,-139.3274474282643
11,-100.63795868726714
12,-221.30915470396468
13,-84.00694354092522
14,-349.5157634995244
15,-353.22813475823585
16,-236.466946523494
17,-399.9083448954373
18,-252.9219155912909
19,-277.1982063045416
20,-337.6884257177022
21,11.042240190893438
22,-122.93927962507766
23,-169.81924640522118
24,-78.62825414391602
25,-138.9724603523769
26,-51.279512028144694
27,-121.33396489080769
28,-138.55260548453316
29,-95.47952961971839
30,-360.9624174881946
31,-165.4707916895758
32,-248.25128241779746
33,-24.827755709350797
34,-173.62830414107714
35,19.872820453152315
36,-107.14601924186728
37,-451.6456894391397
38,-68.44861751954548
39,-157.84947087140452
40,-113.89557106612281
41,-145.80016781910388
42,-123.9272891967985
43,-181.0460107969519
44,-263.1128827704928
45,-254.43382608994082
46,-238.17659949859257
47,-56.78905642296883
48,-317.99421451786117
49,-198.78595281677087
50,-275.142977401275
51,-166.00289384028383
52,-76.86339583354612
53,-299.3376186761567
54,-359.14777161774157
55,-36.20289632992418
56,-201.93048160027317
57,-233.23142248338453
58,-84.35887963428478
59,-146.04778856422064
60,-248.3533467155458
61,-33.04694610506468
62,-126.70596726637206
63,-73.99888705794109
64,-145.4430827461424
65,-28.92686815855241
66,-156.07476637898432
67,-131.02721210874967
68,-116.54216067746773
69,-80.8267746451277
70,-124.05663342856307
71,-260.83332030069585
72,-21.16903701817415
73,-265.8204788714852
74,-255.5743839133195
75,-71.46918166579813
76,-322.45069000801027
77,-159.11670879547
78,-153.2766064842292
79,-339.66598430417133
80,-165.57454503618223
81,-119.8977728038548
82,-145.7110674963896
83,-151.0479738639702
84,-124.81205408828717
85,-7.0085339755462
86,-102.55668987422402
87,-168.15233082080744
88,-84.01705204229359
89,-49.46520853561451
90,-204.3170693076901
91,-127.20264660975987
92,-326.04757272609504
93,-186.63350878470683
94,-3.707321830876481
95,-158.64507115143658
96,-283.8263436484633
97,-139.38724775079766
98,-305.62745231479164
99,-250.30836401636785
100,-268.26024946150994
101,-104.54249167822394
102,-94.22710136798052
103,-27.09810478043977
104,-242.3623943193167
105,-97.7168018207318
106,-106.49681542245425
107,-218.06480741479544
108,-56.08949189967002
109,-35.66300264977774
110,-92.81689344660211
111,-120.69831388830399
112,-97.08732160385989
113,-152.0135744001376
114,-79.98826997187861
115,-115.11079161747922
116,-34.13142137373433
117,-176.71142580184934
118,-402.27400380464996
119,-8.36220976939849
120,-69.81141054494536
121,-200.9379068989022
122,-135.69260372716525
123,-109.73941587169733
124,-247.95162404516878
125,-84.05719025342991
126,-49.36202877309647
127,-128.87054610532505
128,-258.8998144139465
129,-127.18520329646486
130,-244.81904751319277
131,-213.34520825171228
132,-267.0981806408597
133,-288.4746973087192
134,-99.63777819810517
135,-404.4444660890996
136,-404.512898603597
137,-433.26561402796347
138,-240.39600217119064
139,-110.43496410559402
140,-77.76380730788338
141,-39.7997662731655
142,-65.29675334775459
143,-76.17249510033683
144,-115.71577417537414
145,-124.87005824586527
146,-25.478051320451016
147,-47.693313089748784
148,-365.42510633550796
149,-217.3929428736702
150,-130.91643521466693
151,-129.38712161236862
152,-183.11474737479014
153,-176.91667981349318
154,-196.35565052177043
155,-166.33642488283897
156,-337.39049677227354
157,-143.63360001448999
158,-1.6596280793439036
159,-86.11144959084993
160,-98.61575421759287
161,-173.76910982951728
162,-232.27383208626784
163,-164.81505702343054
164,-119.56435315505182
165,-180.89102438768535
166,-93.12454926274629
167,-140.7354680225776
168,-79.50760579542677
169,-110.3217970645654
170,-618.3995913083457
171,-128.92764211109346
172,-217.99356644526762
173,-108.41087635973726
174,-212.16592794182532
175,-78.93364372719103
176,-81.54777691310863
177,-65.77380865395088
178,-78.40378252463178
179,-219.7966527646538
180,-220.91457624631974
181,-338.2825973414044
182,-90.59545935870274
183,-75.46719106252436
184,-74.5856044069455
185,-286.52647915294114
186,-222.2179507994386
187,67.6622898367331
188,-76.58417930971237
189,61.32128618886455
190,-300.27329727275765
191,19.64702252432646
