episodes,rewards
0,26.0
1,17.0
2,27.0
3,28.0
4,27.0
5,26.0
6,28.0
7,12.0
8,27.0
9,17.0
10,38.0
11,16.0
12,19.0
13,12.0
14,15.0
15,19.0
16,17.0
17,11.0
18,10.0
19,16.0
20,28.0
21,8.0
22,23.0
23,18.0
24,45.0
25,28.0
26,23.0
27,20.0
28,51.0
29,12.0
30,19.0
31,47.0
32,24.0
33,18.0
34,21.0
35,10.0
36,14.0
37,19.0
38,25.0
39,15.0
40,18.0
41,25.0
42,15.0
43,12.0
44,26.0
45,12.0
46,15.0
47,53.0
48,12.0
49,15.0
50,13.0
51,26.0
52,12.0
53,58.0
54,38.0
55,10.0
56,24.0
57,33.0
58,18.0
59,80.0
60,22.0
61,17.0
62,25.0
63,61.0
64,21.0
65,28.0
66,13.0
67,52.0
68,47.0
69,15.0
70,21.0
71,21.0
72,66.0
73,52.0
74,47.0
75,11.0
76,21.0
77,91.0
78,107.0
79,47.0
80,54.0
81,39.0
82,20.0
83,27.0
84,32.0
85,52.0
86,26.0
87,97.0
88,40.0
89,81.0
90,100.0
91,21.0
92,16.0
93,27.0
94,46.0
95,19.0
96,51.0
97,87.0
98,32.0
99,26.0
100,11.0
101,18.0
102,80.0
103,79.0
104,65.0
105,77.0
106,50.0
107,23.0
108,78.0
109,64.0
110,54.0
111,26.0
112,91.0
113,57.0
114,68.0
115,33.0
116,29.0
117,54.0
118,86.0
119,54.0
120,78.0
121,47.0
122,61.0
123,69.0
124,66.0
125,70.0
126,70.0
127,76.0
128,20.0
129,71.0
130,71.0
131,82.0
132,132.0
133,80.0
134,108.0
135,47.0
136,13.0
137,126.0
138,228.0
139,163.0
140,24.0
141,50.0
142,155.0
143,62.0
144,98.0
145,99.0
146,53.0
147,110.0
148,24.0
149,87.0
150,11.0
151,55.0
152,136.0
153,73.0
154,137.0
155,137.0
156,124.0
157,139.0
158,96.0
159,126.0
160,103.0
161,69.0
162,164.0
163,144.0
164,68.0
165,181.0
166,170.0
167,148.0
168,72.0
169,137.0
170,132.0
171,155.0
172,151.0
173,154.0
174,165.0
175,13.0
176,131.0
177,161.0
178,155.0
179,130.0
180,158.0
181,165.0
182,91.0
183,31.0
184,161.0
185,174.0
186,186.0
187,39.0
188,190.0
189,70.0
190,19.0
191,33.0
192,142.0
193,128.0
194,137.0
195,135.0
196,12.0
197,143.0
198,14.0
199,129.0
200,137.0
201,230.0
202,67.0
203,185.0
204,194.0
205,178.0
206,194.0
207,198.0
208,252.0
209,193.0
210,218.0
211,124.0
212,109.0
213,119.0
214,70.0
215,132.0
216,118.0
217,126.0
218,138.0
219,130.0
220,15.0
221,144.0
222,142.0
223,140.0
224,59.0
225,139.0
226,129.0
227,143.0
228,141.0
229,157.0
230,144.0
231,14.0
232,134.0
233,20.0
234,108.0
235,123.0
236,135.0
237,128.0
238,134.0
239,83.0
240,15.0
241,156.0
242,161.0
243,174.0
244,166.0
245,131.0
246,143.0
247,30.0
248,172.0
249,179.0
250,157.0
251,183.0
252,171.0
253,130.0
254,178.0
255,168.0
256,257.0
257,169.0
258,185.0
259,165.0
260,186.0
261,128.0
262,116.0
263,140.0
264,141.0
265,19.0
266,135.0
267,141.0
268,160.0
269,61.0
270,117.0
271,186.0
272,143.0
273,150.0
274,164.0
275,152.0
276,163.0
277,148.0
278,151.0
279,83.0
280,150.0
281,152.0
282,96.0
283,128.0
284,139.0
285,34.0
286,17.0
287,52.0
288,125.0
289,140.0
290,138.0
291,120.0
292,116.0
293,132.0
294,114.0
295,117.0
296,123.0
297,116.0
298,122.0
299,119.0
