episodes,rewards
0,-130.1454594108297
1,-296.4270197170692
2,-112.70793215755266
3,-108.97455789730236
4,-109.56873072224585
5,-418.9040531378719
6,-142.7723725678655
7,-104.15160592705605
8,-33.122161968716426
9,-167.2960206865509
10,-214.03337733574284
11,-330.4427301256783
12,-350.96685773002207
13,-145.91489058221902
14,-181.7324029153571
15,-182.88744208630285
16,-205.36979351314193
17,-345.59236468782046
18,53.73749034749038
19,-186.33011005601787
20,-119.93257072686266
21,-36.08715379684322
22,-308.8042483699918
23,-95.6481168437621
24,-205.12470045309846
25,-131.27402254944062
26,-120.26072943018379
27,-297.47782565416475
28,-147.00028936697967
29,-64.90252367119193
30,-210.08359364835923
31,-99.94614414118554
32,-102.23426905406424
33,-89.41029536427729
34,-243.56621782328966
35,-128.67351769882904
36,-98.8433058893809
37,-43.82337245375811
38,-15.864075020807533
39,-220.9081401061897
40,-133.71293396736064
41,-39.27843672427076
42,-168.13110138017453
43,-110.8474104706433
44,-84.27857411338584
45,-100.87624547996565
46,-167.0064609085194
47,-27.569129592679502
48,-254.2136035272239
49,-134.43286393594045
50,-67.19667476882888
51,-123.19640775553145
52,-368.4691374405971
53,-172.78356961351267
54,-232.95383825173408
55,-314.9217365552805
56,-95.9494717337917
57,-85.66117375437577
58,-181.54404543119068
59,-112.79205938828237
60,-72.14698851339138
61,-246.82406773823354
62,-108.34782721108458
63,-240.1591907021466
64,-126.15251058723679
65,-215.7002765349561
66,-99.70875348748487
67,-98.78756715431506
68,-292.68440464878313
69,-318.70448525398774
70,-192.97257590329792
71,-115.13473283634681
72,-295.3980646516553
73,-329.121667292825
74,-146.51005488374412
75,-175.51390685172277
76,-57.10547608816442
77,-14.131607457875162
78,-286.0521993884389
79,-132.01269695026724
80,-325.7301016917293
81,-225.18046694232368
82,-302.9518328242083
83,-399.73689831755087
84,-68.50360454618189
85,-113.9444645895729
86,-237.6721963594625
87,-170.42802789315277
88,-339.5855407606242
89,-120.53431222414248
90,-112.84390459976376
91,-114.57168470259012
92,-59.22231510454987
93,-67.04824388273529
94,-133.34373463985463
95,-212.02562104222068
96,-76.57670236388901
97,-218.4627502918535
98,-95.81474783518337
99,-227.99558146180175
100,-75.98069463346185
101,-261.4248103663243
102,-347.7463699679321
103,-460.75752512620915
104,-260.2455336272166
105,-147.63453738173666
106,-68.56389602170287
107,-194.0108612385263
108,-144.20721355764488
109,-50.701175467093265
110,-167.02312549810122
111,-154.85504658433285
112,-98.88932596334324
113,-99.42500377954721
114,-101.69033590066192
115,-159.94419781414518
116,-139.64091302494018
117,-105.11257374263215
118,19.70953531976805
119,-40.27455999398843
120,-121.31197252166893
121,-108.87112558805643
122,-114.6225008160208
123,-124.68400387659497
