episodes,rewards
0,24.0
1,14.0
2,15.0
3,15.0
4,14.0
5,45.0
6,52.0
7,12.0
8,35.0
9,20.0
10,55.0
11,36.0
12,29.0
13,12.0
14,10.0
15,89.0
16,28.0
17,25.0
18,24.0
19,71.0
20,92.0
21,21.0
22,15.0
23,35.0
24,78.0
25,57.0
26,179.0
27,69.0
28,128.0
29,149.0
30,197.0
31,214.0
32,167.0
33,189.0
34,209.0
35,374.0
36,209.0
37,232.0
38,185.0
39,344.0
40,162.0
41,184.0
42,378.0
43,312.0
44,353.0
45,317.0
46,292.0
47,186.0
48,173.0
49,465.0
50,169.0
51,196.0
52,311.0
53,257.0
54,367.0
55,376.0
56,186.0
57,304.0
58,266.0
59,168.0
60,434.0
61,372.0
62,227.0
63,176.0
64,215.0
65,469.0
66,357.0
67,339.0
68,235.0
69,440.0
70,195.0
71,202.0
72,249.0
73,185.0
74,203.0
75,243.0
76,224.0
77,236.0
78,257.0
79,258.0
80,323.0
81,353.0
82,274.0
83,266.0
84,294.0
85,334.0
86,226.0
87,333.0
88,328.0
89,39.0
90,26.0
91,146.0
92,273.0
93,147.0
94,161.0
95,96.0
96,243.0
97,220.0
98,202.0
99,248.0
100,245.0
101,265.0
102,222.0
103,315.0
104,341.0
105,424.0
106,500.0
107,500.0
108,176.0
109,239.0
110,171.0
111,185.0
112,207.0
113,184.0
114,188.0
115,178.0
116,197.0
117,161.0
118,162.0
119,185.0
120,175.0
121,167.0
122,173.0
123,207.0
124,175.0
125,244.0
126,188.0
127,198.0
128,278.0
129,258.0
130,194.0
131,306.0
132,281.0
133,194.0
134,216.0
135,202.0
136,128.0
137,136.0
138,131.0
139,10.0
140,138.0
141,178.0
142,139.0
143,143.0
144,168.0
145,218.0
146,375.0
147,229.0
148,198.0
149,270.0
150,232.0
151,266.0
152,197.0
153,262.0
154,500.0
155,220.0
156,194.0
157,203.0
158,235.0
159,198.0
160,250.0
161,341.0
162,372.0
163,289.0
164,262.0
165,196.0
166,207.0
167,189.0
168,240.0
169,205.0
170,251.0
171,232.0
172,262.0
173,258.0
174,323.0
175,322.0
176,247.0
177,337.0
178,199.0
179,245.0
180,248.0
181,219.0
182,236.0
183,327.0
184,275.0
185,188.0
186,161.0
187,251.0
188,174.0
189,333.0
190,349.0
191,260.0
192,146.0
193,234.0
194,500.0
195,254.0
196,307.0
197,183.0
198,177.0
199,107.0
200,150.0
201,253.0
202,251.0
203,196.0
204,184.0
205,22.0
206,103.0
207,167.0
208,265.0
209,163.0
210,143.0
211,140.0
212,159.0
213,159.0
214,141.0
215,163.0
216,154.0
217,135.0
218,156.0
219,158.0
220,141.0
221,176.0
222,120.0
223,112.0
224,17.0
225,13.0
226,10.0
227,140.0
228,201.0
229,229.0
230,313.0
231,466.0
232,216.0
233,176.0
234,203.0
235,199.0
236,193.0
237,167.0
238,254.0
239,240.0
240,227.0
241,134.0
242,155.0
243,141.0
244,197.0
245,133.0
246,179.0
247,178.0
248,178.0
249,176.0
250,236.0
251,188.0
252,192.0
253,283.0
254,196.0
255,199.0
256,212.0
257,205.0
258,223.0
259,224.0
260,204.0
261,185.0
262,235.0
263,187.0
264,195.0
265,208.0
266,204.0
267,167.0
268,197.0
269,200.0
270,162.0
271,230.0
272,221.0
273,343.0
274,262.0
275,266.0
276,197.0
277,288.0
278,221.0
279,269.0
280,257.0
281,91.0
282,193.0
283,282.0
284,162.0
285,342.0
286,113.0
287,117.0
288,99.0
289,122.0
290,110.0
291,123.0
292,117.0
293,105.0
294,61.0
295,104.0
296,114.0
297,113.0
298,121.0
299,136.0
300,108.0
301,109.0
302,119.0
303,113.0
304,133.0
305,139.0
306,101.0
307,115.0
308,116.0
309,121.0
310,113.0
311,125.0
312,137.0
313,127.0
314,116.0
315,122.0
316,121.0
317,125.0
318,127.0
319,136.0
320,120.0
321,123.0
322,140.0
323,118.0
324,118.0
325,142.0
326,130.0
327,117.0
328,133.0
329,137.0
330,134.0
331,129.0
332,127.0
333,129.0
334,138.0
335,136.0
336,133.0
337,123.0
338,144.0
339,133.0
340,136.0
341,149.0
342,118.0
343,134.0
344,150.0
345,125.0
346,132.0
347,138.0
348,126.0
349,143.0
350,129.0
351,143.0
352,139.0
353,174.0
354,152.0
355,139.0
356,142.0
357,128.0
358,153.0
359,134.0
360,149.0
361,138.0
362,133.0
363,144.0
364,150.0
365,151.0
366,147.0
367,266.0
368,270.0
369,151.0
370,200.0
371,153.0
372,174.0
373,159.0
374,208.0
375,361.0
376,197.0
377,278.0
378,178.0
379,194.0
380,145.0
381,161.0
382,146.0
383,185.0
384,223.0
385,132.0
386,181.0
387,144.0
388,150.0
389,128.0
390,133.0
391,145.0
392,143.0
393,167.0
394,154.0
395,166.0
396,159.0
397,161.0
398,150.0
399,139.0
400,150.0
401,139.0
402,135.0
403,137.0
404,151.0
405,135.0
406,151.0
407,151.0
408,87.0
409,117.0
410,180.0
411,183.0
412,167.0
413,152.0
414,131.0
415,143.0
416,202.0
417,207.0
418,157.0
419,151.0
420,184.0
421,233.0
422,168.0
423,166.0
424,163.0
425,165.0
426,164.0
427,162.0
428,179.0
429,211.0
430,225.0
431,158.0
432,177.0
433,250.0
434,162.0
435,166.0
436,163.0
437,172.0
438,161.0
439,159.0
440,208.0
441,291.0
442,166.0
443,201.0
444,148.0
445,172.0
446,209.0
447,165.0
448,189.0
449,203.0
450,187.0
451,166.0
452,158.0
453,159.0
454,162.0
455,266.0
456,166.0
457,177.0
458,177.0
459,174.0
460,185.0
461,164.0
462,133.0
463,175.0
464,200.0
465,239.0
466,206.0
467,186.0
468,188.0
469,284.0
470,187.0
471,200.0
472,197.0
473,222.0
474,244.0
475,170.0
476,213.0
477,204.0
478,189.0
479,197.0
480,283.0
481,196.0
482,309.0
483,243.0
484,212.0
485,160.0
486,189.0
487,212.0
488,411.0
489,189.0
490,239.0
491,185.0
492,209.0
493,156.0
494,183.0
495,170.0
496,240.0
497,181.0
498,156.0
499,220.0
500,159.0
501,173.0
502,199.0
503,170.0
504,215.0
505,183.0
506,190.0
507,167.0
508,193.0
509,252.0
510,137.0
511,324.0
512,172.0
513,26.0
514,12.0
515,113.0
516,204.0
517,170.0
518,119.0
519,186.0
520,206.0
521,203.0
522,265.0
523,257.0
524,453.0
525,361.0
526,332.0
527,428.0
528,500.0
529,431.0
530,343.0
531,246.0
532,159.0
533,136.0
534,182.0
535,158.0
536,114.0
537,133.0
538,186.0
539,166.0
540,134.0
541,124.0
542,145.0
543,140.0
544,140.0
545,113.0
546,156.0
547,135.0
548,205.0
549,134.0
550,139.0
551,107.0
552,122.0
553,157.0
554,135.0
555,157.0
556,143.0
557,130.0
558,142.0
559,138.0
560,131.0
561,167.0
562,146.0
563,120.0
564,134.0
565,113.0
566,124.0
567,119.0
568,130.0
569,162.0
570,155.0
571,138.0
572,134.0
573,120.0
574,131.0
575,146.0
576,127.0
577,131.0
578,125.0
579,136.0
580,122.0
581,139.0
582,117.0
583,49.0
584,35.0
585,111.0
586,144.0
587,147.0
588,151.0
589,120.0
590,118.0
591,136.0
592,133.0
593,287.0
594,165.0
595,288.0
596,345.0
597,174.0
598,136.0
599,175.0
