episodes,rewards
0,-177.02361699047782
1,-280.5438407499113
2,-126.51277284459837
3,-127.19123034985383
4,-127.26282971433618
5,-128.98169551832015
6,-162.61816314712414
7,-138.93593642283005
8,-97.20026689071145
9,-164.09592935892044
10,-152.9482404603092
11,-136.04586581001894
12,-103.9725113585402
13,-181.36915437681543
14,-14.040355834407805
15,-108.21606057475711
16,-134.60209992694587
17,-183.39167852696744
18,-99.92892832122558
19,-131.89623442008102
20,-141.64584375780595
21,-140.35258569575234
22,-126.07249666078951
23,-118.32154819743513
24,-354.3847135138916
25,-140.5912667494345
26,-158.72268757800163
27,-141.33524080420233
28,-113.02226853926805
29,-149.10517640593406
30,-87.4780999638698
31,-113.70998384630974
32,-90.94976849131183
33,-26.75681470515127
34,-123.3083697534928
35,-108.25204118090093
36,-149.60165305670168
37,17.180428494344085
38,-124.9357511949973
39,-170.4944035111061
40,-142.25193135664136
41,-135.79783879221088
42,-183.45810773244082
43,-113.88450243341481
44,-129.02820017196908
45,-171.2653415299803
46,-158.5672738774879
47,-145.70717705985763
48,-146.5951694684704
49,-190.2245046671629
50,-116.36842189897516
51,-148.0074183224214
52,-174.8287211829043
53,46.78032607278959
54,-144.28834722690604
55,-130.05834798249236
56,-237.81877505717623
57,-130.23331592734684
58,-181.36664669707437
59,-111.35820051862859
60,-114.01742817674696
61,-118.93336075970174
62,-123.51267354953433
63,-132.56102656389862
64,-135.66097923641246
65,-121.27897763598762
66,-100.69755311071188
67,-19.158565853542456
68,-132.1789650668125
69,-156.31714841241993
70,-125.897534416945
71,-111.80265683228868
72,-122.51134178766213
73,-162.9272448678615
74,-93.78198291449203
75,-111.96447052120817
76,-194.4714292394725
77,33.265148905489696
78,-123.0787613851924
79,-124.61715337626606
80,-179.48586638415077
81,-137.02416657272067
82,-165.92125890595094
83,-88.32802437233323
84,-160.29929090121783
85,-132.2903614270796
86,-151.75572844640453
87,-132.08762264434966
88,-211.68717811575175
89,-138.2403622992738
90,-94.37464227815016
91,-177.96111306550438
92,-86.28852853495897
93,-180.53973987271007
94,-106.33066666822765
95,-139.87631172200173
96,-120.16168960136952
97,-122.73162472867574
98,-174.00000566694928
99,-137.85540643149287
100,-118.55507970229027
101,-145.17584279462963
102,-176.57391680568946
103,-91.57685075451795
104,-128.4889112472521
105,-176.47496006885802
106,-127.18330122816329
107,-119.58471503330091
108,-126.57419190065986
109,-123.27413699262479
110,-30.054637565983313
111,7.689939636198801
112,-132.24502095451984
113,-118.99378671123839
114,-141.79036830165558
115,-110.0447816099892
116,-42.90116041640806
117,-121.0305484459349
118,-182.8654899252649
119,-153.32677489497752
120,-139.25054459050182
121,-134.77362641887433
122,-113.84685046274356
123,-157.67291486408038
124,-121.5748877646966
125,-146.31231225593388
126,-128.8407866426951
127,-105.47452579200049
128,-175.16044638288275
129,-177.48361364368486
130,-181.82158885620694
131,-177.7373408632605
132,-149.46609655636402
133,-159.1086474368598
134,-149.24709120773986
135,-146.00392778716179
136,-139.1764904933445
137,-54.4348683102005
138,-96.85407799502954
139,-104.42474318731473
140,-144.5659309367656
141,-150.74068644641244
142,-140.74336779901313
143,-133.56621331512522
144,-149.20688713544223
145,-159.5906134051614
146,-141.73304283469187
147,-146.85368958081176
148,-114.7610643589409
149,-82.9604950639644
150,-135.23975962329223
151,-125.66164439484953
152,-104.47814248260696
153,-95.6867707380398
154,-136.60315156990595
155,-334.45529366116546
156,-108.99229987961382
157,-116.4588503522672
158,-108.08775430339446
159,-206.9696238178799
160,-134.08964507193602
161,-112.65409487390443
162,-141.3656625927785
163,-110.45293850595698
164,-2.610293504855889
165,-93.42842247394327
166,-141.12098955580151
167,-117.37179458403668
168,-121.76280851305114
169,-131.4372273808835
170,-110.29764998145913
171,-183.76957238530298
172,-209.5886717428864
173,-113.97338357463562
174,-154.8332832204575
175,-163.1133305359638
176,-142.04541304790905
177,-130.74065050571292
178,-102.0283814394028
179,-168.10572964717045
180,-109.32335197924334
181,-126.34538387873116
182,-134.4421931922706
183,-158.56658384762108
184,-119.9352722098624
185,-125.3397790994614
186,-121.88475208211952
187,-89.43179049387177
188,-37.267143972874635
189,-158.85534783397964
190,-133.67869645099
191,-166.53870429512273
192,-157.16178061772095
193,-155.0146204456379
194,-132.23953393967992
195,-147.55080289760733
196,-74.25745213884147
197,-162.96052739527806
198,-173.31157269542217
199,-133.53952183869524
200,-141.66458587168515
201,-134.99424229318987
202,-114.17649962143835
203,-136.41553009159125
204,-103.68047120557105
205,-111.08830619308225
206,-128.40751865719744
207,-170.2070619388303
208,-126.39366658056178
209,-13.030943147178391
210,-124.02904263463839
211,-105.17897794310718
212,-162.7818399749999
213,-169.83330501626773
214,-22.90764715992303
215,-137.721882875285
216,-90.53135630789993
217,-130.49207503519582
218,-132.17293650697002
219,-134.21277844286385
220,-139.5076355532381
221,-126.10196067037265
222,-182.32240523019343
223,-124.62352411836108
224,-137.9566449575243
225,-110.56634384829269
226,-141.28804584597134
227,-117.04233708127475
228,-132.4133768877907
229,-109.74414941663295
230,-113.57987178154642
231,-170.5788685295976
232,-142.7434607714811
233,-152.63238990449622
234,-170.12135109232395
235,-112.68210349478397
236,22.461083116791258
237,-144.26500425189775
238,-153.72839493760654
239,-92.55560124120663
240,-332.3370958656895
241,-160.0936098969819
242,-157.7283425696171
243,-131.74197992712425
244,-112.93504710986883
245,-123.01961912519047
246,-132.0898379726022
247,-118.29195003283326
248,18.884802356034427
249,-104.03371732491775
250,-137.9943607389569
251,-180.88878096529186
252,-112.77544265211756
253,-135.71483824171335
254,-164.47218317887481
255,-100.39141147066667
256,-108.0971963250532
257,-140.34756307885937
258,-138.33838095171785
259,-86.8549896877276
260,-291.0298539527921
261,-117.59524827378343
262,-144.46508126814928
263,-154.49355888329515
264,-168.80143221626332
265,-157.16099398274832
266,-182.42046895837132
267,-113.11673484551477
268,-52.022521476773505
269,-123.22731652250158
270,-160.51702199836637
271,-144.81459381572887
272,-129.28106756101766
273,-185.6887107116665
274,-151.42343387811923
275,-119.20860168486695
276,-158.350891292189
277,-134.92385189074795
278,-150.210841703367
279,-89.69286813674088
280,-84.34417145647055
281,-129.21927665920717
282,-144.23558505542397
283,-16.43339565219992
284,-128.27194424093003
285,-127.95273364360096
286,-12.476401767382072
287,-144.9460887444202
288,-118.23857341732301
289,-108.78506223328631
290,-102.50197114855393
291,-150.16440594609648
292,-151.00667595628187
293,-179.21946785744655
294,-93.0692517154952
295,-177.80268735201372
296,-105.0224653524765
297,-100.34410418656202
298,-122.22854047647243
299,-19.341005601810423
