episodes,rewards
0,11.0
1,19.0
2,16.0
3,11.0
4,18.0
5,14.0
6,16.0
7,28.0
8,31.0
9,25.0
10,32.0
11,19.0
12,18.0
13,24.0
14,22.0
15,38.0
16,21.0
17,28.0
18,13.0
19,26.0
20,29.0
21,17.0
22,28.0
23,32.0
24,22.0
25,34.0
26,32.0
27,17.0
28,11.0
29,43.0
30,36.0
31,46.0
32,66.0
33,89.0
34,52.0
35,63.0
36,45.0
37,133.0
38,114.0
39,206.0
40,214.0
41,180.0
42,152.0
43,185.0
44,159.0
45,187.0
46,278.0
47,168.0
48,160.0
49,172.0
50,180.0
51,210.0
52,169.0
53,197.0
54,182.0
55,260.0
56,184.0
57,212.0
58,240.0
59,281.0
60,247.0
61,267.0
62,283.0
63,171.0
64,242.0
65,204.0
66,202.0
67,181.0
68,186.0
69,192.0
70,198.0
71,180.0
72,220.0
73,219.0
74,225.0
75,332.0
76,181.0
77,179.0
78,216.0
79,169.0
80,287.0
81,268.0
82,236.0
83,189.0
84,204.0
85,209.0
86,220.0
87,210.0
88,199.0
89,289.0
90,190.0
91,187.0
92,221.0
93,230.0
94,233.0
95,193.0
96,219.0
97,259.0
98,219.0
99,192.0
100,212.0
101,315.0
102,199.0
103,234.0
104,218.0
105,258.0
106,198.0
107,214.0
108,184.0
109,232.0
110,266.0
111,264.0
112,207.0
113,218.0
114,256.0
115,193.0
116,225.0
117,200.0
118,204.0
119,218.0
120,237.0
121,329.0
122,326.0
123,336.0
124,227.0
125,204.0
126,305.0
127,224.0
128,275.0
129,379.0
130,259.0
131,369.0
132,211.0
133,244.0
134,216.0
135,293.0
136,276.0
137,227.0
138,237.0
139,256.0
140,258.0
141,315.0
142,328.0
143,299.0
144,476.0
145,276.0
146,274.0
147,267.0
148,400.0
149,332.0
150,254.0
151,239.0
152,245.0
153,289.0
154,397.0
155,255.0
156,275.0
157,216.0
158,248.0
159,270.0
160,268.0
161,253.0
162,328.0
163,298.0
164,252.0
165,346.0
166,314.0
167,245.0
168,445.0
169,293.0
170,60.0
171,196.0
172,276.0
173,298.0
174,431.0
175,305.0
176,359.0
177,316.0
178,449.0
179,250.0
180,296.0
181,228.0
182,233.0
183,284.0
184,242.0
185,324.0
186,271.0
187,265.0
188,276.0
189,262.0
190,211.0
191,325.0
192,355.0
193,162.0
194,183.0
195,460.0
196,355.0
197,184.0
198,258.0
199,286.0
200,257.0
201,252.0
202,341.0
203,207.0
204,298.0
205,265.0
206,181.0
207,189.0
208,246.0
209,193.0
210,12.0
211,105.0
212,188.0
213,177.0
214,187.0
215,195.0
216,191.0
217,174.0
218,184.0
219,172.0
220,194.0
221,185.0
222,153.0
223,156.0
224,179.0
225,178.0
226,178.0
227,171.0
228,174.0
229,161.0
230,214.0
231,182.0
232,171.0
233,163.0
234,150.0
235,167.0
236,189.0
237,196.0
238,195.0
239,187.0
240,172.0
241,210.0
242,228.0
243,182.0
244,226.0
245,252.0
246,227.0
247,208.0
248,170.0
249,165.0
250,189.0
251,206.0
252,193.0
253,201.0
254,202.0
255,180.0
256,173.0
257,174.0
258,205.0
259,171.0
260,185.0
261,184.0
262,157.0
263,175.0
264,185.0
265,163.0
266,183.0
267,176.0
268,166.0
269,180.0
270,165.0
271,183.0
272,185.0
273,176.0
274,171.0
275,204.0
276,217.0
277,220.0
278,174.0
279,214.0
280,204.0
281,194.0
282,189.0
283,204.0
284,198.0
285,195.0
286,214.0
287,215.0
288,260.0
289,233.0
290,206.0
291,209.0
292,225.0
293,219.0
294,212.0
295,205.0
296,199.0
297,225.0
298,202.0
299,126.0
